r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
peace, Because the World so slowly would increase. ,oae86-l00505,"Then hostile Spirits would be forc'd to Peace,",oae86-l00500,/ɪnkriːs/ | /iːs/,half-vowelrhyme,<b>a</b><b>a</b>,pers00272,oae86-w0010
peace," So may we find our Joys increase,",pco62-l03815, For Virtue's ways are paths of peace. ,pco62-l03820,/ɪnkriːs/ | /iːs/,half-vowelrhyme,<b>a</b><b>a</b>,pers00293,pco62-w0040
degrees," ""The useful arts of men increase,",o4986-l02680,""" By stumbling chance, and slow degrees,",o4986-l02675,/ɪnkriːs/ | /iːz/,half-vowelrhyme,aab<b>c</b><b>c</b>b,pers00237,o4986-w0030
seas," When she directs, the swelling Floods encrease,",pdi12-l02455, And sounding Waters raise the troubled Seas;,pdi12-l02460,/ɪnkriːs/ | /iːz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00266,pdi12-w0070
less,"And still your Knowledge will increase,",pmp18-l31725, As You make other People's less. ,pmp18-l31730,/ɪnkriːs/ | /es/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
fleece,"For us, the earth shall bring forth her increase;",o4110-l02255," For us, the flocks shall wear a golden fleece;",o4110-l02260,/ɪnkriːs/ | /iːs/,half-vowelrhyme,<b>a</b><b>a</b>,pers00155,o4110-w0010
peace," Let their Possessions, let their State increase,",o3585-l00370,"Peace to such Men, if such Men can have peace,",o3585-l00365,/ɪnkriːs/ | /iːs/,half-vowelrhyme,<b>a</b><b>a</b>,pers00155,o3585-w0010
peace,Why thus every hour does my sorrow increase? ,o4987-l09640,Alas! it is Absence that ruins my peace. ,o4987-l09645,/ɪnkriːs/ | /iːs/,half-vowelrhyme,<b>a</b><b>a</b>,pers00242,o4987-w0280
seas, Here spiny Scads and fruitful Carps encrease. ,pdi22-l00710,"Flat Folio's here stretch on the shaded Seas,",pdi22-l00705,/ɪnkriːs/ | /iːz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
trees," Air when too gross will falling Drops increase,",pdi22-l03490, And hang in lucid Pearls on weeping Trees. ,pdi22-l03495,/ɪnkriːs/ | /iːz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
