r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
high,And grinning Infamy.,tgaen-l03920,"Then whirl the wretch from high,",tgaen-l03910,/ɪ/ | /aɪ/,half-pararhyme,a<b>b</b>a<b>b</b>ccdeed,pers00039,tgaen-wodec
sky," Washt by the sable gulph of infamy,",o5089-l04175,"On a huge hill, that braves the neighbouring sky,",o5089-l04170,/ɪnfəmi/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00058,o5089-w0050
purity," Pursued by scorn, consigned to infamy,",pmt18-l12420,Emblem divine of female purity! ,pmt18-l12410,/ɪnfəmi/ | /ʊərəti/,half-pararhyme,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0024
poverty,"Or if, which is their greatest infamy,",oau90-l01470,A Poet's general state is Poverty.,oau90-l01475,/ɪnfəmi/ | /ɒvəti/,half-pararhyme,<b>a</b><b>a</b>,pers00350,oau90-w0010
see,And shuns Renown as much as Infamy:,o5153-l03755,Who fears bright Glory's awful face to see;,o5153-l03750,/ɪnfəmi/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00030,o5153-w0050
thee, O Line extream of human Infamy! ,pmp18-l22285," For Thee: my Cloaths, my Sex exchang'd for Thee,",pmp18-l22275,/ɪnfəmi/ | /iː/,half-pararhyme,<b>a</b>a<b>a</b>,pers00314,pmp18-w0720
lee, O Line extream of human Infamy! ,pmp18-l22285, I'll mingle with the People's wretched Lee;,pmp18-l22280,/ɪnfəmi/ | /iː/,half-pararhyme,a<b>a</b><b>a</b>,pers00314,pmp18-w0720
satisfy," We will betray our Child to Infamy,",pco62-l05525," He thinks our present wants to Satisfy,",pco62-l05520,/ɪnfəmi/ | /ætɪsfaɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00293,pco62-w0090
be," Your choice, my lord, is fame or infamy. ",o4984-l05890," His the materials, your's the work must be;",o4984-l05885,/ɪnfəmi/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00218,o4984-w0040
high,And grinning infamy;,o5153-l31140,"Then whirl the wretch from high,",o5153-l31130,/ɪnfəmi/ | /aɪ/,half-pararhyme,a<b>b</b>a<b>b</b>ccdeed,pers00039,o5153-w0560
lie,"Remember'd, it were infamy.",bed98-l13845,"Grant them the boon, forgot to lie,",bed98-l13840,/ɪnfəmi/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0360
die,Snatch'd from oblivion's grave by infamy!,o5154-l34910,Detested names! yet sentenc'd ne'er to die;,o5154-l34905,/ɪnfəmi/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00036,o5154-w0650
see,That guilt is doom'd to sink in infamy.,o5154-l39730,"Thus aw'd to fear, instructed bards may see,",o5154-l39725,/ɪnfəmi/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00036,o5154-w0680
high,"When I relate her Infamy,",oau90-l08740,"But let fermented Spleen swell high,",oau90-l08735,/ɪnfəmi/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00350,oau90-w0280
see," My open Fault, and Regal Infamy. ",pmp18-l46315,"No, no: Jerusalem combin'd must see",pmp18-l46310,/ɪnfəmi/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1110
philosophy,"Mustering their rage; eke baleful Infamy,",o5155-l03530,"Of studious Peace and mild Philosophy,",o5155-l03520,/ɪnfəmi/ | /ɒsəfi/,half-pararhyme,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5155-w0030
obscurity,"Mustering their rage; eke baleful Infamy,",o5155-l03530,Rouz'd from her den of base obscurity,o5155-l03535,/ɪnfəmi/ | /ʊərəti/,half-pararhyme,aba<b>b</b><b>b</b>cbcc,pers00024,o5155-w0030
obloquy,"Mustering their rage; eke baleful Infamy,",o5155-l03530,Her brazen trump of black'ning obloquy:,o5155-l03545,/ɪnfəmi/ | /ɒbləkwi/,half-pararhyme,aba<b>b</b>bc<b>b</b>cc,pers00024,o5155-w0030
