r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
spent,"Thus do I strive, thus arguments invent,",pyl90-l00715, Thus are my days in fruitless wishes spent:,pyl90-l00720,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00322,pyl90-w0040
paint,"TELL me what Genius did the art invent,",o5157-l35910,The lively image of the voice to paint;,o5157-l35915,/ent/ | /eɪnt/,half-pararhyme,<b>a</b><b>a</b>,pers00129,o5157-w0750
content," Nor grand inquisitor could worse invent,",o3794-l07545," Than he contrives to suffer, well content. ",o3794-l07550,/ent/ | /ɒntent/,half-vowelrhyme,<b>a</b><b>a</b>,pers00269,o3794-w0030
assent,And of all arts sagacious dupes invent,o3794-l06085, To cheat themselves and gain the world's assent,o3794-l06090,/ent/ | /ent/,full,<b>a</b><b>a</b>a,pers00269,o3794-w0020
intent,And of all arts sagacious dupes invent,o3794-l06085, The worst is scripture warp'd from it's intent. ,o3794-l06095,/ent/ | /ent/,full,<b>a</b>a<b>a</b>,pers00269,o3794-w0020
torment,Can envious Fiends a Penalty invent,oat77-l06035,That shall than Loath'd Embraces more Torment?,oat77-l06040,/ent/ | /ɔːment/,half-pararhyme,<b>a</b><b>a</b>,pers00344,oat77-w0330
went," Some story, then, I must invent,",bsb18-l28620,"What could I do! If in I went,",bsb18-l28610,/ent/ | /ent/,full,abab<b>c</b>d<b>c</b>d,pers00280,bsb18-w0630
prevent," In vain great Princes mighty things Invent,",o3488-l00875, While Heaven retains the Power to prevent:,o3488-l00880,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00346,o3488-w0010
precedent, And own stale Nonsense which they ne'er invent. ,o3675-l02070," They reason and conclude by Precedent,",o3675-l02065,/ent/ | /esɪdnt/,half-pararhyme,<b>a</b><b>a</b>,pers00012,o3675-w0010
torment," Tho' polish'd manners may fresh wants invent,",o4179-l00785, And nice distinctions nicer souls torment;,o4179-l00790,/ent/ | /ɔːment/,half-pararhyme,<b>a</b><b>a</b>,pers00274,o4179-w0010
rent," Than you could name, or mortal brain invent. ",o3366-l02585," More pangs he feels, his heart by conscience rent,",o3366-l02580,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00319,o3366-w0010
