r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
war," Thy senate is a scene of civil jar,",o3794-l11455," Chaos of contrarieties at war,",o3794-l11460,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0040
star," Are sometimes found to jar,",bsb18-l17300, Is heard by many a star: —,bsb18-l17310,/ɑː/ | /ɑː/,full,a<b>b</b>a<b>b</b>,pers00280,bsb18-w0220
star,"A globe, a fine lac'd head, a china jar,",o5152-l38045,"A butterfly, an equipage, a star,",o5152-l38040,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
war,No longer shall their counsels jar.,o5156-l01370,Art have with Nature wag'd presumptuous war;,o5156-l01355,/ɑː/ | /ɔː/,half-pararhyme,a<b>b</b>ac<b>b</b>deedccff,pers00035,o5156-w0010
war," Instead of harmony, 'tis jar",o3794-l33280," And tumult, and intestine war. ",o3794-l33285,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0370
war,"Injustice, anarchy, intestine jar,",o5153-l18125,"And all the brazen throats of civil war,",o5153-l18135,/ɑː/ | /ɔː/,half-pararhyme,ababc<b>d</b>c<b>d</b>eeffghghikki,pers00024,o5153-w0320
war," A casual, blind, tumultuous jar. ",pma99-l08350," Upon the brow of glorious war,",pma99-l08340,/ɑː/ | /ɔː/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00306,pma99-w0470
ware,Elvira's passion was a china jar;,pjo50-l02335," The brute, her lord, contemns such brittle ware. ",pjo50-l02340,/ɑː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00273,pjo50-w0030
popular,"I'd be concern'd in no Litigious Jar,",ppo24-l00700," Belov'd by all, not vainly Popular,",ppo24-l00705,/ɑː/ | /ɒpjələ/,half-pararhyme,<b>a</b><b>a</b>,pers00257,ppo24-w0010
unbar, Hoarse on their hinge the ponderous portals jar;,o4671-l17735," The ponderous portals of the church unbar, —",o4671-l17730,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
share,And Wit and Judgment sometimes jar.,bed98-l13545,"E'en wedlock may this evil share,",bed98-l13540,/ɑː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0360
bar," In Publick, seem to contradict and jar;",o4085-l00235," Who, like two wrangling Counsellors at Bar,",o4085-l00230,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00329,o4085-w0010
war," While he remains, to wrangle and to jar,",pcr18-l21020," Is friendly tournament, not fatal war;",pcr18-l21025,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00275,pcr18-w0050
car," While rushing winds in wild discordance jar,",bah18-l00355, Old Hyem calls the storms around his icy car. ,bah18-l00360,/ɑː/ | /ɑː/,full,abab<b>c</b><b>c</b>,pers00281,bah18-w0010
war,"No claimant princes shall hereafter jar,",o4984-l28325, (The bloody sources of intestine war),o4984-l28330,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00241,o4984-w0500
war," Who (while contending Nations round him jar,",o4741-l06385, And Subjects Wealth supports their Monarchs War),o4741-l06390,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0090
