r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
refined, If sprightly fancy with sound judgment join'd;,o5089-l25670," Good nature, sweet deportment, sense refin'd;",o5089-l25675,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>a,pers00184,o5089-w0570
mind, If sprightly fancy with sound judgment join'd;,o5089-l25670," And what we highest prize, — a virtuous mind;",o5089-l25680,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b>a<b>a</b>,pers00184,o5089-w0570
consigned, As in my requiem they had join'd. ,o4091-l23730, Been to my slow-made grave consign'd;,o4091-l23720,/ɔɪnd/ | /aɪnd/,half-pararhyme,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
mind,""" Not to my errours be it join'd:",o4091-l24920,""" And the frail weakness of my Mind. ",o4091-l24930,/ɔɪnd/ | /aɪnd/,half-pararhyme,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
mind," Of love, and tender sorrow join'd. ",o4091-l25370," Subdues the sternest, firmest mind:",o4091-l25360,/ɔɪnd/ | /aɪnd/,half-pararhyme,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
kind," For inborn Goodness with soft Pity join'd,",o5125-l19160," Just without Pride, without Reluctance kind;",o5125-l19155,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>a,pers00154,o5125-w0510
mind," For inborn Goodness with soft Pity join'd,",o5125-l19160, To form the Basis of his godlike Mind. ,o5125-l19165,/ɔɪnd/ | /aɪnd/,half-pararhyme,a<b>a</b><b>a</b>,pers00154,o5125-w0510
mind, For Heav'n to form this matchless Beauty join'd,o5125-l19280, Her Mother's Features to her Father's Mind;,o5125-l19285,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00154,o5125-w0510
find,"Experience shows their interest join'd,",bed98-l02380,"Their error now the sisters find,",bed98-l02375,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0040
find, The moving Gayety of Venus join'd,ppo24-l05070," In whom alone we all their Graces find,",ppo24-l05065,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>a,pers00257,ppo24-w0040
mind, The moving Gayety of Venus join'd,ppo24-l05070," With Juno's Aspect, and Minerva's Mind. ",ppo24-l05075,/ɔɪnd/ | /aɪnd/,half-pararhyme,a<b>a</b><b>a</b>,pers00257,ppo24-w0040
mind,"Where useful Morals, with soft Numbers joyn'd,",ppo24-l05340," At once delight, and cultivate the Mind:",ppo24-l05345,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00257,ppo24-w0040
mind, Her lips to his are join'd;,pcm93-l07185, To animate the mind! ,pcm93-l07195,/ɔɪnd/ | /aɪnd/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0080
mind," ""With active goodness join'd:",o4986-l02940,""" The pleasures of the mind. "" ",o4986-l02955,/ɔɪnd/ | /aɪnd/,half-pararhyme,aa<b>b</b>cc<b>b</b>,pers00237,o4986-w0030
mankind," Where fortitude with candid virtue join'd,",yfs88-l00765, And sought by sacred truths to save mankind;,yfs88-l00770,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00317,yfs88-w0010
mind," Thy Heart in which the Virtues all are join'd,",o4091-l22485," Thy polish'd Manners, and thy candid mind,",o4091-l22490,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00305,o4091-w0010
mind," Thus, in thy bosom, where each virtue's join'd,",pye85-l01830,"Heaven spurns him not, but spares the untaught mind,",pye85-l01820,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00256,pye85-w0050
behind," Or, Both in friendly Consort join'd;",pmp18-l36500, The Consequence limps false behind. ,pmp18-l36505,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
mind,"Judgment so strong, to wit so lively join'd?",o5156-l37560,"Such manly sense, with so much fire of mind?",o5156-l37555,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00069,o5156-w1200
designed, By Fate in the same sentence to be join'd. ,o4600-l02720, M—SS—P and B—R—Y came. — Names ne'er design'd,o4600-l02715,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o4600-w0010
unconfined,"""If fewest Faults, with greatest Beauties join'd;",o4600-l03820," ""If Pow'rs of Acting, vast and unconfin'd;",o4600-l03815,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o4600-w0010
mind,"A friendship by the noblest union join'd,",o5154-l24245,"The female softness, and the manly mind.",o5154-l24250,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00106,o5154-w0380
mind," Each sister muse, in blissful union join'd,",o4987-l20350," Adorns, improves, and beautifies the mind. ",o4987-l20355,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00055,o4987-w0700
mind," Philosopher, divine, and poet join'd! ",o4987-l20765," And views with wonder, in a female mind,",o4987-l20760,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00055,o4987-w0700
mind," Each perfects each, in friendly union join'd;",o3555-l03205," This gives Amanda's form, and that her mind. ",o3555-l03210,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00149,o3555-w0070
mind,"How nobly strong, when love and virtue join'd",pye85-l05050,"Matilda! ah, how soft thy yielding mind,",pye85-l05040,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00256,pye85-w0140
blind," My Strength had fail'd had not your Forces joyn'd,",pse03-l05655, And your own conquering Charms first struck him blind;,pse03-l05660,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00272,pse03-w0270
mind," Whom mutual love alone hath join'd,",o4987-l29750, Sweet union of the willing mind! ,o4987-l29755,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00189,o4987-w0820
mind," Whom mutual love alone hath join'd,",o5089-l22010, Sweet union of the willing mind! ,o5089-l22015,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00189,o5089-w0450
designed," Which with the cypress and the willow join'd,",n22cs-l01405,FOR me the Muse a simple band design'd,n22cs-l01395,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b>b<b>a</b>bcdcdefefgg,pers00290,n22cs-w0190
mind,"With sadly-mournful cypress join'd,",o5154-l32385,To ease with plaints his love-sick mind;,o5154-l32395,/ɔɪnd/ | /aɪnd/,half-pararhyme,a<b>b</b>a<b>b</b>cc,pers00108,o5154-w0600
mind,To an imprison'd body join'd!,o5156-l32860,Sad purchase of a tortur'd mind,o5156-l32855,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00108,o5156-w0890
mankind," OCTOBER, who the cause of FREEDOM join'd,",o3587-l01995, And gave a second GEORGE to bless mankind;,o3587-l02000,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o3587-w0010
entwined,"And stedfast Hate, and sharp Affliction join'd,",o5152-l30060,"Tway birchen sprays; with anxious Fear entwin'd,",o5152-l30050,/ɔɪnd/ | /aɪnd/,half-pararhyme,ababb<b>c</b>b<b>c</b>c,pers00035,o5152-w0320
unkind,"And stedfast Hate, and sharp Affliction join'd,",o5152-l30060,"And Fury uncontroul'd, and Chastisement unkind.",o5152-l30065,/ɔɪnd/ | /aɪnd/,half-pararhyme,ababbcb<b>c</b><b>c</b>,pers00035,o5152-w0320
find," ""Grace, worth, and goodness, with firm honor join'd? ",pik94-l00750,""" In modern days, do you expect to find",pik94-l00745,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00327,pik94-w0030
bind,"""Those generous souls alone, whom I before have join'd.",o5154-l01565,"""With me, true friendship dwells: she deigns to bind",o5154-l01560,/ɔɪnd/ | /aɪnd/,half-pararhyme,ababcdcd<b>e</b><b>e</b>,pers00031,o5154-w0050
mind,"Sure pity, he thought, with such charms must be join'd!",o5155-l34125,"So graceful her form, so accomplish'd her mind,",o5155-l34120,/ɔɪnd/ | /aɪnd/,half-pararhyme,aa<b>b</b><b>b</b>,pers00109,o5155-w0750
find, Yet love with fond anxiety is joined;,pmt18-l09040," The coldness which it dreads too prompt to find,",pmt18-l09050,/ɔɪnd/ | /aɪnd/,half-pararhyme,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0023
blind, On Reason's Force with Beauty's join'd? ,pmp18-l03945, I must at once be deaf and blind. ,pmp18-l03955,/ɔɪnd/ | /aɪnd/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00314,pmp18-w0170
mind,Where decent mirth and wisdom join'd,o5156-l19235,"In stewardship, regale the mind.",o5156-l19240,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00101,o5156-w0640
mind,"In wedlock since with Isis join'd,",o5156-l19730,"If you then fairly speak your mind,",o5156-l19725,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00101,o5156-w0640
kind, That Venus and the Graces join'd,o4987-l30670," To form this Phoenix of her kind,",o4987-l30675,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00204,o4987-w0850
find, Than many fools in same opinions join'd. ,o4111-l01790," In common use no more it means we find,",o4111-l01785,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o4111-w0010
mind,"For Nature bountiful in thee has join'd,",o5295-l00175,"A Person pleasing with a worthy Mind,",o5295-l00180,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00339,o5295-w0010
refined, In her each sentiment sublime is join'd,o4987-l08850,"Tho' blest with wisdom, and with wit refin'd,",o4987-l08840,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00207,o4987-w0260
mind,Who when the world's great commerce shall have join'd,o5152-l37340,"The deep reflection, and the strengh of mind,",o5152-l37345,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00130,o5152-w0350
entwined,"She ceased, and lo! a thousand voices, joined",pmt18-l16820," There, with the Graces and the Hours entwined,",pmt18-l16830,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0025
find," DUKES, LORDS, and COMMONS fondly join'd,",o4257-l00765, Eager the mighty joke to find:,o4257-l00770,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00304,o4257-w0010
mind,Unless his other attributes were join'd,o5154-l04800,"To poise the will, and regulate the mind,",o5154-l04805,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00022,o5154-w0080
refined,The pow'rs of reason and of fancy join'd,o5153-l08025,By all the Graces temper'd and refin'd;,o5153-l08010,/ɔɪnd/ | /aɪnd/,half-pararhyme,abbaccdee<b>f</b>gg<b>f</b>edhh,pers00030,o5153-w0290
twined,Where to thy Laura thou again art join'd;,o5153-l08430,"With never-fading myrtles twin'd,",o5153-l08420,/ɔɪnd/ | /aɪnd/,half-pararhyme,a<b>b</b>a<b>b</b>cdcdefgfge,pers00030,o5153-w0290
mind, A manly Brav'ry's with soft pity join'd. ,ppo24-l08600,"Where, but to faithful Celia, in whose Mind",ppo24-l08595,/ɔɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00257,ppo24-w0120
