r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
slept," Their pray'rs made public, their excesses kept",o3794-l10700, As private as the chambers where they slept. ,o3794-l10705,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
wept, Yet bless'd the guardian care that kept,o3794-l30875,"O'er MURRAY'S loss the muses wept,",o3794-l30865,/ept/ | /ept/,full,<b>a</b>b<b>a</b>b,pers00269,o3794-w0210
wept,"So some poor Exile, long in bondage kept,",pjo50-l07880," Dead to his friends, and ev'n by strangers wept,",pjo50-l07885,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0280
slept," Whilst the slow Driver, who no reck'ning kept",o4784-l11220," Of what was left, indulging Nature, slept;",o4784-l11225,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00268,o4784-w0320
slept,As harmless as the flocks they kept;,o5154-l14985,"On mossy banks fair virgins slept,",o5154-l14980,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00112,o5154-w0230
wept,""" And such sad coil with words of vengeance kept,",pcr18-l20325," ""At times he smiled in scorn, at times he wept,",pcr18-l20320,/ept/ | /ept/,full,<b>a</b><b>a</b>a,pers00275,pcr18-w0040
slept,""" And such sad coil with words of vengeance kept,",pcr18-l20325," ""That our best sleepers started as they slept. ",pcr18-l20330,/ept/ | /ept/,full,a<b>a</b><b>a</b>,pers00275,pcr18-w0040
wept,"Nature her self attentive Silence kept,",o3778-l00100,And Motion seem'd suspended while she wept;,o3778-l00105,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00339,o3778-w0010
wept, And breath a thousand years in phials kept;,o5152-l39935," Bottles of precious tears that saints have wept,",o5152-l39930,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
wept," Pris'ners of War in Chains, for Slaughter kept. ",ppo24-l09995," Friends for their Friends, Sisters for Brothers wept;",ppo24-l09990,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0120
slept,"Sacred, to visions grand like these, was kept",o5137-l00325," And when with Seers long past, the Hermit slept,",o5137-l00335,/ept/ | /ept/,full,<b>a</b>b<b>a</b>b,pers00284,o5137-w0010
wept,At Damon's Tomb the Chast Emmoria kept,oat77-l08230,"Perpetual Watch, and ore his Ashes wept;",oat77-l08235,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00344,oat77-w0540
wept,"(For many there, in bondage kept,",bjb18-l27905," How long she pondered, sorely wept,",bjb18-l27915,/ept/ | /ept/,full,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0650
slept, A still solemnity all nature kept;,cer72-l02400," Frenzy and faction, love and envy slept;",cer72-l02395,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
slept," And thou hadst even with him communion kept,",bjb18-l28495, Who hath so long in Stratford's chancel slept;,bjb18-l28500,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0660
wept, Thy self in Bondage by the Victor kept! ,o3499-l01725,"The Chief, the Father, and the Captive wept. ",o3499-l01730,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00150,o3499-w0010
wept,Long be the fatal day with mourning kept!,o5155-l30610,"AUGUSTUS sigh'd sincere, and all the worthy wept.",o5155-l30615,/ept/ | /ept/,full,ababcc<b>d</b><b>d</b>,pers00043,o5155-w0600
wept,How were these nuptials kept?,o5152-l03375,And all the village wept.,o5152-l03385,/ept/ | /ept/,full,x<b>a</b>x<b>a</b>,pers00011,o5152-w0030
slept, Hope alone her vigil kept;,o5280-l03915," Still the social passions slept,",o5280-l03910,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00277,o5280-w0270
wept,"My infant tears a sort of measure kept,",o5152-l35850,"I squall'd in distichs, and in triplets wept.",o5152-l35855,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00143,o5152-w0340
wept,"By prebends bury'd, and by generals kept.",o5152-l36165,"Her lot how oft have envious harlots wept,",o5152-l36160,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00143,o5152-w0340
wept, No common forms his home-felt passion kept;,o4984-l11535," The sage, the patriot, in the parent, wept. ",o4984-l11540,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00180,o4984-w0170
slept,"There, side by side, all night they kept;",o5154-l24925,"Together walk'd, together slept:",o5154-l24930,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00104,o5154-w0400
slept,Fruitless attempt! all avenues are kept,o5157-l22660,"By dreadful foes, sentry that never slept.",o5157-l22665,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00114,o5157-w0330
reaped,In these delightsome Pastures long I kept,oar96-l07310," My harmless flocks, and as much pleasure reapt,",oar96-l07315,/ept/ | /iːpt/,half-pararhyme,<b>a</b><b>a</b>,pers00265,oar96-w0310
wept," Like me! her true promise she kept,",o4984-l37260,Like me! she has sorrow'd and wept;,o4984-l37250,/ept/ | /ept/,full,<b>a</b>b<b>a</b>b,pers00238,o4984-w0720
slept," And, from her duty longer kept,",o3552-l01565, In AJALON his Sister slept. ,o3552-l01570,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00155,o3552-w0010
wept, Of Siloe's brook a mournful sabbath kept. ,o4986-l00155," Wandering by Judah's flowery mountains, wept,",o4986-l00145,/ept/ | /ept/,full,a<b>b</b>a<b>b</b>,pers00237,o4986-w0010
slept," And tells of laws despis'd, at least not kept;",o3794-l14755,"Starts from the down on which she lately slept,",o3794-l14750,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00269,o3794-w0050
