r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
grave,"A harden'd, sober, proud, luxurious knave,",o5154-l20325,"For love too busy, and for wit too grave,",o5154-l20320,/eɪv/ | /ɑːv/,half-pararhyme,<b>a</b><b>a</b>,pers00112,o5154-w0310
slave,"This bribes the fool about him, that the knave.",o5154-l20465,"A ribband and a pension buy the slave,",o5154-l20460,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00112,o5154-w0310
brave,Coolly malicious; by design a knave;,o5154-l10080,"More mean than false, ambitious more than brave;",o5154-l10085,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
slave," Of many a Miser, Dastard, Fool, and Knave,",o4091-l22530,"Thou, Fortune! who so oft hast been the Slave,",o4091-l22525,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00305,o4091-w0010
grave," Shall stand proscribed, a madman or a knave,",o3794-l23105,"That he who dares, when she forbids, be grave,",o3794-l23100,/eɪv/ | /ɑːv/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0070
slave," Half politician, atheist, parson, knave,",o5089-l04560," FANNY, dull wight, a Mammon-serving slave,",o5089-l04555,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00058,o5089-w0050
brave," This Scribbling Wretch marks all he meets for Knave,",o4672-l12335," Shoots sudden Bolts promiscuous at the Base and Brave,",o4672-l12340,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00292,o4672-w0620
brave, Disdain the coward and the knave. ,o4987-l31095," And whilst I praise the good and brave,",o4987-l31090,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00204,o4987-w0850
grave, For wise and good stamp ev'ry supple knave? ,o4111-l01660,"Shall lukewarm caution and demeanour grave,",o4111-l01655,/eɪv/ | /ɑːv/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o4111-w0010
grave,"I die in Charity with Fool and Knave,",o3683-l00015, Secure of Happiness beyond the Grave. ,o3683-l00020,/eɪv/ | /ɑːv/,half-pararhyme,<b>a</b><b>a</b>,pers00012,o3683-w0010
slave,"Who knows himself abus'd, yet hugs the knave?",o5156-l17170,"Or that more despicable timorous slave,",o5156-l17165,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00106,o5156-w0590
leave, All these had I — a happy Knave,o5125-l10475, As you may think — but with your Leave,o5125-l10480,/eɪv/ | /iːv/,half-pararhyme,<b>a</b><b>a</b>,pers00154,o5125-w0300
gave, But ah! hard fate! his patron scorns a knave. ,pjo50-l02560, For he brib'd high; five hundred pieces gave;,pjo50-l02555,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0030
gave,Who soon descry'd her darling Knave:,o5154-l22450,"The heap to AV'RICE first she gave,",o5154-l22445,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00075,o5154-w0340
