r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
light,The Funeral of some valiant Knight,pmp18-l34225, May give this Thing it's proper Light. ,pmp18-l34230,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
bright," A bold adven'trous knight,",bhw18-l08930, In glory's annals bright. ,bhw18-l08940,/aɪt/ | /aɪt/,full,a<b>b</b>a<b>b</b>,pers00276,bhw18-w0080
delight,"In the dull feast of neighb'ring knight,",o5154-l15215,Nor can I for my soul delight,o5154-l15210,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00112,o5154-w0230
night, And down ydrops the Knight. ,o4106-l03310, Beyond the length of Night. ,o4106-l03325,/aɪt/ | /aɪt/,rich,aa<b>b</b>cc<b>b</b>,pers00294,o4106-w0070
sight," Sir Edward Archer is an amorous knight,",pcr18-l15400, And maidens chaste and lovely shun his sight;,pcr18-l15405,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
delight,"With some proud Dutchess or a scornful Knight,",o5125-l07060, Or share the Table what supreme Delight? ,o5125-l07055,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00154,o5125-w0220
light," She there at last might meet her wandering knight,",pmt18-l09450,"Yet hoping that, allured by that same light",pmt18-l09440,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0023
sight," And lo! as in a glass, she sees her knight",pmt18-l10600, And vaporous visions swim before her sight:,pmt18-l10590,/aɪt/ | /aɪt/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0023
delight," And lo! as in a glass, she sees her knight",pmt18-l10600," In bower remembered well, the bower of loose Delight. ",pmt18-l10605,/aɪt/ | /aɪt/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0023
night," Blazed through the cavern and proclaimed the knight,",pmt18-l10885," Bred in dark Erebus and nursed in night,",pmt18-l10895,/aɪt/ | /aɪt/,rich,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0023
fight," ""O Psyche! wound not thus thy faithful knight,",pmt18-l11060," Though bleeding yet from that inglorious fight,",pmt18-l11070,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0023
sight, And ask forgiveness of her suffering knight;,pmt18-l11130," He has withdrawn offended from her sight,",pmt18-l11140,/aɪt/ | /aɪt/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0023
flight, And ask forgiveness of her suffering knight;,pmt18-l11130," Nor can that gentle voice now hope to stay his flight,",pmt18-l11145,/aɪt/ | /aɪt/,full,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0023
delight, And gaze enraptured on her matchless knight;,pmt18-l11585, All yield me strange and unconceived delight:,pmt18-l11575,/aɪt/ | /aɪt/,full,abab<b>c</b>d<b>c</b>dd,pers00320,pmt18-w0024
delight," Who half consentingly receives the knight,",pmt18-l12100, Speaks his gay triumph and his proud delight:,pmt18-l12110,/aɪt/ | /aɪt/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0024
sight," With stupid awe they gaze upon the knight,",pmt18-l13885," A dizzy mist obscures their wondering sight,",pmt18-l13875,/aɪt/ | /aɪt/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0024
flight," With stupid awe they gaze upon the knight,",pmt18-l13885," Or, as his voice they hear, trembling disperse in flight. ",pmt18-l13890,/aɪt/ | /aɪt/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0024
might, From my unwary grasp. — A Knight,bse96-l02000, Seiz'd the SWORD of magic might. ,bse96-l02005,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00282,bse96-w0040
unite,"SEDLEY, a truly worthy Knight,",o4257-l00495," In whom strong sense quick parts unite,",o4257-l00500,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00304,o4257-w0010
sight,"Trembling she gazed, until the stranger knight",pmt18-l05885," Which majesty inspired, low in her sight",pmt18-l05895,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0022
delight, Shall share the rapture of thy loyal knight;,pmt18-l06385, Blest witness of thy new restored delight;,pmt18-l06395,/aɪt/ | /aɪt/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0022
