r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
college," In forming her Children to Virtue and Knowledge,",pba35-l04135," Nor trust, for that Care, to a School, or a College:",pba35-l04140,/ɒlɪdʒ/ | /ɒlɪdʒ/,full,<b>a</b><b>a</b>,pers00087,pba35-w0280
college," ""Her butter to my knowledge""",ilc19-l01415," Such quacks and all the College."" ",ilc19-l01425,/ɒlɪdʒ/ | /ɒlɪdʒ/,full,a<b>b</b>a<b>b</b>,pers00215,ilc19-w0040
college,"WHEN now mature in classic knowledge,",o5155-l27730,"The joyful youth is sent to college,",o5155-l27735,/ɒlɪdʒ/ | /ɒlɪdʒ/,full,<b>a</b><b>a</b>,pers00053,o5155-w0500
college," Which musty pedants term the Seat of Knowledge,",pma99-l07780," This, this is life, but that within a College,",pma99-l07775,/ɒlɪdʒ/ | /ɒlɪdʒ/,full,<b>a</b><b>a</b>,pers00306,pma99-w0370
caul, Imbibing wonderous stores of seeming knowledge. ,bjb18-l13325," In braid or bonnet, cap or caul,",bjb18-l13320,/ɒlɪdʒ/ | /ɔːl/,half-pararhyme,<b>a</b><b>a</b>,pers00287,bjb18-w0250
college, It pangs us fou o' Knowledge. ,cbu86-l03690, Than either School or Colledge:,cbu86-l03680,/ɒlɪdʒ/ | /ɒledʒ/,half-pararhyme,a<b>b</b>a<b>b</b>cdcdx,pers00307,cbu86-w0040
college," Reject the rust, and bring the knowledge;",o3982-l05835," Learn'd Antiquaries, who, from college,",o3982-l05830,/ɒlɪdʒ/ | /ɒlɪdʒ/,full,<b>a</b><b>a</b>,pers00274,o3982-w0020
college,Call forth the long-forgotten knowlege,o3982-l06120," Of school, of travel, and of college! ",o3982-l06125,/əʊledʒ/ | /ɒlɪdʒ/,half-pararhyme,<b>a</b><b>a</b>,pers00274,o3982-w0020
college," They cram not with a mass of knowledge,",o3982-l00685," Which smacks of toil, and smells of college,",o3982-l00690,/ɒlɪdʒ/ | /ɒlɪdʒ/,full,<b>a</b><b>a</b>,pers00274,o3982-w0010
college," (Time out of mind your seat of knowledge,",o3552-l00400,"Prophets, embodied in a College,",o3552-l00395,/ɒlɪdʒ/ | /ɒlɪdʒ/,full,<b>a</b><b>a</b>,pers00155,o3552-w0010
college,She knew him introduc'd by KNOWLEDGE;,o5154-l30325,"She said, 'twas since she came from college",o5154-l30320,/ɒlɪdʒ/ | /ɒlɪdʒ/,full,<b>a</b><b>a</b>,pers00141,o5154-w0550
college, SENSATION is the source of knowledge;,o4899-l06080,"Whatever may be said at college,",o4899-l06075,/ɒlɪdʒ/ | /ɒlɪdʒ/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
