r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
shade," Whilst the Flocks to rest are laid,",o4784-l15115,"PRetty Nymph! within this Shade,",o4784-l15110,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00268,o4784-w0460
afraid,"The wealthy squire, whose gouty limbs are laid",o5156-l09705,"On beds of down, almost of down afraid,",o5156-l09710,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00120,o5156-w0380
played,"Here check'd submit, their raging fury laid,",o5156-l09835,By streams from Nature's mystic engine play'd.,o5156-l09840,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00120,o5156-w0380
paid," To Sinners due, on him was laid:",o3900-l10430,"The Debt's discharg'd, the Ransom's paid. ",o3900-l10440,/eɪd/ | /eɪd/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
maid, Where long of yore to sleep was laid,o4986-l11580, The dust of the prophetic Maid. ,o4986-l11585,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00039,o4986-w0260
betrayed,Upon your self the Blame be laid;,o4784-l09135," My Talons you've to Blood betray'd,",o4784-l09140,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>a,pers00268,o4784-w0200
said,Upon your self the Blame be laid;,o4784-l09135, And ly'd in every Word you said. ,o4784-l09145,/eɪd/ | /ed/,half-pararhyme,<b>a</b>a<b>a</b>,pers00268,o4784-w0200
maid," Then on her Cheek her iv'ry Hand she laid,",o5125-l19125, And with a Sigh began the lovely Maid. ,o5125-l19130,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
conveyed," Then in his Place her dunghil Offspring laid,",o5125-l21260, And my young Brother to her Hut convey'd:,o5125-l21265,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
maid," By our dear Parent see me quickly laid,",o5125-l21365," Be thine the Conquest, thine the beauteous Maid;",o5125-l21370,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
strayed,"This hand was on thy pinion lightly laid,",bhw18-l16850,"MISTAKEN Bird, ah whither hast thou stray'd? ",bhw18-l16840,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>b,pers00276,bhw18-w0350
maid,"Soon a dire scheme his brain inventive laid,",cac95-l07515," And prompt to execute, he seeks the maid;",cac95-l07520,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
arrayed, Appear'd on piles of kindling fagots laid —,cac95-l08885," IANTHE's form, in direful garbs array'd,",cac95-l08880,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>a,pers00301,cac95-w0130
shade, Appear'd on piles of kindling fagots laid —,cac95-l08885, Wildly he flew towards the horrid shade. —,cac95-l08890,/eɪd/ | /eɪd/,full,a<b>a</b><b>a</b>,pers00301,cac95-w0130
maid,Where long of yore to sleep was laid,tgaen-l09145,The dust of the prophetic maid.,tgaen-l09150,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00039,tgaen-wdooo
shade," Let no memorial mark where I am laid,",n22cs-l01755,"MAKE there my tomb beneath the lime trees' shade,",n22cs-l01745,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>bcdcdefefgg,pers00290,n22cs-w0240
aid,"And when her father's head was laid,",bed98-l02335,"She scorn'd to sue to her for aid,",bed98-l02340,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00340,bed98-w0040
shade,Let all his acts of lawless pow'r be laid;,o5154-l10335,"To lustful HENRIETTA'S Romish shade,",o5154-l10330,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
made,"He, now with thee, is here in silence laid,",bed98-l19720,Unconscious of the wrecks which Time has made.,bed98-l19725,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00340,bed98-w0620
strayed,"HIGH on a hill's green bosom laid,",o4986-l01970," At ease my careless Fancy stray'd,",o4986-l01975,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>bccb,pers00237,o4986-w0030
plaid,"He, as his Custom was, at Leisure laid",sap09-l02430," In silent Shade, without a Rival plaid. ",sap09-l02435,/eɪd/ | /æd/,half-pararhyme,<b>a</b><b>a</b>,pers00302,sap09-w0050
made,"O'er a low Trunk his Arm he laid,",o4106-l09855, (Where since his Hours a Dial made;),o4106-l09860,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00294,o4106-w0150
shade," And rural nymphs are in soft slumbers laid,",peh89-l08755,"When dusky ev'ning spreads her gloomy shade,",peh89-l08750,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00324,peh89-w0180
head,"Low the dauntless Earl is laid,",o4986-l11370, Fate demands a nobler head;,o4986-l11380,/eɪd/ | /ed/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00039,o4986-w0250
fade, It's Colors: gently has He laid,pmp18-l34835, A silken Web; and ne'er shall fade,pmp18-l34830,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
shade," Go, ask the wretch, in want and sickness laid,",o4985-l10250, Whose goodness brighten'd once Misfortune's shade. ,o4985-l10255,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
aid," The plan of future operations laid,",o4600-l01920," Secret as night, with R—LT'S experienc'd aid,",o4600-l01915,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
played,"In whate'er cast his character was laid,",o4600-l03315," Self still, like oil, upon the surface play'd. ",o4600-l03320,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
betrayed,"Into those traps, which men, call'd PATRIOTS, laid,",o4110-l01075," By specious arts unwarily betray'd,",o4110-l01080,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
shade,"The restless fever of ambition laid,",o4110-l01295," Calm I retire, and seek the sylvan shade. ",o4110-l01300,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
shade,"Each in his narrow cell for ever laid,",o5155-l00075,"Beneath those rugged elms, that yew-tree's shade,",o5155-l00065,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>b,pers00039,o5155-w0010
swayed,Perhaps in this neglected spot is laid,o5155-l00225,"Hands, that the rod of empire might have sway'd,",o5155-l00235,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>b,pers00039,o5155-w0010
paid,"Here, in cold earth my limbs be laid;",o5155-l31430,And here thy generous tear be paid.,o5155-l31435,/eɪd/ | /eɪd/,full,aa<b>b</b><b>b</b>,pers00057,o5155-w0641
clad," "" Ere the foundations of the deep were laid,",o4985-l21325," ""Haply shall soar, in robes of glory clad,",o4985-l21315,/eɪd/ | /æd/,half-pararhyme,abab<b>c</b>d<b>c</b>dee,pers00058,o4985-w0300
shade,"He too perchance, when these poor limbs are laid,",o5157-l38805,"Will heave one tuneful sigh, and sooth my hov'ring Shade.",o5157-l38810,/eɪd/ | /eɪd/,full,ababccddeeffgg<b>h</b><b>h</b>,pers00051,o5157-w0870
aid, Help for All on Thee is laid:,o3900-l20475, Send me now the Promis'd Aid. ,o3900-l20485,/eɪd/ | /eɪd/,full,aab<b>c</b>b<b>c</b>,pers00309,o3900-w1090
displayed, In lasting Bonds my Heart have laid:,o3900-l01040," Some at one Interview display'd,",o3900-l01030,/eɪd/ | /eɪd/,full,a<b>b</b>a<b>b</b>cc,pers00311,o3900-w0030
shade,Lo! yonder negligenly laid,o5154-l27635,"Where thro' the thick-entangled shade,",o5154-l27645,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>bcc,pers00052,o5154-w0450
played,"NOT distant far from where the Youth was laid,",o4741-l07245," A purling Stream, in pleasing Murmurs, play'd;",o4741-l07250,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
said," His shining Lips upon my Breast he laid,",o4741-l08100," And softly press'd my Hand, and smiling said:",o4741-l08105,/eɪd/ | /ed/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0100
made,Methinks I see the royal virgin laid;,o5156-l23570,"In some dark room, for pompous sorrow made,",o5156-l23565,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00103,o5156-w0690
shade," ""When low thy lucld form is laid,",o4987-l19060," ""Ev'n I, who boast no golden shade,",o4987-l19050,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>b,pers00178,o4987-w0610
aid,"In yon gloomy grotto laid,",o5155-l30350, PALEMON asks thy kindly aid;,o5155-l30355,/eɪd/ | /eɪd/,full,aa<b>b</b><b>b</b>ccdd,pers00055,o5155-w0590
made, And on rank Heaps the bearded Victims laid. ,pdi22-l11070," Around the Plain contagious Slaughters made,",pdi22-l11065,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
paid,"Beneath the green sward laid,",bed98-l07040,His funeral honours paid.,bed98-l07050,/eɪd/ | /eɪd/,full,a<b>b</b>a<b>b</b>,pers00340,bed98-w0160
made,"The Dauncing past, the Board was laid,",o4106-l02850, And siker such a Feast was made,o4106-l02855,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>bccb,pers00294,o4106-w0070
glade,For never Spell by Faerie laid,o4106-l03315, With strong Enchantment bound a Glade,o4106-l03320,/eɪd/ | /eɪd/,full,aab<b>c</b><b>c</b>b,pers00294,o4106-w0070
