r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
advance," To lead him captive, and to seize his lance;",cac95-l08805,Wildly he rav'd; the priestly train advance,cac95-l08800,/ɑːns/ | /ɑːns/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
advance," The Knyghtes echeone did poynt the launce,",o4198-l03095, And to the combattes did advance;,o4198-l03100,/ɑːns/ | /ɑːns/,full,aa<b>b</b><b>b</b>bacc,pers00288,o4198-w0160
fraunce," The Knyghtes echeone did poynt the launce,",o4198-l03095," From Hyberne, Scotland, eke from Fraunce;",o4198-l03105,/ɑːns/ | /ɔːns/,half-pararhyme,aa<b>b</b>b<b>b</b>acc,pers00288,o4198-w0160
trance, And from the Marshall toke the launce;,o4198-l03250,"Syr Botelier Rumsie first came from his traunce,",o4198-l03245,/ɑːns/ | /ɔːns/,half-pararhyme,<b>a</b><b>a</b>bbbacc,pers00288,o4198-w0160
advance, And from the Marshall toke the launce;,o4198-l03250, In haste he made a false advance;,o4198-l03270,/ɑːns/ | /ɑːns/,full,a<b>a</b>bbb<b>a</b>cc,pers00288,o4198-w0160
romance," For mighty magic of enchanted lance,",o4600-l02700,"FROM D—bl—n, fam'd in legends of romance",o4600-l02695,/ɑːns/ | /æns/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o4600-w0010
advance," Roll the fierce eye, and shake the pointed lance. ",bhw18-l04200,"Now stern IBERIA'S ruthless sons advance,",bhw18-l04195,/ɑːns/ | /ɑːns/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
advance,And I may carve this eagle-darting lance,bmb97-l00165,But yet I hear no lively foot advance;,bmb97-l00155,/ɑːns/ | /ɑːns/,full,<b>a</b>b<b>a</b>b,pers00315,bmb97-w0010
advance, And deckt in Armour shake the shining Lance:,o4106-l05625,"Ye Frogs! the Mic with Vengeance fir'd, advance,",o4106-l05620,/ɑːns/ | /ɑːns/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
glance,"Whose pitying hand inverts the lance,",bhw18-l07995, Whose gracious eye with mercy's glance,bhw18-l08005,/ɑːns/ | /ɑːns/,full,aa<b>b</b>c<b>b</b>cdedeff,pers00276,bhw18-w0050
advance,So Caradoc bore his lance.,tgaen-l09840,On surrounding foes advance?,tgaen-l09835,/ɑːns/ | /ɑːns/,full,aa<b>b</b><b>b</b>,pers00039,tgaen-wcara
advance,The light'ning of the lance.,o5157-l04265,In solemn state advance!,o5157-l04250,/ɑːns/ | /ɑːns/,full,ababcdcdeeffgghihikk<b>l</b>mm<b>l</b>,pers00038,o5157-w0060
trance,"To arms! cried Mortimer, and couch'd his quiv'ring lance.",o5157-l39495,Stout Gloster stood aghast in speechless trance:,o5157-l39490,/ɑːns/ | /ɑːns/,full,ababccddefef<b>g</b><b>g</b>,pers00039,o5157-w0890
dance," Matchless his Pen, victorious was his Lance;",o3704-l01470," Bold in the Lists, and graceful in the Dance:",o3704-l01475,/ɑːns/ | /ɑːns/,full,<b>a</b><b>a</b>,pers00012,o3704-w0010
dance,What knight like him could toss the rushy launce!,o5152-l05280,Who move so graceful in the mazy dance!,o5152-l05285,/ɑːns/ | /ɑːns/,full,<b>a</b><b>a</b>,pers00011,o5152-w0080
trance,"'To arms!' cried Mortimer, and couched his quivering lance.",tgaen-l07650,Stout Gloucester stood aghast in speechless trance:,tgaen-l07645,/ɑːns/ | /ɑːns/,full,ababccddefef<b>g</b><b>g</b>,pers00039,tgaen-wbapo
advance," High waves his plume, bright beams his lance,",bah18-l02680," Behold with haughty mien advance,",bah18-l02675,/ɑːns/ | /ɑːns/,full,abab<b>c</b><b>c</b>dd,pers00281,bah18-w0140
chance, Imperious Death directs His Ebon Lance;,pmp18-l17330,"Nor aw'd by Foresight, nor mis-led by Chance,",pmp18-l17325,/ɑːns/ | /ɑːns/,full,<b>a</b><b>a</b>a,pers00314,pmp18-w0560
dance, Imperious Death directs His Ebon Lance;,pmp18-l17330," Peoples great Henry's Tombs, and leads up Holben's Dance. ",pmp18-l17335,/ɑːns/ | /ɑːns/,full,a<b>a</b><b>a</b>,pers00314,pmp18-w0560
advance," In arm'd array, nor grasp the glittering lance;",o4984-l26915, Tho' now no more thy crested chiefs advance,o4984-l26910,/ɑːns/ | /ɑːns/,full,<b>a</b><b>a</b>,pers00053,o4984-w0480
trance," And give to Satire's grasp her vengeful lance,",o4987-l27845," The Muse shall start from her inglorious trance,",o4987-l27840,/ɑːns/ | /ɑːns/,full,<b>a</b><b>a</b>,pers00255,o4987-w0780
dance,""" He shakes a warlike lance;",o4986-l01230,""" He leads the sprightly dance,",o4986-l01240,/ɑːns/ | /ɑːns/,full,x<b>a</b>x<b>a</b>,pers00237,o4986-w0020
glance," Lean'd on his burnish'd lance,",o4986-l01350, Obey'd his manly glance. ,o4986-l01360,/ɑːns/ | /ɑːns/,full,x<b>a</b>x<b>a</b>,pers00237,o4986-w0020
