r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
care,Thou clears the head o' doited Lear;,cbu86-l01405, Thou chears the heart o' drooping Care;,cbu86-l01410,/ɪə/ | /eə/,half-pararhyme,<b>a</b><b>a</b>abab,pers00307,cbu86-w0020
labor-sair,Thou clears the head o' doited Lear;,cbu86-l01405," Thou strings the nerves o' Labor-sair,",cbu86-l01415,/ɪə/ | /er/,half-pararhyme,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0020
despair,Thou clears the head o' doited Lear;,cbu86-l01405," Thou ev'n brightens dark Despair,",cbu86-l01425,/ɪə/ | /eə/,half-pararhyme,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0020
ear,"OTHELLO, RICHARD, HAMLET, LEAR,",o5153-l29445,"Whatever name delight thine ear,",o5153-l29440,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00038,o5153-w0500
here, Such well-applauded tenderness to Lear? ,o4600-l02920,"What man could give, if B—Y was not here,",o4600-l02915,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
more," It kindles Wit, it waukens Lear,",cbu86-l03685,Leeze me on Drink! it gies us mair,cbu86-l03675,/ɪə/ | /eə/,half-pararhyme,<b>a</b>b<b>a</b>bcdcdx,pers00307,cbu86-w0040
more," It's no in books; it's no in Lear,",cbu86-l11330," It's no in makin muckle, mair:",cbu86-l11325,/ɪə/ | /eə/,half-pararhyme,aab<b>c</b><b>c</b>bdedexfxf,pers00307,cbu86-w0150
fair," An' strive, wi' a' your Wit an' Lear,",cbu86-l02425,"For G — d-sake, Sirs! then speak her fair,",cbu86-l02405,/ɪə/ | /eə/,half-pararhyme,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0030
hair," An' strive, wi' a' your Wit an' Lear,",cbu86-l02425," An' straik her cannie wi' the hair,",cbu86-l02410,/ɪə/ | /eə/,half-pararhyme,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0030
repair," An' strive, wi' a' your Wit an' Lear,",cbu86-l02425," An' to the muckle house repair,",cbu86-l02415,/ɪə/ | /eə/,half-pararhyme,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0030
severe,"As institutions sage, and venerable lear.",o5155-l02925,"Alse his behests or gentle or severe,",o5155-l02910,/ɪə/ | /ɪə/,full,ababb<b>c</b>bc<b>c</b>,pers00024,o5155-w0030
revere,"As institutions sage, and venerable lear.",o5155-l02925,"He craftily persuades them to revere,",o5155-l02920,/ɪə/ | /ɪə/,full,ababbcb<b>c</b><b>c</b>,pers00024,o5155-w0030
