r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
strength," Thro' ev'ry changing Cadence runs at length,",sap09-l02640," And adds in Sweetness, what she wants in Strength. ",sap09-l02645,/eŋθ/ | /eŋθ/,full,<b>a</b><b>a</b>,pers00302,sap09-w0050
strength," Strutting in Armour, and at Length:",pmp18-l12870," He shows not half his Force and Strength,",pmp18-l12865,/eŋθ/ | /eŋθ/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0480
strength, He rises higher half his Length. ,pmp18-l33435," Straight gath'ring all his active Strength,",pmp18-l33430,/eŋθ/ | /eŋθ/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
strength," Decide no question with their tedious length,",o3794-l21160," For opposition gives opinion strength,",o3794-l21165,/eŋθ/ | /eŋθ/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
strength," Feel less the journey's roughness and its length,",o3794-l24220," Meet their opposers with united strength,",o3794-l24225,/eŋθ/ | /eŋθ/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
strength,Bound on a voyage of awful length,o3794-l30395," A stranger to superior strength,",o3794-l30405,/eŋθ/ | /eŋθ/,full,<b>a</b>b<b>a</b>b,pers00269,o3794-w0160
strength,"By all forsaken, he resolves at length",o5156-l22745,To try the poor remains of wasted strength;,o5156-l22750,/eŋθ/ | /eŋθ/,full,<b>a</b><b>a</b>,pers00103,o5156-w0690
strength, And slowly trail along their wormy Length. ,pdi22-l04310,"Half-Fish, Half-Slime they try their doubtful strength,",pdi22-l04305,/eŋθ/ | /eŋθ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
strength," Draws in his Train, and twines his shorten'd Length. ",pdi22-l10015,"Enrag'd the Foe exerts his utmost Strength,",pdi22-l10010,/eŋθ/ | /eŋθ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
strength," Makes up in value what she wants in length,",o3587-l02145," Exerts her pow'rs, and puts forth all her strength,",o3587-l02150,/eŋθ/ | /eŋθ/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
strength," Though loth to action, is compell'd at length,",pcr18-l09730," Forced on some farm, the unexerted strength,",pcr18-l09725,/eŋθ/ | /eŋθ/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
strength,"Till wearied with her fruitless way, at length",pmt18-l10295," No wish remained to aid exhausted strength,",pmt18-l10305,/eŋθ/ | /eŋθ/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0023
