r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
night," And sees a spreading, glaring light. ",o4091-l22850, Proclaim'd the solemn hour of night:,o4091-l22840,/aɪt/ | /aɪt/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
sight, Her radiant robe of living light. ,o4091-l23930,Rise in thy beauty to my sight. ,o4091-l23920,/aɪt/ | /aɪt/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
write, To set their worth in truest light. ,ojg27-l04900,"If these can read, to these I write,",ojg27-l04895,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0200
night,Extinguish'd by superior light.,o5152-l18745,"And then goes out at end of night,",o5152-l18740,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00101,o5152-w0230
night,The uncertain crescent gleams a sickly light.,tgaen-l00945,As when athwart the dusky woods by night,tgaen-l00940,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00039,tgaen-wtrgl
sight,Proud of its thousand dyes and luxury of light.,tgaen-l01055,"The diamond there attracts the wondering sight,",tgaen-l01050,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00039,tgaen-wtrgl
right, Dance by fu' light. ,cbu86-l05660," That, wielded right,",cbu86-l05650,/aɪt/ | /aɪt/,full,aaa<b>b</b>a<b>b</b>,pers00307,cbu86-w0080
quite, And all the vault of heaven is streak'd with light;,o4985-l27400," And, for the noon-day heat, our pains doth quite,",o4985-l27410,/aɪt/ | /aɪt/,full,a<b>b</b>a<b>b</b>bcbcc,pers00033,o4985-w0390
bright, And all the vault of heaven is streak'd with light;,o4985-l27400," For all is calm, serene, and passing bright:",o4985-l27415,/aɪt/ | /aɪt/,full,a<b>b</b>ab<b>b</b>cbcc,pers00033,o4985-w0390
light, And all the vault of heaven is streak'd with light;,o4985-l27400, And sheds sweet odours from his pennons light. ,o4985-l27425,/aɪt/ | /aɪt/,identical,a<b>b</b>abbc<b>b</b>cc,pers00033,o4985-w0390
light, And sheds sweet odours from his pennons light. ,o4985-l27425, And all the vault of heaven is streak'd with light;,o4985-l27400,/aɪt/ | /aɪt/,identical,a<b>b</b>abbc<b>b</b>cc,pers00033,o4985-w0390
quite, And sheds sweet odours from his pennons light. ,o4985-l27425," And, for the noon-day heat, our pains doth quite,",o4985-l27410,/aɪt/ | /aɪt/,full,aba<b>b</b>bc<b>b</b>cc,pers00033,o4985-w0390
bright, And sheds sweet odours from his pennons light. ,o4985-l27425," For all is calm, serene, and passing bright:",o4985-l27415,/aɪt/ | /aɪt/,full,abab<b>b</b>c<b>b</b>cc,pers00033,o4985-w0390
wight," With head yfraught with law, and pockets light,",o4985-l27865, To purer air doth speed each crafty wight;,o4985-l27850,/aɪt/ | /aɪt/,full,a<b>b</b>ab<b>b</b>cbcc,pers00033,o4985-w0390
right," With head yfraught with law, and pockets light,",o4985-l27865," Grown grey in the asserting of his right,",o4985-l27860,/aɪt/ | /aɪt/,full,aba<b>b</b><b>b</b>cbcc,pers00033,o4985-w0390
delight," With head yfraught with law, and pockets light,",o4985-l27865, And views each rural object with delight. ,o4985-l27875,/aɪt/ | /aɪt/,full,abab<b>b</b>c<b>b</b>cc,pers00033,o4985-w0390
night," Avail'd not here; her pure celestial light,",yfs88-l01695," Lost in the gloom of superstition's night,",yfs88-l01700,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
