r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
shine, And breathe celestial through the speaking Line:,o5125-l13375," Here Hope, Content, and smiling Mercy shine;",o5125-l13370,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00154,o5125-w0370
shine," With the united Glories of his Line,",pse03-l11745,"Had Glo'ester liv'd, and made his Actions shine,",pse03-l11740,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>a,pers00272,pse03-w0530
thine," With the united Glories of his Line,",pse03-l11745, He'd less Immortal been than in these lays of thine. ,pse03-l11750,/aɪn/ | /aɪn/,full,a<b>a</b><b>a</b>,pers00272,pse03-w0530
divine, Mightiest of a mighty line —,o4986-l11900,No boding Maid of skill divine,o4986-l11905,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00039,o4986-w0260
shine, With croud of names the sounding line. ,o4546-l00570," Of you, ye other bards who shine,",o4546-l00560,/aɪn/ | /aɪn/,full,a<b>b</b>a<b>b</b>ccddee,pers00304,o4546-w0010
divine,Mightiest of a mighty line —,tgaen-l09465,No boding maid of skill divine,tgaen-l09470,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00039,tgaen-wdooo
caroline,"And high refulgent on the female line,",o5153-l32210,Of BRITISH CAROLINE:,o5153-l32220,/aɪn/ | /ærəlaɪn/,half-vowelrhyme,aab<b>c</b>b<b>c</b>deedffgghhikkii,pers00040,o5153-w0590
design,"Far as th' Almighty stretch'd his utmost line,",o5152-l25585,"He pierc'd in thought, and view'd the vast design.",o5152-l25590,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
design,With true proportion and exactest line:,o5152-l26235,"Each figure plac'd in nature's wise design,",o5152-l26230,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
shine," See! the firm leaders of my patriot line,",o4984-l23050," See! Sidney, Raleigh, Hampden, Somers shine. ",o4984-l23055,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00051,o4984-w0430
mine, And bid her toss the Line;,o4784-l02205, A harder Heart than mine. ,o4784-l02220,/aɪn/ | /aɪn/,full,a<b>b</b>aa<b>b</b>,pers00268,o4784-w0050
shine," Through thin soft haze, and shew their wavy line. ",bjb18-l11805," While, far beyond, the hills of Surrey shine",bjb18-l11800,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0220
shine, Along her streets in many a starry line: —,bjb18-l11945," Cast up, from myriads of lamps that shine",bjb18-l11940,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0220
resign,These conscious shame witheld and pride of noble line.,tgaen-l00380,"Prevent disgrace, the palm despaired resign.",tgaen-l00370,/aɪn/ | /aɪn/,full,<b>a</b>a<b>a</b>,pers00039,tgaen-wtra6
decline,These conscious shame witheld and pride of noble line.,tgaen-l00380,All but two youths the enormous orb decline:,tgaen-l00375,/aɪn/ | /aɪn/,full,a<b>a</b><b>a</b>,pers00039,tgaen-wtra6
divine,Though with new honours the patrician's line,o5157-l02360,"Unenvious. Thus alone, though strains divine",o5157-l02350,/aɪn/ | /aɪn/,full,abab<b>c</b>d<b>c</b>deeffghghikki,pers00047,o5157-w0020
shine," Nor scorn the grateful, tho' unletter'd line;",pye85-l01805, When in bright Sol he sees a Godhead shine. ,pye85-l01815,/aɪn/ | /aɪn/,full,a<b>b</b>a<b>b</b>,pers00256,pye85-w0050
design,"A poet does not work by square or line,",o3794-l24670," As smiths and joiners perfect a design,",o3794-l24675,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
refine," Beam thro' each word, and brighten every line! ",o4985-l10015,"How does thy sense the poet's thought refine,",o4985-l10010,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
shine, She gave new feeling to the nervous line;,o4985-l10665,She gave your scenes with every grace to shine:,o4985-l10660,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
shine,"Which marks their graces with a clearer line,",bed98-l16290,And draws each forth more pointedly to shine.,bed98-l16295,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00340,bed98-w0440
repine," May Britain, blest in Brunswic's Line,",pmc36-l02440,"While envious Foes in vain repine,",pmc36-l02435,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>bccb,pers00325,pmc36-w0050
divine,"Since after thee may rise an impious line,",o5152-l04170,"Coarse manglers of the human face divine,",o5152-l04175,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00011,o5152-w0050
shrine,"Now should I, in some sweet poetic line,",o4600-l00965, Offer up incense at APOLLO'S shrine;,o4600-l00970,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
join," To curse the freedom of each honest line,",o4600-l01610,"No, — though half-poets with half-players join",o4600-l01605,/aɪn/ | /ɔɪn/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o4600-w0010
join, To stamp new vigour on the nervous line:,o4600-l02840," Conjunction, preposition, adverb, join",o4600-l02835,/aɪn/ | /ɔɪn/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o4600-w0010
fine, That Sense may kindly end with ev'ry line? ,o4600-l02930,"Who else can speak so very, very fine,",o4600-l02925,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
