r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
road, A Mitre's gorgeous envy'd load? ,o4091-l23200," And honour's courted, thorn-strow'd road? ",o4091-l23210,/əʊd/ | /əʊd/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
god," Of Life's incumbent, hated load;",o4091-l23660," With nought conversing, but my God:",o4091-l23670,/əʊd/ | /ɒd/,half-pararhyme,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
tyburn-road,"Ne'er press'd with a more griev'd or guilty load,",o5154-l20865,"Now rumbling o'er the stones of Tyburn-road,",o5154-l20860,/əʊd/ | /əʊd/,full,<b>a</b><b>a</b>,pers00112,o5154-w0320
mode, And bear about the hairy load? ,ojg27-l05770," Stubborn in pride, retain the mode,",ojg27-l05765,/əʊd/ | /əʊd/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0230
god," And Hills of Guilt, a Heavy Load! ",o4672-l02235,When shall our Eyes behold our God? ,o4672-l02225,/əʊd/ | /ɒd/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00292,o4672-w0120
road,"That trails thro' slimy paths its cumbrous load,",o5156-l27850,And wing with flutt'ring pride th' aetherial road;,o5156-l27860,/əʊd/ | /əʊd/,full,a<b>b</b>a<b>b</b>cdcdee,pers00050,o5156-w0780
strowed,""" All faint, and labouring with the luscious load;",o4985-l21180,""" On silken beds of roses sweetly strow'd,",o4985-l21170,/əʊd/ | /əʊd/,full,ababc<b>d</b>c<b>d</b>ee,pers00058,o4985-w0300
god," For then the Soul, disburden'd of her Load,",o4741-l08470," Soars high, and grows prophetic, like a God;",o4741-l08475,/əʊd/ | /ɒd/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0100
goad," She groans, and writhes, reluctant with her Load. ",o4741-l09105," Till, in the Fields, urg'd with the piercing Goad,",o4741-l09100,/əʊd/ | /əʊd/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
bestowed,"But honours disproportion'd are a load,",o5156-l22665,"Grandeur a specious curse, when ill bestow'd.",o5156-l22670,/əʊd/ | /əʊd/,full,<b>a</b><b>a</b>,pers00103,o5156-w0690
rode,Betwixt her swagging pannier's load,ojg27-l09025," A Farmer's wife to market rode,",ojg27-l09030,/əʊd/ | /əʊd/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0380
stowed, Bursting at length discharge the nauseous Load. ,pdi22-l08660, Till his swoln Maw with useless Lumber stow'd,pdi22-l08655,/əʊd/ | /əʊd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
flood," Oft heaves his Back, and shakes the pressing Load;",pdi22-l10265," Plies his broad Tail, and cuts the rolling Flood,",pdi22-l10260,/əʊd/ | /ʌd/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
abroad," What is a lordling's pomp? a cumbrous load,",cbu86-l10685," That makes her lov'd at home, rever'd abroad:",cbu86-l10660,/əʊd/ | /ɔːd/,half-pararhyme,a<b>b</b>abbc<b>b</b>cc,pers00307,cbu86-w0130
god," What is a lordling's pomp? a cumbrous load,",cbu86-l10685, 'An honest man's the noble work of GOD;',cbu86-l10670,/əʊd/ | /ɒd/,half-pararhyme,aba<b>b</b>bc<b>b</b>cc,pers00307,cbu86-w0130
road," What is a lordling's pomp? a cumbrous load,",cbu86-l10685," And certes, in fair Virtue's heavenly road,",cbu86-l10675,/əʊd/ | /əʊd/,full,abab<b>b</b>c<b>b</b>cc,pers00307,cbu86-w0130
mode," Compact of Timber many a Load,",psw11-l01845,"A Bedstead of the Antique Mode,",psw11-l01840,/əʊd/ | /əʊd/,full,<b>a</b><b>a</b>,pers00148,psw11-w0060
road,"See the dull Wheels roll on the Sable Load,",o4672-l14940," But no dear Son to tread the Mournful Road,",o4672-l14945,/əʊd/ | /əʊd/,full,<b>a</b><b>a</b>,pers00292,o4672-w0680
god,Calm each great soul quits his clay-cumb'rous load. ,o4154-l00310,"Springs to the skies, and humbly waits his God. ",o4154-l00315,/əʊd/ | /ɒd/,half-pararhyme,<b>a</b><b>a</b>,pers00332,o4154-w0010
road, And safe in Crete depos'd his lovely Load. ,o4106-l05235," With oary Feet the Bull triumphant road,",o4106-l05230,/əʊd/ | /əʊd/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
road," O Life! Thou art a galling load,",cbu86-l12230," Along a rough, a weary road,",cbu86-l12235,/əʊd/ | /əʊd/,full,aab<b>c</b><b>c</b>bdedexfxf,pers00307,cbu86-w0170
goad,And thou must bear th' unwelcome load;,o5153-l26820,"Or, shou'd the brutish instinct goad,",o5153-l26815,/əʊd/ | /əʊd/,full,<b>a</b><b>a</b>,pers00119,o5153-w0450
mode," Would from their shoulders hitch time's heavy load,",bjb18-l10910," While all, attempting many a different mode,",bjb18-l10905,/əʊd/ | /əʊd/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0180
abode," The verdant plain no longer load,",bao18-l00970," Fond, faithful lovers' blest abode. ",bao18-l00980,/əʊd/ | /əʊd/,full,x<b>a</b>x<b>a</b>,pers00279,bao18-w0020
stowed,"And branches bending with their load,",o5156-l12295,"Is gathering, and in safety stow'd.",o5156-l12305,/əʊd/ | /əʊd/,full,a<b>b</b>a<b>b</b>,pers00093,o5156-w0480
abode,"I, who am Cumbred with so vast a Load",oat77-l04095,Oh! when shall I arrive at the Abode,oat77-l04080,/əʊd/ | /əʊd/,full,aabccddeffggehhiijbbj<b>k</b>ll<b>k</b>mmk,pers00344,oat77-w0230
road,"I, who am Cumbred with so vast a Load",oat77-l04095,"Ere I redress my Stray's, & get into the Road. ",oat77-l04110,/əʊd/ | /əʊd/,full,aabccddeffggehhiijbbjkll<b>k</b>mm<b>k</b>,pers00344,oat77-w0230
god," Oft hast Thou groan'd beneath thy Load,",o3900-l23960, And sunk — into the Arms of GOD! ,o3900-l23965,/əʊd/ | /ɒd/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1280
god,"The Soul, that moves this earthly load,",o4984-l16765, Nor lose the traces of the God,o4984-l16775,/əʊd/ | /ɒd/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00045,o4984-w0280
god," ""Speak, are you strong to bear the Load,",o4672-l03200,""" The weighty Vengeance of a God? ",o4672-l03205,/əʊd/ | /ɒd/,half-pararhyme,<b>a</b><b>a</b>bb,pers00292,o4672-w0160
god,The soul that moves this earthly load,o5156-l26630,"Nor lose the traces of the God,",o5156-l26640,/əʊd/ | /ɒd/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00045,o5156-w0760
road," And, Pack-horse like, joggs on beneath his Load:",ppo24-l04155,"But he is happy; loves the common Road,",ppo24-l04150,/əʊd/ | /əʊd/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0030
road," A train of camels with their spicy load,",cer72-l02525," Nor long they sat, for on the neighb'ring road",cer72-l02520,/əʊd/ | /əʊd/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
road," Some call to march, and some to lift the Load;",o4106-l08550,"Black Ants in Teams come darkning all the Road,",o4106-l08545,/əʊd/ | /əʊd/,full,<b>a</b><b>a</b>,pers00294,o4106-w0120
abroad," And having nought, that more his mind can Load,",oac95-l01070, He doubts will Double all his Rage Abroad. ,oac95-l01075,/əʊd/ | /ɔːd/,half-pararhyme,<b>a</b><b>a</b>,pers00333,oac95-w0010
road,What must it be with Grandieur's cumbring Load?,oat77-l05695,"If Life's at best a tedious rugged Road,",oat77-l05690,/əʊd/ | /əʊd/,full,ababcc<b>d</b><b>d</b>,pers00344,oat77-w0310
stowed,When the fruit makes the branches bend down with its load. ,o4985-l11400," In a bed of clean straw let our apples be stow'd,",o4985-l11410,/əʊd/ | /əʊd/,full,<b>a</b>b<b>a</b>b,pers00167,o4985-w0180
road,What time the waggon's cumbrous load,o5157-l18120,Grates along the grav'lly road:,o5157-l18125,/əʊd/ | /əʊd/,full,<b>a</b><b>a</b>,pers00146,o5157-w0200
