r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
gloss," Varnish or hide the greatness of my loss,",pyl90-l00640," ""Then truly tell me, nor with flattering gloss,",pyl90-l00635,/ɒs/ | /ɒs/,full,<b>a</b><b>a</b>,pers00322,pyl90-w0040
moss,"I seldom have met with a loss,",o5155-l38750,"My fountains all border'd with moss,",o5155-l38760,/ɒs/ | /ɒs/,full,abab<b>c</b>d<b>c</b>d,pers00035,o5155-w0950
across,"Then to contribute to my loss,",ojg27-l08955," My knife and fork were laid across,",ojg27-l08960,/ɒs/ | /ɒs/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0380
cross,""" The Saracens vast loss. ",o3462-l01375,""" Upon whose orb the cross,",o3462-l01365,/ɒs/ | /ɒs/,full,a<b>b</b>a<b>b</b>,pers00299,o3462-w0010
cross, Pain and Poverty and Loss:,o3900-l19965, Scourg'd and nail'd him to the Cross. ,o3900-l19975,/ɒs/ | /ɒs/,full,aab<b>c</b>b<b>c</b>,pers00309,o3900-w1070
cross, All Things for Thee I count but Loss;,o3900-l14385, My only Glory be thy Cross! ,o3900-l14395,/ɒs/ | /ɒs/,full,a<b>b</b>a<b>b</b>,pers00310,o3900-w0790
cross," Bewilder'd once, must he bewail his loss",o3794-l06970, For ever and for ever? No — the cross. ,o3794-l06975,/ɒs/ | /ɒs/,full,<b>a</b><b>a</b>,pers00269,o3794-w0020
cross,"Pleased with the melancholy scene, each loss",pmt18-l17295," I bless the peaceful mound, the mouldering cross,",pmt18-l17280,/ɒs/ | /ɒs/,full,abba<b>c</b>dd<b>c</b>effegg,pers00320,pmt18-w0080
engross, To Providence I attribute my Loss. ,o4784-l17840,"Vain-glorious Man do's thus the Praise engross,",o4784-l17845,/ɒs/ | /əʊs/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0560
cross," As God's expedient to retrieve his loss,",o3795-l27070," Point to the cure, describe a Saviour's cross",o3795-l27065,/ɒs/ | /ɒs/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
was,His Presence only must retrieve That Loss:,pmp18-l18710, Marlbrô to Her must be what William was. ,pmp18-l18715,/ɒs/ | /ɒz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0580
close,"I own, said Will, I'm at a loss,",o4899-l06635, You press the point so very close;,o4899-l06640,/ɒs/ | /əʊz/,half-pararhyme,<b>a</b><b>a</b>,pers00330,o4899-w0010
toss," All speakers, yet all language at a loss. ",o3794-l15380,"The flirted fan, the bridle and the toss,",o3794-l15375,/ɒs/ | /ɒs/,full,<b>a</b><b>a</b>,pers00269,o3794-w0050
cross," To prove that without Christ, all gain is loss,",o3794-l16810," All hope, despair, that stands not on his cross,",o3794-l16815,/ɒs/ | /ɒs/,full,<b>a</b><b>a</b>,pers00269,o3794-w0050
remorse," Finds all his Gains repaid with Loss,",pmc36-l02645,The guilty Soul with keen Remorse,pmc36-l02640,/ɒs/ | /ɔːs/,half-pararhyme,aab<b>c</b><b>c</b>b,pers00325,pmc36-w0070
