r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
over," You may regret a faithful lover,",bah18-l05925,"All my griefs will then be over,",bah18-l05915,/ʌvə/ | /əʊvə/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00281,bah18-w0370
discover,"In my silence see the lover,",o5155-l25045,In my eyes you'll best discover,o5155-l25055,/ʌvə/ | /ʌvə/,full,<b>a</b>b<b>a</b>b,pers00137,o5155-w0420
over,"The Bully beat, and happy Lover",pmp18-l31425," Confess, that Feeling lies all over. ",pmp18-l31430,/ʌvə/ | /əʊvə/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
discover, Suppose your Hero were a Lover. ,pmp18-l33145,"This Truth more plainly to discover,",pmp18-l33140,/ʌvə/ | /ʌvə/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
over,"In vain You tell your parting Lover,",pmp18-l02420, You wish fair Winds may waft Him over. ,pmp18-l02425,/ʌvə/ | /əʊvə/,half-pararhyme,<b>a</b><b>a</b>bbccc,pers00314,pmp18-w0100
over," Sweet Blackbird, charm thy listening lover! ",pmt18-l19155, When hopes could smile that now are over. ,pmt18-l19165,/ʌvə/ | /əʊvə/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00320,pmt18-w0260
discover,"It is an awkard, whining Lover;",clc03-l15085,"I'll tell you, since you can't discover,",clc03-l15080,/ʌvə/ | /ʌvə/,full,<b>a</b><b>a</b>,pers00349,clc03-w0300
recover,Again may claim it from her lover;,o5153-l27330,Can ne'er her squander'd fame recover.,o5153-l27340,/ʌvə/ | /ʌvə/,full,a<b>b</b>a<b>b</b>cc,pers00119,o5153-w0800
discover, As a fine Lady a new Lover;,o4257-l00530," And likes Exotics to discover,",o4257-l00525,/ʌvə/ | /ʌvə/,full,<b>a</b><b>a</b>,pers00304,o4257-w0010
cover," May, with the friend, disguise the lover,",o5089-l10400," And tho' he long, his aim to cover,",o5089-l10395,/ʌvə/ | /ʌvə/,full,<b>a</b><b>a</b>,pers00180,o5089-w0130
over, With all the fondness of a lover;,bsb18-l22320, And get your letters — read them over,bsb18-l22315,/ʌvə/ | /əʊvə/,half-pararhyme,<b>a</b><b>a</b>,pers00280,bsb18-w0300
recover, And laugh at the fate of a vanquished lover. ,bjl92-l05365, So happily I of my wounds did recover;,bjl92-l05355,/ʌvə/ | /ʌvə/,full,a<b>b</b>a<b>b</b>,pers00338,bjl92-w0180
discover,"As, on Sundays, does the lover",o5155-l37070,"Peers can no such charms discover,",o5155-l37060,/ʌvə/ | /ʌvə/,full,<b>a</b>b<b>a</b>b,pers00035,o5155-w0900
danube," Oh whither, she cried, hast thou wander'd, my lover;",n27tc-l05790,ALONE to the banks of the dark-rolling Danube,n27tc-l05780,/ʌvə/ | /ænjuːb/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00316,n27tc-w0050
discover,"Soon or late you'll hear a Lover,",o4784-l22670," Ages won't a Heart discover,",o4784-l22680,/ʌvə/ | /ʌvə/,full,<b>a</b>b<b>a</b>b,pers00268,o4784-w0770
her,"He, over head and ears her lover,",o5157-l29280,Try'd all the ways he cou'd to move her;,o5157-l29285,/ʌvə/ | /ɜː/,half-pararhyme,<b>a</b><b>a</b>,pers00072,o5157-w0520
over," The haughty Prince, tho' much a lover,",o4987-l02170, Beauties would run to be sketch'd over;,o4987-l02165,/ʌvə/ | /əʊvə/,half-pararhyme,<b>a</b><b>a</b>,pers00057,o4987-w0050
discover," You'll never find a lover. "" ",bjl92-l05165, To you I must discover;,bjl92-l05155,/ʌvə/ | /ʌvə/,full,a<b>b</b>a<b>b</b>,pers00338,bjl92-w0170
