r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
be, Made up of pride and their lov'd luxury. ,oae86-l02165," All masculine souls, who only seem to be",oae86-l02160,/ʌkʃri/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00272,oae86-w0010
see, Untainted yet by luxury. ,o4984-l03780, And plenty's flowing cup we see,o4984-l03775,/ʌkʃri/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00218,o4984-w0030
die,"Remoter helps are Springs to Luxury,",pse03-l01325," Rich Wines and Spices, and the Tyrian die,",pse03-l01330,/ʌkʃri/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>a,pers00272,pse03-w0020
supply,"Remoter helps are Springs to Luxury,",pse03-l01325," Do not our Wants, but Wantonness supply. ",pse03-l01335,/ʌkʃri/ | /aɪ/,half-pararhyme,<b>a</b>a<b>a</b>,pers00272,pse03-w0020
buy," Then, pray, who suffers most from luxury? ",o5089-l20985," And yet some sell their lands, these bits to buy;",o5089-l20980,/ʌkʃri/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00017,o5089-w0420
die,"Of dancers, broid'rers, slaves of luxury,",o5153-l10825,"A veil of semblaunce fair, and richest dye,",o5153-l10835,/ʌkʃri/ | /aɪ/,half-pararhyme,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5153-w0310
descry,"Of dancers, broid'rers, slaves of luxury,",o5153-l10825,That none their inward baseness mote descry.,o5153-l10840,/ʌkʃri/ | /aɪ/,half-pararhyme,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5153-w0310
espy,"Of dancers, broid'rers, slaves of luxury,",o5153-l10825,"Which when false ARCHIMAGO 'gan espy,",o5153-l10850,/ʌkʃri/ | /aɪ/,half-pararhyme,a<b>b</b>abbc<b>b</b>cc,pers00024,o5153-w0310
eye,And wonder at the courtier's swollen luxury.,o5156-l35280,"View well the silent shade with sober eye,",o5156-l35275,/ʌkʃri/ | /aɪ/,half-pararhyme,ababb<b>c</b><b>c</b>,pers00108,o5156-w1090
enjoy, Th' extensive blessing of his Luxury. ,o3676-l03150," All feed on one vain Patron, and enjoy",o3676-l03145,/ʌkʃri/ | /ɔɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00012,o3676-w0010
degree," They lay, pour'd out in Ease and Luxury. ",o3818-l03195," Bevies of dainty Dames, of high Degree,",o3818-l03180,/ʌkʃri/ | /iː/,half-pararhyme,a<b>b</b>ab<b>b</b>cbcc,pers00020,o3818-w0010
free," They lay, pour'd out in Ease and Luxury. ",o3818-l03195," Where, from gross mortal Care and Business free,",o3818-l03190,/ʌkʃri/ | /iː/,half-pararhyme,aba<b>b</b><b>b</b>cbcc,pers00020,o3818-w0010
be," They lay, pour'd out in Ease and Luxury. ",o3818-l03195, Alas! and well-a-day! what can it be? ,o3818-l03205,/ʌkʃri/ | /iː/,half-pararhyme,abab<b>b</b>c<b>b</b>cc,pers00020,o3818-w0010
free,""" Their every Power dissolv'd in Luxury,",o3818-l06240,""" And from the powerful Arms of Sloth get free. ",o3818-l06250,/ʌkʃri/ | /iː/,half-pararhyme,ababb<b>c</b>b<b>c</b>c,pers00020,o3818-w0010
be,""" Their every Power dissolv'd in Luxury,",o3818-l06240," ""'Tis rising from the Dead — Alas! — It cannot be! ",o3818-l06255,/ʌkʃri/ | /iː/,half-pararhyme,ababb<b>c</b>bc<b>c</b>,pers00020,o3818-w0010
see,Than all the pomp of modern luxury.,o5153-l04375,Those hallow'd ruins better pleas'd to see,o5153-l04370,/ʌkʃri/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00030,o5153-w0070
see,"Adorn'd by Art, disgrac'd by Luxury;",o5153-l03525,With shame that other fam'd retreat I see,o5153-l03520,/ʌkʃri/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00030,o5153-w0040
die, Nor all thy gaudy Pomp of Luxury. ,o4741-l21830,"I envy not the purple Dye,",o4741-l21825,/ʌkʃri/ | /aɪ/,half-pararhyme,aa<b>b</b><b>b</b>,pers00091,o4741-w0430
try,And wind up appetite to luxury.,o5153-l22320,"Add, blend, compose, each various mixture try,",o5153-l22315,/ʌkʃri/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00119,o5153-w0340
