r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
shades," A lovely Bower held two fairer Maids,",o5125-l19040," Reclin'd at ease within the secret Shades,",o5125-l19035,/eɪdz/ | /eɪdz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
shades," The sly Sophinia us'd to leave her Maids,",o5125-l19705, And meet Polyphon in the balmy Shades;,o5125-l19710,/eɪdz/ | /eɪdz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
blades, Who trifle with their Mother's Maids;,pmp18-l36185,"Or as again those am'rous Blades,",pmp18-l36180,/eɪdz/ | /eɪdz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
shades,And wanton with my lady's maids;,o5154-l28825,"If DAVID should pollute these shades,",o5154-l28820,/eɪdz/ | /eɪdz/,full,<b>a</b><b>a</b>,pers00098,o5154-w0540
shades, And join in Attic bowers th' Aonian maids;,o4987-l21315," With you I pierce thro' academic shades,",o4987-l21310,/eɪdz/ | /eɪdz/,full,<b>a</b><b>a</b>,pers00055,o4987-w0700
shades, And are what vulgar mortals call Old Maids;,o5280-l04145," By fancy led, they sought these pleasing shades,",o5280-l04140,/eɪdz/ | /eɪdz/,full,<b>a</b><b>a</b>,pers00277,o5280-w0280
shades," To dirty shepherds, and to homely maids:",pjo50-l05750,"Come then, and leave those unfrequented shades,",pjo50-l05745,/eɪdz/ | /eɪdz/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0160
shades,I fondly sought the charming maids;,o5156-l03120,"By flowery plain, or woodland shades,",o5156-l03115,/eɪdz/ | /eɪdz/,full,<b>a</b><b>a</b>bbcddcee,pers00035,o5156-w0080
shades,Ah foolish man! to seek the tuneful maids,o5156-l03155,"On other plains, or near less verdant shades;",o5156-l03160,/eɪdz/ | /eɪdz/,full,aabbcddc<b>e</b><b>e</b>,pers00035,o5156-w0080
shades,Ah! lovely treacherous maids!,o5156-l03355,"To quit unseen my votive shades,",o5156-l03360,/eɪdz/ | /eɪdz/,full,<b>a</b><b>a</b>bbccddeffggehiih,pers00035,o5156-w0080
