r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
can," He must, indeed, be more or less than man. ",o4986-l17285,"Let him resist their prevalence, who can;",o4986-l17280,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
span, And rising passion speaks me still a man. ,o4986-l17465," The vision sinks to life's contracted span,",o4986-l17460,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
scan, While every action proves him less than man. ,o4986-l17675,"Presumptuous wretch! almighty power to scan,",o4986-l17670,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
plan," The stricken Mind of freeborn Man,",o4091-l24500," Though all unequal, has its plan. ",o4091-l24510,/æn/ | /æn/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
plan," She s wrote, the Man. ",cbu86-l05390," On her first plan,",cbu86-l05380,/æn/ | /æn/,full,aaa<b>b</b>a<b>b</b>,pers00307,cbu86-w0080
began," They boasted liberty, the right of man;",yfs88-l01540," Yet, e'er the arts of lux'ry began,",yfs88-l01535,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
sustain, Guiltless He groan'd and died for Man:,o3900-l10555,Patient the Sufferings to sustain,o3900-l10545,/æn/ | /eɪn/,half-pararhyme,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
woman,"She only gave his strength to man,",bed98-l16730,HAPPY! happy! happy Woman!,bed98-l16720,/æn/ | /ʊmən/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00340,bed98-w0470
began," There liv'd an ancient and a worthy Man,",o5125-l19140,"Long time before our Fathers Lives began,",o5125-l19135,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
ran," Rhet'ric is artifice, the work of man,",o3794-l10665,"Through all he spoke a noble plainness ran,",o3794-l10660,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
plan," That truth and mercy had reveal'd to man,",o3794-l11165, 'Twas theirs alone to dive into the plan,o3794-l11160,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
plan, That while laborious and quick-thoughted man,o3794-l11565, Snuffs up the praise of what he seems to plan;,o3794-l11570,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
can," With safety to himself, is not a man:",o3794-l12150, The man that dares traduce because he can,o3794-l12145,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
can," Make an atonement for one single man,",oae86-l03250, But I believe there's not a Priest that can,oae86-l03245,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
scan, The low ingratitude of Man;,o4739-l01230,"From thee I learnt, 'twas vain to scan",o4739-l01225,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00285,o4739-w0080
run,"And gaze and wonder at the Monster, Man.",oau90-l16745,"With eager speed, they from the Object run,",oau90-l16740,/æn/ | /ʌn/,half-pararhyme,aabbcc<b>d</b><b>d</b>,pers00350,oau90-w0570
on,"Till throng'd with Time this great triumphant Man,",oau90-l16925,From hence a Series of new Years ran on,oau90-l16920,/æn/ | /ɒn/,half-pararhyme,aa<b>b</b><b>b</b>ccdd,pers00350,oau90-w0570
can, And speak its nature Man. ,o4984-l16100," And utters, as it can,",o4984-l16090,/æn/ | /æn/,full,a<b>b</b>a<b>b</b>,pers00045,o4984-w0250
plan,"To build the Free, the Sensible, Good Man.",o5154-l10505,"Yours is the task — and glorious is the plan,",o5154-l10500,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
scan,"Say, is it carnage makes the man? ",o4103-l02215,"Say, is it wise or just to scan",o4103-l02225,/æn/ | /æn/,full,<b>a</b>b<b>a</b>bcc,pers00254,o4103-w0110
scan,"What others are to feel, and know myself a man.",o5155-l00880,"Exact my own defects to scan,",o5155-l00875,/æn/ | /æn/,full,ababcc<b>d</b><b>d</b>,pers00039,o5155-w0020
began,"And all that eases life, and brightens man.",o5152-l25570,"There every seed of every art began,",o5152-l25565,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
vain, And borrowed plumes to dignify the man. ,pcc86-l03625," Caress'd by fortune, impudent and vain,",pcc86-l03620,/æn/ | /eɪn/,half-pararhyme,<b>a</b><b>a</b>,pers00323,pcc86-w0290
ran, Is doom'd to toiling Man. ,o4986-l01995, And o'er the landskip ran;,o4986-l01980,/æn/ | /æn/,full,aa<b>b</b>cc<b>b</b>,pers00237,o4986-w0030
began," ""By poor short-sighted man! ",o4986-l02385, And thus the Sage began:,o4986-l02370,/æn/ | /æn/,full,aa<b>b</b>cc<b>b</b>,pers00237,o4986-w0030
anne,"I am not now, alas! the man",o3682-l00215, As in the gentle Reign of My Queen Anne. ,o3682-l00220,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00012,o3682-w0010
lamb," He grew in Favour both with Man,",o5454-l01915,His Soul was gentle as a Lamb;,o5454-l01905,/æn/ | /æm/,half-vowelrhyme,<b>a</b>b<b>a</b>b,pers00292,o5454-w0160
began," On such a trivial Cause, as Man. ",o4106-l09730,"Thus with the Gods Debate began,",o4106-l09725,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00294,o4106-w0150
began," But since their Union makes the Man,",o4106-l09890, Return they where they first began;,o4106-l09885,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00294,o4106-w0150
began,Summoned his strength and called forth all the man.,tgaen-l00420,"Phlegyas the long-expected play began,",tgaen-l00415,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00039,tgaen-wtra6
began,"Sequester'd from the busy whirl of man,",pye85-l01760," In dark obscurity my life began,",pye85-l01770,/æn/ | /æn/,full,<b>a</b>b<b>a</b>b,pers00256,pye85-w0050
scan," The Goings of this Clock-work, Man;",pmp18-l37470,So if unprejudic'd you scan,pmp18-l37465,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
can,DUBIUS is such a scrupulous good man —,o3794-l21320, Yes — you may catch him tripping if you can. ,o3794-l21325,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
can," A moral, sensible and well-bred man",o3794-l21690," Will not affront me, and no other can. ",o3794-l21695,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
can, 'Till none but beasts acknowledge him a man. ,o3794-l22855," Let him improve his talent if he can,",o3794-l22850,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
plan,"No — nature unsophisticate by man,",o3794-l22980," Starts not aside from her Creator's plan,",o3794-l22985,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
plan," May Mercury once more embellish man,",o3794-l24915,"May much success attend the pious plan,",o3794-l24910,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
scan,The springs which move predestin'd man.,o5153-l23900,And with weak lights presumptuous scan,o5153-l23895,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00119,o5153-w0360
restrain,"SHALL I, for fear of feeble Man,",o3900-l23550, Thy Spirit's Course in me restrain? ,o3900-l23555,/æn/ | /eɪn/,half-pararhyme,<b>a</b><b>a</b>bb,pers00310,o3900-w1260
span," To raise the animal, and sink the man? ",pjo50-l03335,"Was it in lux'ry to dissolve the span,",pjo50-l03330,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0040
plan, Still kept his eye fix'd on his right-hand man:,o4600-l02780,"M—SS—P, attach'd to military plan,",o4600-l02775,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
plan," He was, at once, the Actor and the Man. ",o4600-l03270,"Nor less he pleas'd, when, on some surly plan,",o4600-l03265,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
plan," He could not, for a moment, sink the Man. ",o4600-l03310,"IN fancied scenes, as in life's real plan,",o4600-l03305,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
plan, Just in the way that Monkies mimic Man;,o4600-l03620,"IF Bunglers, form'd on Imitation's plan,",o4600-l03615,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
can," Whilst, in each sound, I hear the very man;",o4600-l03705," I can't catch words, and pity those who can. ",o4600-l03710,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
plan," Were form'd to loath, and to be loath'd by man,",o4110-l01580,"All Creatures, which, on nature's earliest plan,",o4110-l01575,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
scan,"To paint the featur'd soul, and mark th' internal man.",o5156-l27690,"Passion's fierce impulse, will's free power to scan,",o5156-l27685,/æn/ | /æn/,full,ababcdcd<b>e</b><b>e</b>,pers00050,o5156-w0780
ran," In look, in form, in speech resembling man;",o4987-l21395," Swift thro' the clay the vital current ran,",o4987-l21390,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00055,o4987-w0700
began,"Not so the child of sorrow, wretched man,",o3555-l03605," His course with toil concludes, with pain began:",o3555-l03610,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00149,o3555-w0070
ran, A crazed and wretched man. ,bjb18-l25295," O'er hill and dale they ran,",bjb18-l25285,/æn/ | /æn/,full,x<b>a</b>x<b>a</b>,pers00287,bjb18-w0550
ran," All felt the satire, for all knew the man. ",o5089-l15175," Loud peals of plaudits thro' the circle ran,",o5089-l15170,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00172,o5089-w0230
plan,"Implicit Faith, all hail! Imperial man",pye85-l05100, Against our senses we adopt the plan,pye85-l05110,/æn/ | /æn/,full,<b>a</b>b<b>a</b>b,pers00256,pye85-w0140
plan,WEAK and irresolute is man;,o3794-l30315," Woven with pains into his plan,",o3794-l30325,/æn/ | /æn/,full,<b>a</b>b<b>a</b>b,pers00269,o3794-w0160
again, Smit with the Beauty of the godlike Man:,o4741-l07330," Yet, bolder grown, she soon advanc'd again,",o4741-l07325,/æn/ | /en/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0100
began, Mute with Surprize a-while they stood; the Man,o4741-l08400," Broke Silence first, and thus his Tale began:",o4741-l08405,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
can," I but abhor the Slavery of Man,",oar96-l09860,My Inclinations are reverst; nor can,oar96-l09855,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00265,oar96-w0510
can," To shun th' Offensive, Hated Face of Man. ",oar96-l09950," I'll find out the Remotest Paths I can,",oar96-l09945,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00265,oar96-w0510
plan," Thro' all that space You shall not view one man,",o3585-l00435," Not one, who dares to act on such a plan. ",o3585-l00440,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
plan," Those wounds, which humbled all that pride of Man,",o3585-l00525, Which brings such mighty aid to Virtue's plan;,o3585-l00530,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
can," Must speak me something more, or less than man;",o3585-l01085," Which Friends may pardon, but I never can? ",o3585-l01090,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
plan," Who lives to Reason, and who dies a Man. ",o3585-l01960," Full ripe He falls, on Nature's noblest plan,",o3585-l01955,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
can,They clasp the monarch who despise the man;,o5156-l23280,"Could love no entrance find, ambition can,",o5156-l23275,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00103,o5156-w0690
artisan, 'The various man. ,cbu86-l07515, 'The Artisan;,cbu86-l07505,/æn/ | /æn/,full,aaa<b>b</b>a<b>b</b>,pers00307,cbu86-w0100
one,"' Preserve the dignity of Man,",cbu86-l07950,"'To give my counsels all in one,",cbu86-l07940,/æn/ | /ʌn/,half-pararhyme,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0100
fan,"' Preserve the dignity of Man,",cbu86-l07950, 'Thy tuneful flame still careful fan;,cbu86-l07945,/æn/ | /æn/,full,a<b>a</b><b>a</b>bab,pers00307,cbu86-w0100
plan,"' Preserve the dignity of Man,",cbu86-l07950,"' And trust, the UNIVERSAL PLAN",cbu86-l07960,/æn/ | /æn/,full,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0100
span, Far beyond the date of man —,o3794-l32575, Sing then — and extend thy span,o3794-l32570,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00270;pers00269,o3794-w0330
scan," The object of thy love, his victim, — man. ",bhw18-l02920," The limits of thy mercy dares to scan,",bhw18-l02915,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
plan," Sink, in the minister, the man,",o5089-l16845,"Old statesmen would reverse your plan,",o5089-l16840,/æn/ | /æn/,full,aab<b>c</b><b>c</b>b,pers00098,o5089-w0290
began, To be a perfect ladies man;,o5346-l05245,Our alter'd parson now began,o5346-l05240,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00174,o5346-w0040
scan," Was at the board the foremost man,",bjl92-l10500, Its imperfections a' to scan. ,bjl92-l10505,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0440
began," And, cheerless, seek the savage haunt of man;",pye85-l06090," Quit those dear scenes where life and love began,",pye85-l06085,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00256,pye85-w0170
ran,And catches on from man to man!,o5154-l27950,"Like flame, the brave contagion ran,",o5154-l27940,/æn/ | /æn/,full,aab<b>c</b>b<b>c</b>dd,pers00124,o5154-w0460
again, Raiser Thou of Fallen Man! ,o3900-l21095,"Turn, O turn us, LORD, again,",o3900-l21090,/æn/ | /en/,half-pararhyme,<b>a</b><b>a</b>bbccddeeff,pers00309,o3900-w1110
plan," Never shall One, One truly honest man,",o3587-l00195," Who, blest with LIBERTY, reveres her plan,",o3587-l00200,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
plan," As Laws of God, the wild decrees of man,",o3587-l00430," And whilst She teaches on vile int'rest's plan,",o3587-l00425,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
clan," Found he"" had better spared a better man. "" ",pcr18-l12425," Yet miss'd him long, as each, throughout the clan,",pcr18-l12420,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
trepan," And call the want of rogues ""the rights of man;""",pcr18-l12800," 'T was his, at cards, each novice to trepan,",pcr18-l12795,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
began, A wanton vixen and a weary man;,pcr18-l13200,"Thus, with example sad, our year began,",pcr18-l13195,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
japan," Like its cold mistress, shunn'd the eye of man. ",pcr18-l17510," That pictured wealth of China and Japan,",pcr18-l17505,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
began," ""He blush'd in meekness as a modest man,",pcr18-l20250,""" And gain'd attention ere his task began;",pcr18-l20255,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
plan," And ART debauches that strange creature, man:",o4986-l08455," Some vain conceit disturbs her sober plan,",o4986-l08450,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00236,o4986-w0180
plan,"Must deem it vain for that poor pilgrim, man,",o5157-l11200,"Yet reason, while it forms the subtile plan,",o5157-l11190,/æn/ | /æn/,full,<b>a</b>b<b>a</b>b,pers00088,o5157-w0100
then,"But challenges the happy Man,",clc03-l15220,"Who whips him thro' the Lungs, and then",clc03-l15225,/æn/ | /en/,half-pararhyme,<b>a</b><b>a</b>,pers00349,clc03-w0300
began,"Exclaim'd, What a compound is Man!",bsb18-l31934,His arduous work he began;,bsb18-l31932,/æn/ | /æn/,full,a<b>b</b>a<b>b</b>cdcd,pers00280,bsb18-w0860
can,"Good heav'n forbid that I a plain blunt man,",o5089-l04020," Who cannot fawn, and loath the wretch who can,",o5089-l04025,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00058,o5089-w0050
plan,Upon the mind of man.,bed98-l21275,In each unerring plan;,bed98-l21265,/æn/ | /æn/,full,a<b>b</b>a<b>b</b>,pers00340,bed98-w0730
detain,"Curst for the Sake of wretched Man,",o3900-l04185," With pleasing Force on Earth detain,",o3900-l04195,/æn/ | /eɪn/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00309,o3900-w0250
fan, And breathe refreshment on exhausted man. ,bsb18-l08860," Where every tree could wave a leafy fan,",bsb18-l08855,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0090
can," Though we often exclaim, What a bauble is man! —",bsb18-l24790," On the painted illusion we gaze while we can,",bsb18-l24785,/æn/ | /æn/,full,aabb<b>c</b><b>c</b>dd,pers00280,bsb18-w0400
plan,"To godlike reason, and imperial man,",bed98-l05380,"By fine degrees extending still the plan,",bed98-l05375,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00340,bed98-w0150
plan,"Approv'd by reason, and becoming man.",bed98-l05610,"Worthy the scale he held in nature's plan,",bed98-l05605,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00340,bed98-w0150
plan,Which honour draws for rectitude in man.,bed98-l05980,"Or how they shall define th' unerring plan,",bed98-l05975,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00340,bed98-w0150
began," ""Thy sorrows cease, complaining man,",o4985-l29500," Sternly she look'd, and stern began —",o4985-l29495,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00049,o4985-w0440
began,"COnfess Ingenuously O Man,",oat77-l01265,Since first thy buisie Race began.,oat77-l01280,/æn/ | /æn/,full,<b>a</b>bb<b>a</b>cccdddeeffghghijji,pers00344,oat77-w0050
began,"Done, say'st thou Credulous Man?",oat77-l01645,Than carrying on the Work as they Began.,oat77-l01660,/æn/ | /æn/,full,abcbcadeedff<b>g</b>hh<b>g</b>iijjkllkk,pers00344,oat77-w0050
japan," Once on a time, an Emp'ror, a wise man,",o3795-l26155," No matter where, in China or Japan,",o3795-l26160,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00269,o3795-w0070
span,"His Name, Reproach and Praise, was Man. ",o3900-l01140,"ASK not, who ended here his Span? ",o3900-l01135,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00311,o3900-w0040
scan, The heart that beats to be of use to man. ,bsb18-l20890, Not such the breast that heaven delights to scan;,bsb18-l20880,/æn/ | /æn/,full,a<b>b</b>a<b>b</b>,pers00280,bsb18-w0280
van, Applauded and embrac'd the man —,psm63-l00145," For all the host, from rear to van,",psm63-l00140,/æn/ | /æn/,full,aab<b>c</b><b>c</b>b,pers00254,psm63-w0010
plan, From CHRIST enthron'd to man. ,psm63-l00900, His wisdom drew the plan;,psm63-l00885,/æn/ | /æn/,full,aa<b>b</b>cc<b>b</b>,pers00254,psm63-w0010
swan,"Now could'st thou soar, my Muse, to Sing the MAN",o4090-l00475,"In Heights sublime, as when the Mantuan Swan",o4090-l00480,/æn/ | /ɒn/,half-pararhyme,<b>a</b><b>a</b>bccbb,pers00339,o4090-w0010
can, You'll find the Stamp of reas'ning Man:,o5125-l16610," E'er he has reach'd the bowzing Can,",o5125-l16605,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00154,o5125-w0440
plan," When he at last expects, good easy man,",o4111-l00855," To reap the profits of his labour'd plan,",o4111-l00860,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
plan, And lustful prudes forget to rail at man. ,o4111-l01180,"Coquettes no more pursue the jilting plan,",o4111-l01175,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
span," I would not be that THING, that PRUDENT MAN. ",o4111-l01720," Might the whole world be plac'd within my span,",o4111-l01715,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
plan," Assert the rights, or quit the name of man. ",o4111-l01880,"Unaw'd by numbers, follow Nature's plan,",o4111-l01875,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
plan,"""Yon various region of bewild'ring man;",o5154-l36740,"""For her lov'd cause, he trac'd his moral plan,",o5154-l36735,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00051,o5154-w0670
began," The Sire of Gods, and Frogs, and Mice, and Man,",o4106-l06815,Then thus to all the gazing Pow'rs began,o4106-l06810,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
again," Perfect our State, and build immortal Man:",pmp18-l14350, In haste to cloath their Kindred Souls again;,pmp18-l14345,/æn/ | /en/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0540
began,Such is the race of man:,tgaen-l03460,Shall end where they began.,tgaen-l03470,/æn/ | /æn/,full,a<b>b</b>a<b>b</b>ccdeed,pers00039,tgaen-woots
japan, That owns the Name of Man. ,o4672-l01575, From England to Japan;,o4672-l01565,/æn/ | /æn/,full,a<b>b</b>a<b>b</b>,pers00292,o4672-w0070
ran,Attentive stood the mournful Nymph: the Man,pmp18-l21045, Broke Silence first: the Tale alternate ran. ,pmp18-l21050,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0720
ran," That full of youthful Blood, and fond of Man,",pmp18-l21325, She to the Wood-land with an Exile ran. ,pmp18-l21330,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0720
began, Hung the vast vault of heav'n. The Man,ojg27-l11975, His contemplation thus began. ,ojg27-l11980,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0500
scan," Know, pride was never made for man. ",ojg27-l12050," Be humble, learn thyself to scan;",ojg27-l12045,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0500
fan,"While roves unpunish'd the destroyer, man.",o5155-l21680,"Some cup, perhaps, he breaks, or tears a fan, —",o5155-l21675,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00001,o5155-w0310
can, The Portraiture of this Wild Man. ,o4257-l00420," Attempt to give you as I can,",o4257-l00415,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00304,o4257-w0010
span," Or think thee Lord alone of Man,",o3702-l00115,"Yet not to Earth's contracted Span,",o3702-l00105,/æn/ | /æn/,full,<b>a</b>b<b>a</b>b,pers00012,o3702-w0010
plan," To seek so far that faithless creature, man,",o5280-l07060,"On you, ye Fair, who haply scorn the plan,",o5280-l07055,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00277,o5280-w0400
again,"Unmake the monarch, and ne'er fear the man.",o5154-l05615,"Recall your pow'rs, ye Romans, back again;",o5154-l05610,/æn/ | /en/,half-pararhyme,<b>a</b><b>a</b>,pers00022,o5154-w0080
can,"Know your own sphere, content to be a man;",o5154-l06420,"Well pleas'd, to be as happy as you can:",o5154-l06425,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00022,o5154-w0080
scan,"Then heav'n acquit: and with regard to man,",o5154-l06470,Coolly th' amount of good and evil scan;,o5154-l06475,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00022,o5154-w0080
can,"Says, pipes are us'd by that vile creature Man:",o5153-l32945,And chaste PRUDELIA (blame her if you can),o5153-l32940,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00083,o5153-w0600
ran," To meet the brave, betray'd, unhappy Man,",ppo24-l08700,"Amongst those Crouds of Western Youth, who ran",ppo24-l08695,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0120
began," Great Genius of Success, thou more than Man! ",ppo24-l08830,"Low on my Knees I fell, then thus began:",ppo24-l08825,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0120
ran," Die the best Soldier, and the happiest Man. ",ppo24-l08995," So when a noble Course, you've bravely ran,",ppo24-l08990,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0120
plan, And all the Grandeur of the Inner Man. ,o3900-l07375," The Lineaments Divine, Perfection's Plan,",o3900-l07370,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00311,o3900-w0440
can," Silence, or hurt, he libels the Great Man;",o3683-l00725," Then as a licens'd Spy, whom nothing can",o3683-l00720,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00012,o3683-w0010
contain, He vouchsafes to dwell in Man. ,o3900-l25095," Whom the Heavens cannot contain,",o3900-l25090,/æn/ | /eɪn/,half-pararhyme,aa<b>b</b><b>b</b>,pers00309,o3900-w1330
