r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
head,"A rout, a play, a masquerade,",bed98-l16880,"Man ever racks his careful head,",bed98-l16890,/eɪd/ | /ed/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00340,bed98-w0470
displayed," Beau in burlesque, high-life in masquerade. ",o4600-l01350,Hence hath the Town so often seen display'd,o4600-l01345,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
swayed," Frequent the Play, the Ball, or Masquerade;",o4741-l06720,"WHILE other Youths, by Wit or Pleasure sway'd,",o4741-l06715,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
maid, Begins the Dance at Ball or Masquerade;,o4741-l07390,"AS when, in splendid Robes, a courtly Maid",o4741-l07385,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
unpaid, And who and who danc'd at the last masquerade;,peh89-l05315," What lord gone to France, and what tradesman unpaid,",peh89-l05310,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00324,peh89-w0030
paid,"No ball, ridotto, masquerade:",o5156-l29140,"No visits or receiv'd or pay'd,",o5156-l29135,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00134,o5156-w0800
arrayed," Like Maids of Honour at a Masquerade,",o3587-l02100," SUMMER, in light, transparent Gawze array'd,",o3587-l02095,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
trade, Taking their Tour in Masquerade;,psw11-l01375," Two Brother Hermits, Saints by Trade,",psw11-l01370,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00148,psw11-w0060
made,Flaccus the glory of a masquerade;,o4039-l04870, Whose every action is of trifles made:,o4039-l04875,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00288,o4039-w0180
defrayed,"For play-house, opera, ball, and masquerade.",o5152-l37215,"Thence not one winter's charge would be defray'd,",o5152-l37210,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00143,o5152-w0340
displayed, And entertain'd you in a Masquerade;,pse03-l10245," They've only yet their mystick Charms display'd,",pse03-l10240,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00272,pse03-w0470
trade, And the smooth tongue's habitual masquerade. ,pcr18-l02670," The snares for innocence, the lie of trade,",pcr18-l02665,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0010
arrayed," But the long pomp, the midnight masquerade,",o5346-l03500," With all the freaks of wanton wealth array'd,",o5346-l03505,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00174,o5346-w0020
upbraid,Stiff-nodding Fools! a Mob in Masquerade! ,pba35-l12250,"Whom Honours brand, and Dignities upbraid. ",pba35-l12255,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00262,pba35-w0950
arrayed," Went one Night to Masquerade,",o3364-l01165," He, in Bishop's Robes array'd,",o3364-l01160,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>a,pers00205,o3364-w0010
strayed," Went one Night to Masquerade,",o3364-l01165, Where thy simple Mother stray'd. ,o3364-l01170,/eɪd/ | /eɪd/,full,a<b>a</b><b>a</b>,pers00205,o3364-w0010
brocade," Forget her Pray'rs, or miss a Masquerade,",o3695-l01290," Or stain her Honour, or her new Brocade,",o3695-l01285,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00012,o3695-w0010
maid," But take her to a Masquerade,",o4899-l03695,"And, should the dear bewitching maid",o4899-l03690,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
betrayed," I'll cheat her now, in this kind Masquerade;",pse03-l03640," My Joys, shall be by her no more betray'd,",pse03-l03635,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00272,pse03-w0110
