r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
rays,"When truth, perplex'd in error's thorny maze,",yfs88-l01975," Threw o'er the world obscure and darken'd rays,",yfs88-l01980,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
praise, In controversy's maze;,o4987-l15825, By every breath of praise;,o4987-l15815,/eɪz/ | /eɪz/,full,a<b>b</b>a<b>b</b>cc,pers00246,o4987-w0560
trace, Thro' the dark Turnings of a dubious Maze:,ppo24-l04840,"All Men have Follies, which they blindly trace",ppo24-l04835,/eɪz/ | /eɪs/,half-vowelrhyme,<b>a</b><b>a</b>,pers00257,ppo24-w0040
gaze," The dark inextricable maze,",o4984-l03300,Then with increasing wonder gaze,o4984-l03295,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00218,o4984-w0030
displays, And trace the silver current's winding maze! ,o4986-l14245, Where varying Nature all her charms displays;,o4986-l14235,/eɪz/ | /eɪz/,full,a<b>b</b>a<b>b</b>,pers00219,o4986-w0340
trace,"Nature thro' ev'ry winding maze,",o5154-l15665,And now with labouring BOYLE I trace,o5154-l15660,/eɪz/ | /eɪs/,half-vowelrhyme,<b>a</b><b>a</b>,pers00112,o5154-w0230
ways, And wreaths his snaky Length thro' ev'ry winding Maze. ,pdi22-l00950," Thro' secret Tracks he glides, and slimy Ways,",pdi22-l00945,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
stays," The swiftest Fish, and strikes with dizzy Maze. ",pdi22-l07565,With such a binding Force the Cramp-Fish stays,pdi22-l07560,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
days," When Midnight Faeries daunc'd the Maze,",o4106-l02465,"IN Britain's Isle and Arthur's days,",o4106-l02460,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>bccb,pers00294,o4106-w0070
strays," Meandering alleys form the wonderous maze,",o4985-l18005," The untaught foot, that in their precincts strays. ",o4985-l18015,/eɪz/ | /eɪz/,full,a<b>b</b>a<b>b</b>,pers00217,o4985-w0280
graze,"How should I love to mark that riv'let's maze,",o5157-l10610,"Whilst near its grassy banks the herd shall graze,",o5157-l10620,/eɪz/ | /eɪz/,full,<b>a</b>b<b>a</b>b,pers00088,o5157-w0100
blaze, Now soon entangled in a gloomy maze,pmt18-l09375, Nor sees his page's star-crowned helmet blaze;,pmt18-l09385,/eɪz/ | /eɪz/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0023
stays, Now soon entangled in a gloomy maze,pmt18-l09375, Close at her side alone the hag loquacious stays. ,pmt18-l09390,/eɪz/ | /eɪz/,full,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0023
sprays,"And some had bent the wildering maze,",o5156-l03255,"And some entwin'd the willing sprays,",o5156-l03265,/eɪz/ | /eɪz/,full,<b>a</b>b<b>a</b>bcdceedff,pers00035,o5156-w0080
days," When dancing thoughtless Pleasure's maze,",cbu86-l12500,"Oh, enviable, early days,",cbu86-l12495,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>bccbdedexfxf,pers00307,cbu86-w0170
blaze, And left this earthly Maze. ,o5125-l24395," With an eternal Blaze,",o5125-l24385,/eɪz/ | /eɪz/,full,x<b>a</b>x<b>a</b>,pers00154,o5125-w0610
blaze," Thou, in the wild and woody maze,",o4984-l11210, All nature sickening in the blaze:,o4984-l11205,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00180,o4984-w0160
ways,Man only moves in an eternal maze:,o5152-l38205,"All other creatures keep in beaten ways,",o5152-l38200,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
raise,Haul'd thro' a language's perplexing maze;,o5152-l38805,"Some know no joy like what a word can raise,",o5152-l38800,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
gaze, Within her veil's luxuriant maze,bao18-l04325,"To hide her face from Love's keen gaze,",bao18-l04315,/eɪz/ | /eɪz/,full,<b>a</b>b<b>a</b>b,pers00279,bao18-w0130
praise,"Let me not, lost in Learning's maze,",o4984-l16845," For what's the worth of human praise,",o4984-l16855,/eɪz/ | /eɪz/,full,<b>a</b>b<b>a</b>b,pers00045,o4984-w0280
betrays," Enjoy amidst the tangled, giddy maze,",bjb18-l14100, Their languid eye — their listless air betrays. ,bjb18-l14105,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0260
plays,And trace the wanton through her darksome maze;,o5152-l02295,"With piercing eye some search where nature plays,",o5152-l02290,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00011,o5152-w0010
plays,"— But O! more wary trace the maze,",o4987-l17770, Where Youth in frolic pastime plays:,o4987-l17775,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00203,o4987-w0580
gaze,Or curious trace the long laborious maze,o5152-l02810,"Of heav'n's decrees, where wond'ring angels gaze?",o5152-l02815,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00011,o5152-w0020
ways," Do I call Thee, who thro' a winding maze,",o3588-l01815," A labyrinth of puzzling, pleasing ways,",o3588-l01820,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00155,o3588-w0010
ways,"At length thro' maze perplex'd with maze,",o5154-l22285,"Through tracts confus'd, and private ways,",o5154-l22290,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00075,o5154-w0340
ways,That lead me to the thorny maze.,o5155-l25440,And points with tott'ring hand the ways,o5155-l25435,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00081,o5155-w0440
ways, Nor ever pass her narrow maze;,bhw18-l12775," Who creep in interest's crooked ways,",bhw18-l12770,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0150
strays,"So unbewilder'd in the crooked maze,",o5153-l19355,"Where guilt low sculks, and reptile cunning strays,",o5153-l19360,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00119,o5153-w0330
blaze," Thou, in the wild and woody maze. ",o5089-l09840, All nature sickening in the blaze:,o5089-l09835,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00180,o5089-w0120
graze,In many a crystal maze;,o5153-l24725,The herds promiscuous graze.,o5153-l24740,/eɪz/ | /eɪz/,full,aa<b>b</b>cc<b>b</b>,pers00119,o5153-w0390
days," Have led their children through the mirthful maze,",o5346-l01255,Alike all ages. Dames of ancient days,o5346-l01250,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00174,o5346-w0010
ways,"And in life's perplexing maze,",pro75-l02335,"May'st thou guide my blinded ways,",pro75-l02340,/eɪz/ | /eɪz/,full,aabb<b>c</b><b>c</b>dd,pers00271,pro75-w0100
ways," Far lost in folly's maze,",pik94-l01285, Reform'd my erring ways;,pik94-l01295,/eɪz/ | /eɪz/,full,x<b>a</b>x<b>a</b>,pers00327,pik94-w0050
days," The Woods, the Mountains, and the warbling Maze",o3818-l02170," Rise to new Light, and beam afresh the Days",o3818-l02145,/eɪz/ | /eɪz/,full,a<b>b</b>abbc<b>b</b>cc,pers00020,o3818-w0010
ways," The Woods, the Mountains, and the warbling Maze",o3818-l02170," To Cares estrang'd, and Manhood's thorny Ways. ",o3818-l02155,/eɪz/ | /eɪz/,full,aba<b>b</b>bc<b>b</b>cc,pers00020,o3818-w0010
plays," The Woods, the Mountains, and the warbling Maze",o3818-l02170,"What Transport! To retrace our boyish Plays,",o3818-l02160,/eɪz/ | /eɪz/,full,abab<b>b</b>c<b>b</b>cc,pers00020,o3818-w0010
these,"Say, in this more than Cretan maze,",pcm93-l08110,"But say, amid such scenes as these,",pcm93-l08100,/eɪz/ | /iːz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0160
portrays, While many a crooked line and curious maze,bjb18-l06760, With clouted shoon he on the sand pourtrays. ,bjb18-l06765,/eɪz/ | /ɔːtreɪz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00287,bjb18-w0100
gaze, A milder lustre in its blooming maze;,bse96-l00380," Rapt Cambria listens with enthusiast gaze,",bse96-l00390,/eɪz/ | /eɪz/,full,a<b>b</b>a<b>b</b>cc,pers00282,bse96-w0010
displays, Beauty's romantic pomp in every sylvan maze. ,bse96-l00490," That, screen'd by mural rocks, with pride displays",bse96-l00485,/eɪz/ | /eɪz/,full,abab<b>c</b><b>c</b>,pers00282,bse96-w0010
ways," DOUGLAS arose, and thro' the maze",o3552-l03145," Of intricate and winding ways,",o3552-l03150,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00155,o3552-w0010
gaze,"The lunar orb, or planet's maze;",o5157-l11585,"Each sage that marks, with thoughtful gaze,",o5157-l11580,/eɪz/ | /eɪz/,full,abccbaddee<b>f</b><b>f</b>gghhikik,pers00088,o5157-w0110
plays,"I see a Nymph, who in the liquid Maze",pdi12-l05285," Now sporting dives, and with a Dolphin plays,",pdi12-l05290,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>a,pers00266,pdi12-w0140
gaze,"I see a Nymph, who in the liquid Maze",pdi12-l05285, On whom I could unweary'd ever gaze:,pdi12-l05295,/eɪz/ | /eɪz/,full,<b>a</b>a<b>a</b>,pers00266,pdi12-w0140
lays, In love's inextricable maze. ,o4103-l01615,The thund'ring Ajax Venus lays,o4103-l01610,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>bbcc,pers00254,o4103-w0080
blaze,"Hast thou not trod each vain and giddy maze,",pmt18-l18790,"Basked in the sunshine of her brightest blaze,",pmt18-l18800,/eɪz/ | /eɪz/,full,<b>a</b>b<b>a</b>b,pers00320,pmt18-w0240
ways,His evils haunt him thro' the maze:,o3776-l01955, He pants to traverse nature's ways. ,o3776-l01950,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00047,o3776-w0050
praise,This guided Theseus thro' the Maze;,pmp18-l09245, And sent Him home with Life and Praise. ,pmp18-l09250,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0340
praise," To lead the fair Nymph thro' the various Maze,",o3364-l05395," Bright Beauty to marshal, his Glory and Praise;",o3364-l05400,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00205,o3364-w0010
ways," Where Study brings Thee; from the endless Maze,",pmp18-l43035," From the perplexing and unequal Ways,",pmp18-l43030,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1110
days," Nor shut from artful Bow'r, nor lost in winding Maze. ",pmp18-l43310," Haunted my Nights, and terrify'd my Days;",pmp18-l43300,/eɪz/ | /eɪz/,full,<b>a</b>a<b>a</b>,pers00314,pmp18-w1110
ways," Nor shut from artful Bow'r, nor lost in winding Maze. ",pmp18-l43310," Stalk'd thro' my Gardens, and pursu'd my Ways,",pmp18-l43305,/eɪz/ | /eɪz/,full,a<b>a</b><b>a</b>,pers00314,pmp18-w1110
blaze,""" Truth thro' her masques, and Nature thro' her maze;",o4985-l08125," ""Fondly pursues with Boyle's auspicious blaze",o4985-l08120,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00192,o4985-w0140
blaze, No more my spirit flew from maze to maze:,o4984-l00540," The midnight lamp no more enjoy'd its blaze,",o4984-l00535,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00211,o4984-w0010
plays,"From infancy through childhood's giddy maze,",o3794-l14590," Froward at school, and fretful in his plays,",o3794-l14595,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0050
