r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
scenes, And shrink from death by such opprobrious means. ,o4986-l17335," Let impious ESCRICK act such treacherous scenes,",o4986-l17330,/iːnz/ | /iːnz/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
teens," Receives the wound, and wonders what it means;",o4110-l00020," The stripling raw, just enter'd in his teens,",o4110-l00015,/iːnz/ | /iːnz/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
teens,"Of figure, high station, and means,",o5157-l29855,Ever since she came into her teens.,o5157-l29865,/iːnz/ | /iːnz/,full,a<b>b</b>a<b>b</b>,pers00072,o5157-w0530
leans, Howe'er it warps or differs in the means. ,o5089-l16330," To one grand point eternally it leans,",o5089-l16325,/iːnz/ | /iːnz/,full,<b>a</b><b>a</b>,pers00158,o5089-w0270
pains," And thus reply'd.  ""If gracious Laban means",pjo50-l11015,""" Or to reward my past, or future pains;",pjo50-l11020,/iːnz/ | /eɪnz/,half-pararhyme,<b>a</b><b>a</b>,pers00273,pjo50-w0430
beams,"O say, what this Convulsion means:",o5125-l04590,"The frighted Sun withdraws its Beams,",o5125-l04580,/iːnz/ | /iːmz/,half-vowelrhyme,aa<b>b</b>b<b>b</b>cc,pers00154,o5125-w0150
screams,"O say, what this Convulsion means:",o5125-l04590, Deep Groans are heard and doleful Screams. ,o5125-l04585,/iːnz/ | /iːmz/,half-vowelrhyme,aab<b>b</b><b>b</b>cc,pers00154,o5125-w0150
intends,The End must justifie the Means:,pmp18-l11420, He only Sins who Ill intends:,pmp18-l11425,/iːnz/ | /endz/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0450
scenes," Destroy their jobs, lay bare their ways and means,",o3588-l03100," Unravel all low Ministerial scenes,",o3588-l03095,/iːnz/ | /iːnz/,full,<b>a</b><b>a</b>,pers00155,o3588-w0010
chains,"This as the End — The other, as the Means,",o5125-l05020, Fast bound together in eternal Chains. ,o5125-l05015,/iːnz/ | /eɪnz/,half-pararhyme,<b>a</b><b>a</b>,pers00154,o5125-w0170
scenes," What pride will stoop to, what profession means;",pcr18-l02640,"Yet well the Muse portrays, in fancied scenes,",pcr18-l02635,/iːnz/ | /iːnz/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0010
intervenes," The end, though plausible, not worth the means. ",o3795-l28675," But judge where so much evil intervenes,",o3795-l28670,/iːnz/ | /iːnz/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
intervenes," To compass that good end, forecast the means. ",o3795-l30660,"Aware then how much danger intervenes,",o3795-l30655,/iːnz/ | /iːnz/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
deigns,' Where's the small farm to suit my scanty means? ,o5398-l03700," 'No; though indulgent Heaven its blessing deigns,",o5398-l03695,/iːnz/ | /eɪnz/,half-pararhyme,<b>a</b><b>a</b>,pers00278,o5398-w0010
scenes," Wise to promote whatever end he means,",o3794-l17965," God opens fruitful nature's various scenes,",o3794-l17970,/iːnz/ | /iːnz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0060
pains,And blindly for the cause mistake the means;,o5153-l22000,"To that ascribe our pleasures and our pains,",o5153-l21995,/iːnz/ | /eɪnz/,half-pararhyme,<b>a</b><b>a</b>,pers00119,o5153-w0340
scenes," Taste happiness, or know what pleasure means. ",o3794-l13705," And no where but in feign'd Arcadian scenes,",o3794-l13700,/iːnz/ | /iːnz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0050
