r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
earth,"A horrid Sound dash'd our immortal Mirth,",pse03-l11125," Wafted by Sighs, from the unlucky Earth. ",pse03-l11130,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00272,pse03-w0500
birth, And forced the flood-gates of licentious mirth;,o3794-l22045," When wine has giv'n indecent language birth,",o3794-l22040,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
earth," Though future pain may serve for present mirth,",o3794-l23195,"The time is short, and there are souls on earth,",o3794-l23190,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
earth," Lights their green path, and prompts their simple mirth,",n22cs-l01990," To wound the wretched pilgrims of the earth,",n22cs-l02000,/ɜːθ/ | /ɜːθ/,full,ababc<b>d</b>c<b>d</b>efefgg,pers00290,n22cs-w0270
birth," We wonder at ourselves, and curse our mirth. ",o4600-l01330,"We laugh, we clap, — but, on Reflection's birth,",o4600-l01325,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
earth, Or only known to raise contempt and mirth;,o4110-l02120," Unknown amongst the nations of the earth,",o4110-l02115,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
earth," Love blinks, Wit slaps, an' social Mirth",cbu86-l00655, Forgets there's care upo' the earth. ,cbu86-l00660,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00307,cbu86-w0010
earth, And with our Follies glut Thy heighten'd Mirth:,pmp18-l28565,"Democritus, dear Droll, revisit Earth,",pmp18-l28560,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>bbcc,pers00314,pmp18-w1010
earth, 'I saw thee eye the gen'ral mirth,cbu86-l07720," 'Or when the deep-green-mantl'd Earth,",cbu86-l07700,/ɜːθ/ | /ɜːθ/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0100
birth, 'I saw thee eye the gen'ral mirth,cbu86-l07720,"' Warm-cherish'd ev'ry floweret's birth,",cbu86-l07705,/ɜːθ/ | /ɜːθ/,full,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0100
forth, 'I saw thee eye the gen'ral mirth,cbu86-l07720," 'And joy and music pouring forth,",cbu86-l07710,/ɜːθ/ | /ɔːθ/,half-pararhyme,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0100
hearth,"LITTLE inmate, full of mirth,",o3794-l32440, Chirping on my kitchen hearth;,o3794-l32445,/ɜːθ/ | /ɑːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00270;pers00269,o3794-w0330
earth," Shone forth the foremost in the train of mirth,",bmb97-l03590,"This wretched body, bending to the earth,",bmb97-l03580,/ɜːθ/ | /ɜːθ/,full,<b>a</b>b<b>a</b>b,pers00315,bmb97-w0080
worth,"Rejoice ye jovial sons of mirth,",peh89-l09815, A joy of more intrinsic worth,peh89-l09825,/ɜːθ/ | /ɜːθ/,full,<b>a</b>b<b>a</b>b,pers00324,peh89-w0250
earth," ""No more thy woods resound the voice of Mirth;",o4985-l17890," ""Thy glories now are levell'd low in earth;",o4985-l17880,/ɜːθ/ | /ɜːθ/,full,<b>a</b>b<b>a</b>b,pers00217,o4985-w0280
worth," 'Tis best to bestow it on pleasure and mirth,",pma99-l09625," But since 'tis the fashion to spend all one's worth,",pma99-l09620,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00306,pma99-w0510
earth,"WHILE, lost to all his former mirth,",o5152-l40390,"BRITANNIA'S genius bends to earth,",o5152-l40395,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>bccb,pers00048,o5152-w0360
birth, The harmless play of pleasantry and mirth. ,o3795-l26120," Perhaps 'twas mere good-humour gave it birth,",o3795-l26115,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00269,o3795-w0070
earth," Our pity move, or exercise our mirth,",o4111-l00540," Those mighty-letter'd monsters of the earth,",o4111-l00535,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
hearth,Around in sympathetic mirth,o5346-l04620, The cricket chirrups in the hearth;,o5346-l04630,/ɜːθ/ | /ɑːθ/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00174,o5346-w0030
earth," To wholesome labour giv'n, or thoughtless mirth;",n22cs-l02340," Bend his unconscious spirit down to earth,",n22cs-l02350,/ɜːθ/ | /ɜːθ/,full,ababbccb<b>d</b>e<b>d</b>eff,pers00290,n22cs-w0310
earth,"Their godships gave a loose to mirth,",o5156-l35690,As we at Butt'ring's here on earth.,o5156-l35695,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00026,o5156-w1100
hearth,Around in sympathetic mirth,o5089-l06635, The cricket chirrups in the hearth;,o5089-l06645,/ɜːθ/ | /ɑːθ/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00174,o5089-w0080
birth," Gay fancy smiled not, nor heart-light'ning mirth:",bjb18-l11095,"Who says we are not, on his sombre birth",bjb18-l11090,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0180
birth,"Invites our hearts to frolic mirth,",bed98-l08730,And lose the fire which gave it birth.,bed98-l08740,/ɜːθ/ | /ɜːθ/,full,x<b>a</b>x<b>a</b>,pers00340,bed98-w0180
birth,"Then I beheld, with brutal Shouts of Mirth,",ppo24-l10010," A comely Youth, and of no common Birth,",ppo24-l10015,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0120
earth, Let the giddy Fool have Mirth;,o4784-l04180, Let th' Ambitious rule the Earth;,o4784-l04175,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00268,o4784-w0080
earth,By grateful interchange of mirth,o5155-l06990,"As varying seasons recommend the earth,",o5155-l07000,/ɜːθ/ | /ɜːθ/,full,<b>a</b>b<b>a</b>b,pers00089,o5155-w0050
earth,"They, rich in pilfer'd spoils, indulg'd their mirth,",o5152-l04970,And pity'd the huge wretched sons of earth.,o5152-l04975,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00011,o5152-w0080
hearth,I'll waste the wintry hours in social mirth;,o5153-l06135,"Warm'd by the blaze of my own cheerful hearth,",o5153-l06130,/ɜːθ/ | /ɑːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00030,o5153-w0140
birth,Fill'd her with thee; and joy and mirth,o5157-l17800,Hung on thy auspicious birth.,o5157-l17805,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00146,o5157-w0200
earth,"With chearful wisdom and instructive mirth,",o5155-l17060,"Once more, Democritus, arise on earth,",o5155-l17055,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00029,o5155-w0220
earth,DOTH it more move our anger or our mirth,o3842-l01295," To see these THINGS, the lowest sons of earth,",o3842-l01300,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00155,o3842-w0010
worth,"BUT if the Muse, too cruel in her mirth,",o3842-l01665, With harsh reflexions wound the man of worth;,o3842-l01670,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00155,o3842-w0010
earth," Attending found her suitor Mirth,",bmb97-l06720,"She said, and springing from the earth,",bmb97-l06715,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00315,bmb97-w0150
hearth," Frequent cause of harmless mirth,",o5280-l01910," Tenants of the chearful hearth,",o5280-l01905,/ɜːθ/ | /ɑːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00277,o5280-w0100
worth," To letter'd ease retir'd, and honest mirth,",o4986-l28945," To rural grandeur, and domestic worth;",o4986-l28950,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00029,o4986-w0690
earth,"Business or vain amusement, care or mirth,",o3794-l28500," Divide the frail inhabitants of earth,",o3794-l28505,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00269,o3794-w0080
earth,"""Go, kiss your sire! go, share the bridal mirth! "" ",o4671-l18480,"She cry'd, and hurl'd their quivering limbs on earth. ",o4671-l18485,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
birth,"Mourn, mourn, ye Spirits, who delight in Mirth;",o4898-l00045," The Soul of Wit, that gave your Laughter Birth,",o4898-l00055,/ɜːθ/ | /ɜːθ/,full,<b>a</b>b<b>a</b>b,pers00330,o4898-w0010
hearth,"Dwells every joy, which youthful mirth",o5155-l33985,"But that, beside its social hearth",o5155-l33980,/ɜːθ/ | /ɑːθ/,half-pararhyme,<b>a</b><b>a</b>bccb,pers00117,o5155-w0730
birth,"The offspring first of foolish mirth,",o5156-l06815,None of the Nine e'er gave it birth;,o5156-l06810,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00138,o5156-w0260
hearth, How loudly laughs the jovial voice of mirth;,o4984-l08720, A social blaze to chear their evening hearth. ,o4984-l08730,/ɜːθ/ | /ɑːθ/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00169,o4984-w0100
