r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
die," The towering elm nods misery,",o4984-l35820,"I see the lawn of hideous dye,",o4984-l35815,/ɪzri/ | /aɪ/,half-pararhyme,aab<b>c</b><b>c</b>b,pers00226,o4984-w0660
be," With prospect of thy endless misery,",oae86-l03470, Which transmutations I am sure can't be;,oae86-l03460,/ɪzri/ | /iː/,half-pararhyme,<b>a</b>a<b>a</b>,pers00272,oae86-w0010
eternity," With prospect of thy endless misery,",oae86-l03470," So thou must lie in vast eternity,",oae86-l03465,/ɪzri/ | /ɜːnəti/,half-pararhyme,a<b>a</b><b>a</b>,pers00272,oae86-w0010
me, That I'm thus hurry'd on to Misery;,pse03-l02700,"What cross impetuous Planets govern me,",pse03-l02695,/ɪzri/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00272,pse03-w0080
see, The future offers finish'd misery. ,pye85-l07335," The spirit soon quits that fond clasp, for see,",pye85-l07330,/ɪzri/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00256,pye85-w0170
eye," Where madness lurk'd, conceal'd in misery;",pcr18-l18495," His cheeks were haggard, hollow was his eye",pcr18-l18490,/ɪzri/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00275,pcr18-w0040
infinity, O! look with mercy on man's misery;,cac95-l14235,Eternal Spirit of Infinity! ,cac95-l14225,/ɪzri/ | /ɪnəti/,half-vowelrhyme,a<b>b</b>a<b>b</b>cc,pers00301,cac95-w0270
dry,"Ev'n in this Vale of Misery,",oat77-l01510,"But Riv'lets almost Dry,",oat77-l01520,/ɪzri/ | /aɪ/,half-pararhyme,aabccb<b>d</b>e<b>d</b>effgghhiii,pers00344,oat77-w0050
tree,"Exempt from Sense or thought of Misery,",oat77-l05450,Their Paradise has no Forbidden Tree! ,oat77-l05465,/ɪzri/ | /iː/,half-pararhyme,abbacdcc<b>e</b>cc<b>e</b>ffghgghh,pers00344,oat77-w0290
fly, To tell the Story of her Misery? ,ppo24-l08590,Where can the wretched'st of all Creatures fly,ppo24-l08585,/ɪzri/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00257,ppo24-w0120
