r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
pother," With Cupid, and his fancy'd Mother:",pmp18-l32785,Lucretius keeps a mighty Pother,pmp18-l32780,/ʌðə/ | /ɒðə/,half-vowelrhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
other," Or do with Her, You call your Mother? ",pmp18-l08630, We hardly court'sy to each other. ,pmp18-l08640,/ʌðə/ | /ʌðə/,full,a<b>b</b>a<b>b</b>,pers00314,pmp18-w0310
another," Not ev'n Eliza, for his Mother;",pba35-l06970,"CUPID shall ne'er mistake another,",pba35-l06965,/ʌðə/ | /ʌðə/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
other,"Like Nero, Thou hast slain thy Mother. ",pmp18-l08055," O cruel, could'st Thou find none other,",pmp18-l08045,/ʌðə/ | /ʌðə/,full,a<b>b</b>a<b>b</b>,pers00314,pmp18-w0280
another,"CUPID one day ask'd his Mother,",o4784-l08640, Nor has Nature made another,o4784-l08655,/ʌðə/ | /ʌðə/,full,<b>a</b>bb<b>a</b>b,pers00268,o4784-w0180
another," Blind Joseph played, and I took out thy mother,",bsb18-l02515," Thy father, he was shy, he got another;",bsb18-l02520,/ʌðə/ | /ʌðə/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0010
other,"But I thought I should faint when I saw him, dear Mother,",o3364-l00705," Feel my Pulse with one Hand, with a Watch in the other,",o3364-l00710,/ʌðə/ | /ʌðə/,full,<b>a</b><b>a</b>,pers00205,o3364-w0010
another," And of all the fine Sights I have seen, my dear Mother,",o3364-l02685, I never expect to behold such another:,o3364-l02690,/ʌðə/ | /ʌðə/,full,<b>a</b><b>a</b>,pers00205,o3364-w0010
another,"For the Man I abhor like the Devil, dear Mother,",o3364-l07895," Who one Thing conceals, and professes another. ",o3364-l07900,/ʌðə/ | /ʌðə/,full,<b>a</b><b>a</b>,pers00205,o3364-w0010
smother, I'll think her handsome as their mother. ,o4986-l19395," Though every Cupid he should smother,",o4986-l19390,/ʌðə/ | /ʌðə/,full,<b>a</b><b>a</b>,pers00210,o4986-w0410
other, A second cousin by the mother;,o4899-l00020," (Sir Thomas one, plain William t'other,",o4899-l00015,/ʌðə/ | /ʌðə/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
brother," For so, said he, the holy mother",o4899-l08145," Has told me, your unworthy brother. ",o4899-l08150,/ʌðə/ | /ʌðə/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
another,"Where yet was ever found a mother,",ojg27-l01185, Who'd give her booby for another? ,ojg27-l01190,/ʌðə/ | /ʌðə/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0040
brother, Suppose your hero knows no mother —,pma99-l06080, Suppose he proves the heroine's brother —,pma99-l06085,/ʌðə/ | /ʌðə/,full,<b>a</b><b>a</b>,pers00306,pma99-w0270
