r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
turns,But soon his Heart the lost Delusion mourns:,o5125-l05635, And the proud Prelate to a Curate turns,o5125-l05640,/ɔːnz/ | /ɜːnz/,half-pararhyme,<b>a</b><b>a</b>,pers00154,o5125-w0180
scorns,"He with us sacred Nymphs profusely Mourns,",pse03-l11205, With us the least desire of Respite scorns;,pse03-l11210,/ɔːnz/ | /ɔːnz/,full,<b>a</b><b>a</b>,pers00272,pse03-w0500
returns," Of dazzling pride, and with the mourner mourns;",pye85-l02045," And brings it back by soft, yet swift returns. ",pye85-l02055,/ɔːnz/ | /ɜːnz/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00256,pye85-w0050
turns," Yet thrives again, and less and less he mourns;",o4784-l09630,"A Servant, for small Profits, there he turns,",o4784-l09625,/ɔːnz/ | /ɜːnz/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0230
urns,"Her failing arts, forlorn Hesperia mourns;",o5152-l04035,"See on her Titian's and her Guido's urns,",o5152-l04030,/ɔːnz/ | /ɜːnz/,half-pararhyme,<b>a</b><b>a</b>,pers00011,o5152-w0050
burns," And racks his tortur'd Soul, while thus he mourns:",o4741-l09705," A conscious Hell within his Bosom burns,",o4741-l09700,/ɔːnz/ | /ɜːnz/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0100
burns,Or grieves when Eloisa mourns:,o5154-l28070,"The mind is melted down, or burns:",o5154-l28060,/ɔːnz/ | /ɜːnz/,half-pararhyme,aab<b>c</b>b<b>c</b>dd,pers00124,o5154-w0460
burns,"He, who a father or a mother mourns,",o4984-l30135," He, whom the dreaded rage of fever burns,",o4984-l30145,/ɔːnz/ | /ɜːnz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00250,o4984-w0520
turns,"Th' Unhappy House looks desolate and mourns,",o4672-l15090, And every Door groans doleful as it turns;,o4672-l15095,/ɔːnz/ | /ɜːnz/,half-pararhyme,<b>a</b><b>a</b>,pers00292,o4672-w0680
thorns," Whilst vice beneath imagin'd horrors mourns,",o4111-l00575," And conscience plants the villains couch with thorns,",o4111-l00580,/ɔːnz/ | /ɔːnz/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
turns, O'er her expiring son the Goddess mourns. ,o4987-l08635,"Lo, his dim eyes to Liberty he turns,",o4987-l08625,/ɔːnz/ | /ɜːnz/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00207,o4987-w0260
returns," Thro' sleepless night my haunted spirit mourns,",o4987-l31590,"Oft as bright morn's all-searching eye returns,",o4987-l31580,/ɔːnz/ | /ɜːnz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00224,o4987-w0860
returns," Their joyless state, even more than his who mourns",pmt18-l07440," Unto his widowed heart indeed returns,",pmt18-l07450,/ɔːnz/ | /ɜːnz/,half-pararhyme,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0022
spurns," Their joyless state, even more than his who mourns",pmt18-l07440," Yet, while he weeps, his soul their cold indifference spurns. ",pmt18-l07455,/ɔːnz/ | /ɜːnz/,half-pararhyme,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0022
returns,"In anguish — of a Father mourns,",pcc86-l01600," My Son — my son — no more returns,",pcc86-l01605,/ɔːnz/ | /ɜːnz/,half-pararhyme,<b>a</b><b>a</b>x,pers00323,pcc86-w0100
returns, How tasteless this to her who mourns —,bsb18-l12685,"Nature's the same: the Spring returns,",bsb18-l12675,/ɔːnz/ | /ɜːnz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00280,bsb18-w0150
urns,"Ye honour'd shades, whom widow'd Albion mourns?",o5152-l01730,"But oh! what sorrows shall bedew your urns,",o5152-l01725,/ɔːnz/ | /ɜːnz/,half-pararhyme,<b>a</b><b>a</b>,pers00011,o5152-w0010
returns,No more afflicted Nature mourns! ,o5125-l04670,"But see, O see, the Sun returns! ",o5125-l04665,/ɔːnz/ | /ɜːnz/,half-pararhyme,<b>a</b><b>a</b>bbcc,pers00154,o5125-w0150
returns,"A sister sickens, or a daughter mourns.",o5155-l18310,"New sorrow rises as the day returns,",o5155-l18305,/ɔːnz/ | /ɜːnz/,half-pararhyme,<b>a</b><b>a</b>,pers00029,o5155-w0220
returns,"He thro' his days of bondage deeply mourns,",bed98-l22980,"In thought, to times of innocence returns,",bed98-l22990,/ɔːnz/ | /ɜːnz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00340,bed98-w0840
adorns," And dull the Muses, when APOLLO mourns;",o4741-l12460," Rude are the Lays, which only Grief adorns;",o4741-l12455,/ɔːnz/ | /ɔːnz/,full,<b>a</b><b>a</b>,pers00091,o4741-w0280
