r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
famed," With Trojan, or with Roman matrons nam'd. ",pcc86-l02940,OUR Scottish dames for virtue still be fam'd;,pcc86-l02935,/eɪmd/ | /eɪmd/,full,<b>a</b><b>a</b>,pers00323,pcc86-w0230
exclaimed," Anselm, the lov'd Eulalia, nam'd. ",o4091-l25470," Cuthbertha, Henry's name, exclaim'd. —",o4091-l25460,/eɪmd/ | /eɪmd/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
claimed," The flow'rs of brightest hue oppression nam'd,",yfs88-l02115, Yet from the tree the rank of commerce claim'd;,yfs88-l02120,/eɪmd/ | /eɪmd/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
famed," His Sons Lycander and Polyphon nam'd,",o5125-l19355," Laon the great in Valour justly fam'd,",o5125-l19350,/eɪmd/ | /eɪmd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
famed, 'Mongst landed gentlemen he's nam'd. ,bjl92-l13200, My father once a merchant fam'd;,bjl92-l13190,/eɪmd/ | /eɪmd/,full,a<b>b</b>a<b>b</b>,pers00338,bjl92-w0550
unreclaimed, From easy Softness are but falsly nam'd. ,pdi22-l03045,"And They who, tho' from Rapin unreclaim'd,",pdi22-l03040,/eɪmd/ | /eɪmd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
famed, No more shall thy researches e'er be nam'd;,pma99-l07165,"Alas poor Newton! late for learning fam'd,",pma99-l07160,/eɪmd/ | /eɪmd/,full,<b>a</b><b>a</b>bbcc,pers00306,pma99-w0340
ashamed,"""They live, and are despis'd: they die, nor more are nam'd.",o5154-l01515,"""Griev'd, with the present; of the past, asham'd:",o5154-l01510,/eɪmd/ | /eɪmd/,full,ababcdcd<b>e</b><b>e</b>,pers00031,o5154-w0050
famed, Quarlendorgongos by infernals nam'd:,o4039-l05045,"The prince of trimmers, for his magic fam'd,",o4039-l05040,/eɪmd/ | /eɪmd/,full,<b>a</b><b>a</b>,pers00288,o4039-w0180
proclaimed," That wheresoe'er his gospel shall be nam'd,",pma99-l06665," Since by thy Saviour's voice it is proclaim'd,",pma99-l06660,/eɪmd/ | /eɪmd/,full,<b>a</b><b>a</b>,pers00306,pma99-w0300
damned," Act 'em indeed, but scorn they should be nam'd,",ppo24-l09380, For all their Glory's to be more than damn'd;,ppo24-l09385,/eɪmd/ | /æmd/,half-pararhyme,<b>a</b><b>a</b>,pers00257,ppo24-w0120
condemned,"Tho' None, said He, shall yet be nam'd,",pmp18-l08265," But be She not, Mamma, condemn'd",pmp18-l08275,/eɪmd/ | /emd/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00314,pmp18-w0310
remained," And Leah one, and one was Rachel nam'd. ",pjo50-l10530,"Two only Daughters to his age remain'd,",pjo50-l10525,/eɪmd/ | /eɪnd/,half-vowelrhyme,<b>a</b><b>a</b>,pers00273,pjo50-w0430
proclaimed, When they heard their leader named. ,bjb18-l27540," Their praise his deeds proclaimed,",bjb18-l27530,/eɪmd/ | /eɪmd/,full,a<b>b</b>a<b>b</b>,pers00287,bjb18-w0650
famed,Les Belles Angloises by ev'ry Nation nam'd? ,o3868-l00085,ARE not our Dames in every Climate fam'd? ,o3868-l00080,/eɪmd/ | /eɪmd/,full,<b>a</b><b>a</b>,pers00296,o3868-w0010
famed,"There lived a maid, Eliza named,",bed98-l01395,"Who was for nothing very famed,",bed98-l01400,/eɪmd/ | /eɪmd/,full,<b>a</b><b>a</b>,pers00340,bed98-w0030
blamed, As soon as Text is named. ,o5463-l00180," And often am I blamed,",o5463-l00170,/eɪmd/ | /eɪmd/,full,x<b>a</b>x<b>a</b>,pers00329,o5463-w0010
famed," Thy Offspring, Thames! the fair Lodona nam'd,",o3704-l00865,"Above the rest a rural Nymph was fam'd,",o3704-l00860,/eɪmd/ | /eɪmd/,full,<b>a</b><b>a</b>,pers00012,o3704-w0010
framed," Ere skilful Vulcan was at Lemnos nam'd,",cer72-l02800," Or Cynthia's darts, or shields for Pallas fram'd. ",cer72-l02805,/eɪmd/ | /eɪmd/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
famed," There wonn'd a wight, and Lycon was he nam'd,",o4985-l14755,"What time Arcadia's flowret vallies fam'd,",o4985-l14745,/eɪmd/ | /eɪmd/,full,<b>a</b>b<b>a</b>bbcbcc,pers00032,o4985-w0240
reclaimed, By Seas from Icarus's Downfall nam'd? ,pmp18-l15855,Or is Her tow'ring Flight reclaim'd,pmp18-l15850,/eɪmd/ | /eɪmd/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0550
famed," From Saturn's Rule, and better Metal nam'd. ",pmp18-l16125," Lead forth the Years for Peace and Plenty fam'd,",pmp18-l16120,/eɪmd/ | /eɪmd/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0550
blamed, As soon as text is named:,o5493-l00180," And often I am blamed,",o5493-l00170,/eɪmd/ | /eɪmd/,full,x<b>a</b>x<b>a</b>xaxa,pers00329,o5493-w0010
sally, As soon as text is named:,o5493-l00180," And slink away to Sally,",o5493-l00190,/eɪmd/ | /æli/,half-pararhyme,xax<b>a</b>x<b>a</b>xa,pers00329,o5493-w0010
alley, As soon as text is named:,o5493-l00180, And lives in our alley. ,o5493-l00200,/eɪmd/ | /æli/,half-pararhyme,xax<b>a</b>xax<b>a</b>,pers00329,o5493-w0010
famed," Who from Corioli was nam'd,",pba35-l11445,"So he, in Roman Story fam'd,",pba35-l11440,/eɪmd/ | /eɪmd/,full,<b>a</b><b>a</b>,pers00087,pba35-w0910
shamed," With infamy too nauseous to be named,",o3795-l30380," See womanhood despised, and manhood shamed",o3795-l30375,/eɪmd/ | /eɪmd/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
famed, Let Stoklewath be not the last that's nam'd! ,bsb18-l05900," Whene'er a Cumbrian Village shall be fam'd,",bsb18-l05895,/eɪmd/ | /eɪmd/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0010
framed,"The seventh a day of rest he nam'd,",bed98-l20590,"God's powerful word creation fram'd,",bed98-l20580,/eɪmd/ | /eɪmd/,full,<b>a</b>b<b>a</b>b,pers00340,bed98-w0690
claimed, Among th' immortal Gods are nam'd),o4899-l07475,"(Of heroes, who, by Virtue claim'd,",o4899-l07470,/eɪmd/ | /eɪmd/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
blamed," Blest should its memory be, when ours is nam'd,",o3366-l01100,Now let the iron age no more be blam'd;,o3366-l01095,/eɪmd/ | /eɪmd/,full,<b>a</b><b>a</b>,pers00319,o3366-w0010
