r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
recollected,"'Twas Venus' self he had neglected,",o5156-l36055,"For now their godships recollected,",o5156-l36050,/ektɪd/ | /ektɪd/,full,<b>a</b><b>a</b>,pers00026,o5156-w1100
respected,"Ill-pleas'd to see the flow'r neglected,",o4986-l20250, Which she so honour'd and respected! ,o4986-l20255,/ektɪd/ | /ektɪd/,full,<b>a</b><b>a</b>,pers00206,o4986-w0440
suspected," Ne'er dreaming of ambush, defence she neglected;",o4081-l00670,"Herself undesigning, no schemes she suspected —",o4081-l00665,/ektɪd/ | /ektɪd/,full,<b>a</b><b>a</b>,pers00348,o4081-w0010
affected,"And thus his proper road to fame neglected,",o5154-l07750,He's ridicul'd for that he but affected.,o5154-l07755,/ektɪd/ | /ektɪd/,full,<b>a</b><b>a</b>,pers00124,o5154-w0120
collected," And Phenicopters' stood neglected,",o3982-l05070," How Pheasants' heads, with cost collected,",o3982-l05065,/ektɪd/ | /ektɪd/,full,<b>a</b><b>a</b>,pers00274,o3982-w0020
respected," But now, alas, we're quite neglected,",ojg27-l07945, And a pert sparrow's more respected. ,ojg27-l07950,/ektɪd/ | /ektɪd/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0330
inspected, Of conscious beauty quite neglected;,bao18-l05890, And round with all the spite inspected,bao18-l05885,/ektɪd/ | /ektɪd/,full,<b>a</b><b>a</b>,pers00279,bao18-w0220
respected," Thy crowded easel soon neglected,",bao18-l05950," Thy powers will be no more respected,",bao18-l05945,/ektɪd/ | /ektɪd/,full,<b>a</b><b>a</b>,pers00279,bao18-w0220
affected,And inward Charms are quite neglected:,clc03-l03945,"Each Look, each Word, each Smile's affected,",clc03-l03940,/ektɪd/ | /ektɪd/,full,aa<b>b</b><b>b</b>cc,pers00349,clc03-w0060
respected,Conceit and folly thus neglected!,o5156-l07720,Thus real genius is respected!,o5156-l07715,/ektɪd/ | /ektɪd/,full,<b>a</b><b>a</b>,pers00142,o5156-w0300
