r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
thine,Say where the glories of the sacred nine?,o5152-l24960,"Where Homer's verse sublime, or, Milton, thine?",o5152-l24965,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
mine, Let which I please of all the Nine,psw11-l02975," Obey my Call, and only mine. ",psw11-l02985,/aɪn/ | /aɪn/,full,a<b>b</b>a<b>b</b>,pers00148,psw11-w0100
shine," Glance not contempt, ye minions of the nine;",yfs88-l00040,"Bright as the beams of glory round you shine,",yfs88-l00035,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
divine, Let other Bards invoke the tuneful Nine;,o5280-l04505,"TO sing of beauty and its pow'r divine,",o5280-l04500,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00277,o5280-w0330
mine," And I, like you, a Fav'rite of the Nine;",o4741-l00370,"SIR, were your Eloquence and Learning mine,",o4741-l00365,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00091,o4741-w0010
divine,"For, taught of heaven, the sacred Nine",o5157-l01650,"Persuasive numbers, forms divine,",o5157-l01655,/aɪn/ | /aɪn/,full,aabb<b>c</b><b>c</b>deed,pers00047,o5157-w0020
thine," An English Muse, the meanest of the nine,",o4110-l01180,"Presumptuous wretch! and shall a Muse like thine,",o4110-l01175,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
join,"For thee, my bird, the sacred Nine,",o5155-l27490,"Who lov'd thy tuneful notes, shall join",o5155-l27495,/aɪn/ | /ɔɪn/,half-pararhyme,<b>a</b><b>a</b>bccb,pers00027,o5155-w0480
shrine,'Midst scenes for ever sacred to the Nine. ,o5280-l06560," Whilst Spenser's princely race erect their shrine,",o5280-l06555,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00277,o5280-w0390
twine,While round her brows two sisters of the Nine,o4987-l20710, Poetic wreaths with philosophic twine! ,o4987-l20715,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00055,o4987-w0700
shine,"From earthly mists, ye gentle Nine!",o5154-l27395,"Sudden the landscapes fairer shine,",o5154-l27405,/aɪn/ | /aɪn/,full,<b>a</b>b<b>a</b>bcc,pers00052,o5154-w0450
shine,"FAV'RITE of Venus and the tuneful Nine,",o5153-l04575,"Pollio, by nature form'd in courts to shine,",o5153-l04580,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00030,o5153-w0080
mine,"Give me but One, and burn the other Nine.",o5156-l18460,"You send Ten Hearts, the tythe is only mine,",o5156-l18455,/aɪn/ | /aɪn/,full,aa<b>b</b><b>b</b>,pers00064,o5156-w0630
divine," Here dwell the Graces three, the Sisters nine,",o5280-l04130, And them alone these maidens deem divine;,o5280-l04135,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00277,o5280-w0280
