r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
shore," While Sea-born Swains desire no foreign Oar,",pdi12-l01260," Content with Sea, and careless of the Shore. ",pdi12-l01265,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0040
yore, That ever dragg'd a chain or tugg'd an oar;,o3794-l12620,"Thou wast the veriest slave in days of yore,",o3794-l12615,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
shore, Soft moves the dipping oar! ,bjb18-l26480," Just parted from the shore,",bjb18-l26470,/ɔː/ | /ɔː/,full,a<b>b</b>a<b>b</b>cdcd,pers00287,bjb18-w0620
roar,"Where ocean frets beneath the dashing oar,",tgaen-l00650,"And parting surges round the vessel roar,",tgaen-l00655,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00039,tgaen-wtra6
shore, Yet still put'st in Thy thwarting Oar. ,pmp18-l38100,"Thou wishest, I should make to Shoar;",pmp18-l38095,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
shore," Drive thro' the working Foam, and ply the lab'ring Oar. ",pdi22-l00080," Who scorn the Safety of the calmer Shore,",pdi22-l00075,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
shore,"Thy sides are left without an oar,",o5153-l33900,"Where, alas! art thou driving? keep steady to shore.",o5153-l33895,/ɔː/ | /ɔː/,full,a<b>b</b><b>b</b>a,pers00083,o5153-w0640
ashore, As Spenser his — but not with Spenser's oar. ,pcr18-l12890," And row, meantime, our weary bark ashore,",pcr18-l12885,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
shore,"The eager mariners now seize the oar,",pmt18-l13490,Nor unattended did they leave the shore:,pmt18-l13500,/ɔː/ | /ɔː/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0024
shore, In pleasing silence listens to the oar,pmt18-l13560, Or asks her knight if yet the promised shore,pmt18-l13570,/ɔː/ | /ɔː/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0024
restore, In pleasing silence listens to the oar,pmt18-l13560, May bless her longing eyes when morn shall light restore? ,pmt18-l13575,/ɔː/ | /ɔː/,full,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0024
before," To sweat and dig for Gold, to hoard the Oar,",o4672-l15700," Hide the dear Dust yet darker than before,",o4672-l15705,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>a,pers00292,o4672-w0680
store," To sweat and dig for Gold, to hoard the Oar,",o4672-l15700, And never dare to use a Grain of all the Store. ,o4672-l15710,/ɔː/ | /ɔː/,full,<b>a</b>a<b>a</b>,pers00292,o4672-w0680
soar,"To business chain'd, as to an oar,",o5089-l31575," My soul regrets she cannot soar,",o5089-l31580,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00094,o5089-w0670
more, Than any slave who labours at the oar. ,o4111-l00800,"Much sorrow shall he feel, and suffer more",o4111-l00795,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
