r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
lore," Whose tongue ne'er speaks but when the heart runs o'er,",o4986-l16985,"While I, unskill'd in Oratory's lore,",o4986-l16980,/ɔːə/ | /ɔː/,half-vowelrhyme,<b>a</b><b>a</b>,pers00210,o4986-w0400
store,The parts combine and harden into ore.,tgaen-l01015,"In one rich mass unite the precious store,",tgaen-l01010,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00039,tgaen-wtrgl
before, And charm'd her by repeating o'er,o4987-l28585, That twenty fools had said before:,o4987-l28595,/ɔːə/ | /ɔː/,half-vowelrhyme,a<b>b</b>a<b>b</b>,pers00189,o4987-w0790
door,"' Tho' I should wander Terra o'er,",cbu86-l05915,"My pen I here fling to the door,",cbu86-l05905,/ɔːə/ | /ɔː/,half-vowelrhyme,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0080
implore,"' Tho' I should wander Terra o'er,",cbu86-l05915," And kneel, 'Ye Pow'rs, and warm implore,",cbu86-l05910,/ɔːə/ | /ɔː/,half-vowelrhyme,a<b>a</b><b>a</b>bab,pers00307,cbu86-w0080
more,"' Tho' I should wander Terra o'er,",cbu86-l05915,"' Grant me but this, I ask no more,",cbu86-l05925,/ɔːə/ | /ɔː/,half-vowelrhyme,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0080
before,"He back returns, a thing so strange all o'er,",o5154-l20085,As never ages past produc'd before:,o5154-l20090,/ɔːə/ | /ɔː/,half-vowelrhyme,<b>a</b><b>a</b>,pers00112,o5154-w0310
more," The costly Sacrifice is o'er,",o3900-l10630," Revives, and He shall die no more. ",o3900-l10640,/ɔːə/ | /ɔː/,half-vowelrhyme,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
lover,"All my griefs will then be over,",bah18-l05915," You may regret a faithful lover,",bah18-l05925,/əʊvə/ | /ʌvə/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00281,bah18-w0370
more,"""My race is run, life's fleeting vision o'er. "" ",bjl92-l04375," ""With ravish'd eyes I'll view thy charms no more;",bjl92-l04370,/ɔːə/ | /ɔː/,half-vowelrhyme,<b>a</b><b>a</b>,pers00338,bjl92-w0150
more," With tardy pace the plains he wander'd o'er,",bjl92-l04430, Some cot or village wish'd to see once more. ,bjl92-l04435,/ɔːə/ | /ɔː/,half-vowelrhyme,<b>a</b><b>a</b>,pers00338,bjl92-w0150
tore, His clothes by nauseous mud bespatter'd o'er;,bjl92-l04480," His hair dishevell'd, and his ruffles tore. ",bjl92-l04485,/ɔːə/ | /ɔː/,half-vowelrhyme,<b>a</b><b>a</b>,pers00338,bjl92-w0150
before," But when he thought the dang'rous Storm was o'er,",o5125-l20165," Again he sought those Eyes he fled before,",o5125-l20170,/ɔːə/ | /ɔː/,half-vowelrhyme,<b>a</b><b>a</b>,pers00154,o5125-w0510
