r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
know, Nor to thy face the pleasure owe,o4029-l07405,"Methinks thy form I would not know,",o4029-l07400,/əʊ/ | /əʊ/,full,<b>a</b><b>a</b>bbcddc,pers00284,o4029-w0020
know,"MY earliest flame, to whom I owe",o5156-l25050,All that a captain needs to know;,o5156-l25055,/əʊ/ | /əʊ/,full,<b>a</b><b>a</b>,pers00083,o5156-w0720
know, How much You to my Candor owe;,pmp18-l38040,"Yet, that You hic & nunc may know,",pmp18-l38035,/əʊ/ | /əʊ/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
woe,"The finest Musick of the Grove, we owe",ppo24-l07600, To mourning Philomel's harmonious Woe;,ppo24-l07605,/əʊ/ | /əʊ/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0070
grow," What mighty blessings doth not ENGLAND owe,",o4110-l00560,"To that rare soil, where virtues clust'ring grow,",o4110-l00555,/əʊ/ | /əʊ/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
go,"Where my vows, my devotion, I owe,",o5155-l38715,And my solace wherever I go.,o5155-l38725,/əʊ/ | /əʊ/,full,ababc<b>d</b>c<b>d</b>,pers00035,o5155-w0950
flow,"Wealth, children, love itself, to HEALTH their relish owe.",o5155-l30255,"From HEALTH these blushes, smiles and transports flow;",o5155-l30250,/əʊ/ | /əʊ/,full,aabbcc<b>d</b><b>d</b>,pers00055,o5155-w0590
flow,Congers their Bulk to these Productions owe:,pdi22-l04320,What great Effects from slender Causes flow! ,pdi22-l04315,/əʊ/ | /əʊ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
grow, Nor to the painful Birth their Being owe. ,pdi22-l06535,"Oysters self-bred in rocky Crannies grow,",pdi22-l06530,/əʊ/ | /əʊ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
know, But to themselves their mutual Pleasures owe;,pdi22-l06725,"Harmless they live, nor murd'rous Hunger know,",pdi22-l06720,/əʊ/ | /əʊ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
