r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
crowned, Nor shall thy Pow'r in Heav'n be own'd;,pmp18-l07920,Nor shall thy Shrine on Earth be crown'd:,pmp18-l07915,/əʊnd/ | /aʊnd/,half-pararhyme,<b>a</b><b>a</b>a,pers00314,pmp18-w0270
wound, Nor shall thy Pow'r in Heav'n be own'd;,pmp18-l07920," When Thou, nor Man, nor God can'st wound. ",pmp18-l07925,/əʊnd/ | /aʊnd/,half-pararhyme,a<b>a</b><b>a</b>,pers00314,pmp18-w0270
groaned,When the proud land its destin'd Conqueror own'd,o5157-l05490,"Abash'd, confounded, stern Iberia groan'd,",o5157-l05480,/əʊnd/ | /əʊnd/,full,<b>a</b>b<b>a</b>b,pers00038,o5157-w0073
crowned,"A Poet now by all she's own'd,",o5247-l02005, And with immortal Honour crown'd. ,o5247-l02010,/əʊnd/ | /aʊnd/,half-pararhyme,<b>a</b><b>a</b>,pers00295,o5247-w0090
found, Such as the larger Cockles living own'd. ,pdi22-l02595," Till a commodious roomy Seat be found,",pdi22-l02590,/əʊnd/ | /aʊnd/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
ground, None knew what God the dubious Image own'd. ,pdi22-l12340,"Statues deform'd lay headless on the Ground,",pdi22-l12335,/əʊnd/ | /aʊnd/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
round,"That Paphos first her smiling presence own'd,",o4984-l18525, Which wide diffus'd its happy influence round. ,o4984-l18530,/əʊnd/ | /aʊnd/,half-pararhyme,<b>a</b><b>a</b>,pers00085,o4984-w0370
crowned,As he sung in such strains as the God might have own'd:,o5156-l18250,"And Dryden, whose brows by Apollo were crown'd,",o5156-l18245,/əʊnd/ | /aʊnd/,half-pararhyme,<b>a</b><b>a</b>,pers00027,o5156-w0600
found,"The fair perfections which his brother own'd,",bed98-l05705,With admiration soon Ascanius found;,bed98-l05710,/əʊnd/ | /aʊnd/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0150
frowned, A mute obedience own'd. ,o3462-l01175, Knights who no longer frown'd;,o3462-l01165,/əʊnd/ | /aʊnd/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00299,o3462-w0010
crowned,"Sage Edward piercing view'd, and own'd",o5153-l16930,The chief with genuine lustre crown'd:,o5153-l16935,/əʊnd/ | /aʊnd/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
around,"A Trident now is mine, which Ceyx own'd,",pdi12-l01070," Made of a Sword-fish, and emboss'd around:",pdi12-l01075,/əʊnd/ | /aʊnd/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi12-w0030
round,"Harpinus there an uncouth dwelling own'd,",cer72-l05050, Planted with yew and mournful cyprus round;,cer72-l05055,/əʊnd/ | /aʊnd/,half-pararhyme,<b>a</b><b>a</b>,pers00265,cer72-w0010
found," And yet the wisest of us all have own'd,",pjo50-l02285," If 'twas not there, 'twas no where to be found. ",pjo50-l02290,/əʊnd/ | /aʊnd/,half-pararhyme,<b>a</b><b>a</b>,pers00273,pjo50-w0030
ground,"Well to be sure, it must be own'd,",o5089-l07445, It is a charming spot of ground;,o5089-l07450,/əʊnd/ | /aʊnd/,half-pararhyme,<b>a</b><b>a</b>,pers00179,o5089-w0090
crowned,"All thy pernicious Tenets then I own'd,",oau90-l04450,"And Wit prophane with circling Bays I crown'd,",oau90-l04455,/əʊnd/ | /aʊnd/,half-pararhyme,<b>a</b><b>a</b>,pers00350,oau90-w0090
frowned, Submissive all his Empire own'd;,o3552-l00835," No Star durst smile, when CAMPBELL frown'd. ",o3552-l00840,/əʊnd/ | /aʊnd/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o3552-w0010
dethroned, SCIENCE attends their call; their pow'r is own'd;,o3589-l01195," ORDER takes place, and GENIUS is dethron'd;",o3589-l01200,/əʊnd/ | /əʊnd/,full,<b>a</b><b>a</b>,pers00155,o3589-w0010
disenthrone, And by the Learn'd so many Ages own'd. ,pse03-l01550,"Tis bravely done, great Boyle has disenthron'd. ",pse03-l01540,/əʊnd/ | /əʊnd/,full,<b>a</b>a<b>a</b>,pers00272,pse03-w0030
crowned, And by the Learn'd so many Ages own'd. ,pse03-l01550,"The Goddess Nature, so unjustly Crown'd,",pse03-l01545,/əʊnd/ | /aʊnd/,half-pararhyme,a<b>a</b><b>a</b>,pers00272,pse03-w0030
burned,"But while Clarissa's Charms he own'd,",o5247-l00610, He with a secret Passion burn'd. ,o5247-l00615,/əʊnd/ | /ɜːnd/,half-pararhyme,<b>a</b><b>a</b>,pers00295,o5247-w0020
found,"A pious dame the mansion own'd,",o5156-l25625,"Led by the light, a cott he found:",o5156-l25620,/əʊnd/ | /aʊnd/,half-pararhyme,<b>a</b><b>a</b>,pers00045,o5156-w0730
sound,Through all the provinces of Learning own'd,o5155-l02175,"Yet, under names of venerable sound,",o5155-l02165,/əʊnd/ | /aʊnd/,half-pararhyme,<b>a</b>b<b>a</b>bbcbcc,pers00024,o5155-w0030
