r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
spare," Nor strive to move the unforgiving pair,",o4986-l17195,"Friendship her tender offices may spare,",o4986-l17190,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
care,Where fixed in wonder stood the warlike pair,tgaen-l00830,His course he turned and thus relieved their care:,tgaen-l00835,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00039,tgaen-wtrgl
there," Content with YOU to mak a pair,",cbu86-l06165,Whilst I — but I shall haud me there —,cbu86-l06145,/eə/ | /eə/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0080
where," Content with YOU to mak a pair,",cbu86-l06165, Wi' you I'll scarce gang ony where —,cbu86-l06150,/eə/ | /eə/,full,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0080
more," Content with YOU to mak a pair,",cbu86-l06165," Then Jamie, I shall say nae mair,",cbu86-l06155,/eə/ | /eə/,full,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0080
despair, And vow'd Destruction to the gentle Pair:,o5125-l19730," Grew wild with Love and desp'rate with Despair,",o5125-l19725,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
fair," And pour their curses on the bloody pair,",o5280-l02605, Who gave to early fate the regal fair. ,o5280-l02610,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00277,o5280-w0150
care, Would call us the conjugal pair. ,o4987-l11015, For she was my pride and my care;,o4987-l11005,/eə/ | /eə/,full,a<b>b</b>a<b>b</b>cdcd,pers00179,o4987-w0330
air,"WELCOME to light, advent'rous pair! ",o4984-l02895,Thrice welcome to the balmy air,o4984-l02900,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00218,o4984-w0030
are,"The Loves of ev'ry Turtle Pair,",oat77-l03315,Do we not see how perfect are,oat77-l03310,/eə/ | /ɑː/,half-pararhyme,<b>a</b><b>a</b>,pers00344,oat77-w0190
fear,"So parting, devious fled th'affrighted Pair;",o4741-l08340," Such was AVARO's, such AMANDA's Fear. ",o4741-l08345,/eə/ | /ɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0100
share,The radiant glories of the matchless pair?,o5156-l22385,"How vales resound, how crowds collected share",o5156-l22380,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00103,o5156-w0690
share, The strictest Friendship centers in a Pair. ,pdi22-l03705,Some with one Partner all their Blessings share;,pdi22-l03700,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
fair, Propitious Hymen joyns the constant Pair. ,pdi22-l04250,"No Change he seeks, nor leaves his dusky Fair;",pdi22-l04245,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
bear," And finish'd Time brings forth the Princely Pair,",pdi22-l05520,"When painful Throws, (for Twins the Dolphins bear)",pdi22-l05515,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
care," The Dolphins watch, and guard their Infant Pair,",pdi22-l06215,"Full of the tender Thought, with anxious Care",pdi22-l06210,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
heir," May all propitious guard the Royal Pair,",pdi22-l07250," Thee, Mighty Prince, and the World's growing Heir. ",pdi22-l07255,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
share,"Thus fed by mutual Aid, the friendly Pair",pdi22-l08405," Divide their Gains, and all the Plunder share. ",pdi22-l08410,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
heir," May all indulgent guard the Royal Pair,",pdi22-l12525," The World's great Monarch, and the blooming Heir. ",pdi22-l12530,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
there,"Next at our altar stood a luckless pair,",pcr18-l13415, Brought by strong passions and a warrant there;,pcr18-l13420,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
repair, All in a chaise and pair. ,o3795-l30910, And we will then repair,o3795-l30900,/eə/ | /eə/,full,x<b>a</b>x<b>a</b>,pers00269,o3795-w0090
compare," ''Tis when a youthful, loving, modest Pair,",cbu86-l10235,O heart-felt raptures! bliss beyond compare! ,cbu86-l10210,/eə/ | /eə/,full,a<b>b</b>abbc<b>b</b>cc,pers00307,cbu86-w0130
declare," ''Tis when a youthful, loving, modest Pair,",cbu86-l10235, And sage EXPERIENCE bids me this declare —,cbu86-l10220,/eə/ | /eə/,full,aba<b>b</b>bc<b>b</b>cc,pers00307,cbu86-w0130
spare," ''Tis when a youthful, loving, modest Pair,",cbu86-l10235," 'If Heaven a draught of heavenly pleasure spare,",cbu86-l10225,/eə/ | /eə/,full,abab<b>b</b>c<b>b</b>cc,pers00307,cbu86-w0130
care,"Since this a College Life, peace to that pair,",pma99-l07735," Who dying left me to a Guardian's care,",pma99-l07740,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00306,pma99-w0370
care,"Philander and Cleora, happy pair,",o5157-l15020,"Their breasts from guilt, their looks are free from care,",o5157-l15030,/eə/ | /eə/,full,<b>a</b>b<b>a</b>b,pers00132,o5157-w0140
air," When in the blooming Grove the first kind Pair,",pse03-l10015, With amorous Sighs fan'd the ambrosial Air:,pse03-l10020,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00272,pse03-w0460
despair," A helpless, disappointed pair,",pik94-l05645, Had now been victims of despair. ,pik94-l05650,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00327,pik94-w0280
care, And smiled delighted on the pair;,pik94-l05835," Yet still bestowed his guardian care,",pik94-l05830,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00327,pik94-w0280
care," Each folly of the humble pair,",pik94-l05950, These favor'd pigeons of his care;,pik94-l05955,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00327,pik94-w0280
share," ""Then I resolve the pigeon pair,",pik94-l06240,""" Shall still my kind protection share. "" ",pik94-l06245,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00327,pik94-w0280
care, Receiv'd the harmless pair. ,o5346-l04575, Requir'd a master's care;,o5346-l04565,/eə/ | /eə/,full,a<b>b</b>a<b>b</b>,pers00174,o5346-w0030
rare," To meet with such a well-match'd pair,",o3794-l32755,Belinda and her bird! 'tis rare,o3794-l32750,/eə/ | /eə/,full,<b>a</b><b>a</b>bccb,pers00270;pers00269,o3794-w0340
fair,Should some fair frail-one drive her prancing pair,pcr18-l07800, Where rival peers contend to please the fair;,pcr18-l07805,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0030
fair," Then, wed for life, the restless wrangling pair",pcr18-l08635," Forget how constant one, and one how fair:",pcr18-l08640,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0030
care, Receiv'd the harmless pair. ,o5089-l06590, Requir'd a master's care! ,o5089-l06580,/eə/ | /eə/,full,a<b>b</b>a<b>b</b>,pers00174,o5089-w0080
