r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
last, And now the bitterness of death is past. ,o4986-l17375, But all is o'er — these eyes have gaz'd their last —,o4986-l17370,/ɑːst/ | /ɑːst/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
last, Till all the Evening Sports are past;,o4784-l15465," When —— Oh, hold! that Tale will last,",o4784-l15460.2,/ɑːst/ | /ɑːst/,full,<b>a</b><b>a</b>,pers00268,o4784-w0460
last," ""Let the Grave join — Our vows are past —""",o4091-l25800, But it was dying Nature's last. —,o4091-l25810,/ɑːst/ | /ɑːst/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
last,"Till darkness be by dying past,",o5152-l18735,"Which, if we trim our lamps, will last,",o5152-l18730,/ɑːst/ | /ɑːst/,full,<b>a</b><b>a</b>,pers00101,o5152-w0230
chaste,"IN ancient times, some hundred winters past,",o5155-l36460,"When British dames, for conscience sake, were chaste,",o5155-l36465,/ɑːst/ | /eɪst/,half-pararhyme,<b>a</b><b>a</b>,pers00142,o5155-w0870
last,"With weari'd steps, o'er barren heaths he past,",bjl92-l04300," And in Bane's moss, alas! he lands at last. ",bjl92-l04305,/ɑːst/ | /ɑːst/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0150
haste, (Too soon the gay delusion past),o4984-l35775,"And see, with visionary haste,",o4984-l35770,/ɑːst/ | /eɪst/,half-pararhyme,<b>a</b><b>a</b>bccb,pers00226,o4984-w0660
waste,"Though rolling ages now are past,",bjb18-l04770, And altars low and temples waste;,bjb18-l04775,/ɑːst/ | /eɪst/,half-pararhyme,<b>a</b><b>a</b>bbcc,pers00287,bjb18-w0040
waste," And when the battle's broil is past,",bjb18-l05135,"When lightning ceases on the waste,",bjb18-l05130,/ɑːst/ | /eɪst/,half-pararhyme,<b>a</b><b>a</b>bbcc,pers00287,bjb18-w0040
last," Altho' my bloom of life be past,",pco62-l03785, I hope I shall reform at last. ,pco62-l03790,/ɑːst/ | /ɑːst/,full,<b>a</b><b>a</b>,pers00293,pco62-w0040
cast,"Yet will it be, as when the past",bah18-l02215, And o'er our minds one mantle cast,bah18-l02225,/ɑːst/ | /ɑːst/,full,<b>a</b>b<b>a</b>bcc,pers00281,bah18-w0120
last,"The four first acts already past,",o5157-l37720,Time's noblest offspring is the last.,o5157-l37730,/ɑːst/ | /ɑːst/,full,a<b>b</b>a<b>b</b>,pers00079,o5157-w0840
last," To think of all the pleasure past,",bsb18-l26225," For though such pleasure cannot last,",bsb18-l26235,/ɑːst/ | /ɑːst/,full,a<b>b</b>a<b>b</b>cc,pers00280,bsb18-w0510
haste, Where easily the undress'd Vulgar past:,o4784-l23790," To slender Crannies all repair'd in haste,",o4784-l23785,/ɑːst/ | /eɪst/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0830
last," Explor'd these scenes to weep for anguish past,",yfs88-l00705, Where the swell'd throbbing heart has burst at last. ,yfs88-l00710,/ɑːst/ | /ɑːst/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
last, And then one hour was gone and past. ,o4198-l03540," Eche tourney but one hour should last,",o4198-l03535,/ɑːst/ | /ɑːst/,full,aa<b>b</b><b>b</b>,pers00288,o4198-w0160
last,"Our Couple weep Two Wishes past,",pmp18-l13445," And kindly join to form the last,",pmp18-l13450,/ɑːst/ | /ɑːst/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0480
last, Each fond idea of the blessings past;,o4039-l06225," O, did their pleasing efficacy last! ",o4039-l06235,/ɑːst/ | /ɑːst/,full,a<b>b</b>a<b>b</b>,pers00289,o4039-w0220
waste," And, all these under-Regions past,",pmp18-l32045, She nestles somewhere near the Waste:,pmp18-l32050,/ɑːst/ | /eɪst/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
taste," The Soyls, thro' which it rose and past:",pmp18-l35295,In Water as You smell and tast,pmp18-l35290,/ɑːst/ | /eɪst/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
last,"Brave, active, undismay'd in all the past;",pjo50-l03290," Compos'd, intrepid, steady to the last. ",pjo50-l03295,/ɑːst/ | /ɑːst/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0040
last," Recal their scatter'd lustre as they past,",pjo50-l03650, And see them all united in the last. ,pjo50-l03655,/ɑːst/ | /ɑːst/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0040
last," When every joy of life is past,",bjb18-l31365, Our greatest comfort and our last. ,bjb18-l31370,/ɑːst/ | /ɑːst/,full,aa<b>b</b><b>b</b>ccdd,pers00287,bjb18-w0880
feast," Was now no more. Enjoyment past,",o5089-l34025, The savage hunger'd for the feast;,o5089-l34030,/ɑːst/ | /iːst/,half-pararhyme,<b>a</b><b>a</b>,pers00141,o5089-w0710
fast,Why dwells the soul on pleasures past? ,bsb18-l29270,"Those fleeting joys that fled so fast,",bsb18-l29280,/ɑːst/ | /ɑːst/,full,<b>a</b>b<b>a</b>bcdcd,pers00280,bsb18-w0660
fast,"The foaming Boar between 'em swiftly past,",o4741-l08350, The nimble Coursers urge the Chace as fast;,o4741-l08355,/ɑːst/ | /ɑːst/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
last," Of golden ages past,",bhw18-l09370, Seem'd realiz'd at last. ,bhw18-l09380,/ɑːst/ | /ɑːst/,full,a<b>b</b>a<b>b</b>,pers00276,bhw18-w0080
cast," And seem'd as if he mourn'd the past,",bhw18-l09835,"While round the chief his arms he cast,",bhw18-l09825,/ɑːst/ | /ɑːst/,full,<b>a</b>b<b>a</b>b,pers00276,bhw18-w0080
last, When all the flowers of spring are past;,bhw18-l18015," Its firm fidelity shall last,",bhw18-l18010,/ɑːst/ | /ɑːst/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0410
last,"Each moment will improve upon the past,",o4198-l00780, And every day be better than the last. ,o4198-l00785,/ɑːst/ | /ɑːst/,full,<b>a</b><b>a</b>,pers00288,o4198-w0070
last,When the first heat sees all our vigour past;,o5156-l22560,"We neither write, nor act, what long can last,",o5156-l22555,/ɑːst/ | /ɑːst/,full,<b>a</b><b>a</b>,pers00103,o5156-w0690
blast," A burning desert undismay'd he past,",bhw18-l03745, And meets the ardors of the fiery blast. ,bhw18-l03750,/ɑːst/ | /ɑːst/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
