r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
bloom, Her breath is your perfume. ,pma99-l00630," Your tints with Chloe's bloom,",pma99-l00620,/ɜːfjuːm/ | /uːm/,half-vowelrhyme,x<b>a</b>x<b>a</b>,pers00306,pma99-w0030
bloom, We lend you colour and perfume. ,ojg27-l11090,In ev'ry love-song roses bloom;,ojg27-l11085,/ɜːfjuːm/ | /uːm/,half-vowelrhyme,<b>a</b><b>a</b>,pers00303,ojg27-w0460
room, A fine puss-gentleman that's all perfume;,o3794-l22145,"I cannot talk with civet in the room,",o3794-l22140,/ɜːfjuːm/ | /uːm/,half-vowelrhyme,<b>a</b><b>a</b>,pers00269,o3794-w0070
tomb, Embalmed for ever in its own perfume:,o3794-l23885," Their fragrant mem'ry will out last their tomb,",o3794-l23880,/ɜːfjuːm/ | /uːm/,half-vowelrhyme,<b>a</b><b>a</b>,pers00269,o3794-w0070
bloom," Whose lips exhale Arabia's soft perfume,",o4985-l09835,"Say ye, whose features youthful lustre bloom,",o4985-l09830,/ɜːfjuːm/ | /uːm/,half-vowelrhyme,<b>a</b><b>a</b>,pers00232,o4985-w0150
gloom,"Yes here, even here, they breathe perfume,",pmt18-l20725," Though walls of melancholy gloom,",pmt18-l20730,/ɜːfjuːm/ | /uːm/,half-vowelrhyme,<b>a</b><b>a</b>,pers00320,pmt18-w0340
bloom," Fresh bleeding myrrh and cassia shed perfume,",o4985-l21025," Ananas swell with sweets, and wild pomegranates bloom,",o4985-l21030,/ɜːfjuːm/ | /uːm/,half-vowelrhyme,ababcdcd<b>e</b><b>e</b>,pers00058,o4985-w0300
bloom, And calls around her every rich perfume. ,o4987-l13615," While Spring sits smiling in her brightest bloom,",o4987-l13610,/ɜːfjuːm/ | /uːm/,half-vowelrhyme,<b>a</b><b>a</b>,pers00250,o4987-w0390
bloom,"""And the wood-bines give up their perfume. """,o5155-l39265,"""Then the rose is depriv'd of its bloom;",o5155-l39255,/ɜːfjuːm/ | /uːm/,half-vowelrhyme,a<b>b</b>a<b>b</b>cdcd,pers00035,o5155-w0950
drawing-room,The atmosphere will oft perfume,o5154-l15710,Of a whole spacious drawing-room.,o5154-l15715,/ɜːfjuːm/ | /ɔːɪŋrʊm/,half-pararhyme,<b>a</b><b>a</b>,pers00112,o5154-w0230
doom, There (A safe way to use Perfume),psw11-l00060, Here (lovely Nymph pronounce my doom),psw11-l00055,/ɜːfjuːm/ | /uːm/,half-vowelrhyme,<b>a</b><b>a</b>,pers00148,psw11-w0010
bloom, And humid Balsams ever shed perfume;,bhw18-l01170," The Orange, and the rich Ananas bloom,",bhw18-l01165,/ɜːfjuːm/ | /uːm/,half-vowelrhyme,<b>a</b><b>a</b>,pers00276,bhw18-w0020
bloom," Crop the sweet herb, and snuff the rich perfume;",o4984-l29650," (The air all mildness, and the earth all bloom)",o4984-l29640,/ɜːfjuːm/ | /uːm/,half-vowelrhyme,a<b>b</b>a<b>b</b>,pers00250,o4984-w0510
