r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
muse, With equal gravity peruse,pjo50-l03965, The dictates of the Parson's Muse. ,pjo50-l03970,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0070
lose,"When tender virgins shall your page peruse,",o5280-l02615, Their tear-dimm'd eyes will all their lustre lose;,o5280-l02620,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00277,o5280-w0150
muse," O Madam, deign with candour to peruse",bjl92-l07670," A rustic lay, presented by the Muse. ",bjl92-l07675,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0300
news,"Curious each pamphlet I peruse,",o5156-l28915,And sip my coffee o'er the news.,o5156-l28920,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00134,o5156-w0800
jews," His lady's worth, his daughter's we peruse,",pcr18-l12500, And find his grandsons all as rich as Jews:,pcr18-l12505,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
muse,"In vain I oft harmonious lines peruse,",o5154-l15980,And seek for aid from POPE'S and PRIOR'S Muse;,o5154-l15985,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00112,o5154-w0240
news," Those who ne'er deign'd their Bible to peruse,",pcr18-l07430, Would think it hard to be denied their News;,pcr18-l07435,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0030
views,"While She her Mother's Letter did peruse,",pco62-l05785," Her lovely face, he with attention views:",pco62-l05790,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00293,pco62-w0090
muse, With her the Labours of the Wise peruse;,pmc36-l01180," Hither, ye Nymphs, attend the leading Muse,",pmc36-l01175,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00325,pmc36-w0010
news," Or Post-boy, or Gazette peruse,",ojg27-l09890,So have I seen a man of news,ojg27-l09885,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0420
use,"SIR, I your letter did peruse;",bjl92-l12460," So elegant the style you use,",bjl92-l12465,/uːz/ | /uːz/,full,<b>a</b><b>a</b>abab,pers00338,bjl92-w0520
muse,"SIR, I your letter did peruse;",bjl92-l12460," Abash'd, confounded I did muse",bjl92-l12470,/uːz/ | /uːz/,full,<b>a</b>a<b>a</b>bab,pers00338,bjl92-w0520
diffuse,"SIR, I your letter did peruse;",bjl92-l12460, Great wit and learning you diffuse,bjl92-l12480,/uːz/ | /uːz/,full,<b>a</b>aab<b>a</b>b,pers00338,bjl92-w0520
views, Who Cheny's records for Rapin peruse. ,o4984-l25625," Unskill'd in Albion's past and present views,",o4984-l25620,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00053,o4984-w0450
views,This is a sight for pity to peruse,o3794-l26750," 'Till she resemble faintly what she views,",o3794-l26755,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0080
muse,"And if some lucky thought, while you peruse,",bjl92-l00285," In gratitude she'll thank th' indulgent Muse,",bjl92-l00295,/uːz/ | /uːz/,full,<b>a</b>b<b>a</b>b,pers00338,bjl92-w0020
muse," May safely every page peruse,",o5089-l22400, Nor be offended with the Muse;,o5089-l22405,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00161,o5089-w0470
muse,"Still with It self compar'd, his Text peruse;",o3675-l00655, And let your Comment be the Mantuan Muse. ,o3675-l00660,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00012,o3675-w0010
shoes,"In the next place, his feet peruse,",o5346-l05830, Wings grow again from both his shoes,o5346-l05835,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00174,o5346-w0050
muse,Nor will we thanklessly peruse,bjb18-l12250," The beauties of his native muse,",bjb18-l12255,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0230
muse,So long the brighest eye shall oft peruse,o5154-l20015,The useful lines of my instructive Muse;,o5154-l20020,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00112,o5154-w0300
