r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
eye,Or faintly shone thro' vain philosophy.,o5152-l25610,"Too long had truth escap'd each sage's eye,",o5152-l25605,/ɒsəfi/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00032,o5152-w0290
die, A Papist in Philosophy? ,pmp18-l37090," And, for your Friendship, live and dye",pmp18-l37085,/ɒsəfi/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
i," Quoth Dick, with Your Philosophy —",pmp18-l39000,"Tir'd with these Thoughts — Less tir'd than I,",pmp18-l38995,/ɒsəfi/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
deny,The useful practice of Philosophy:,o5153-l04845,"Nor think, my Lord, that Courts to you deny",o5153-l04840,/ɒsəfi/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00030,o5153-w0080
see, Are the best Precepts of Philosophy! ,pba35-l02660,"Yet, ah! how vain to guard the Soul, we see,",pba35-l02655,/ɒsəfi/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00087,pba35-w0150
agree, And call it science and philosophy. ,pcr18-l12005,"T' admire their friend's discourse our swains agree,",pcr18-l12000,/ɒsəfi/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00275,pcr18-w0040
thee," Thou would'st have baffled his Philosophy,",pse03-l10535,"If Socrates could have made choise of thee,",pse03-l10530,/ɒsəfi/ | /iː/,half-pararhyme,<b>a</b><b>a</b>a,pers00272,pse03-w0480
lunacy," Thou would'st have baffled his Philosophy,",pse03-l10535, And turn'd his Patience to a Lunacy. ,pse03-l10540,/ɒsəfi/ | /uːnəsi/,half-pararhyme,a<b>a</b><b>a</b>,pers00272,pse03-w0480
free,"Whose goddess is Philosophy,",o5156-l18630,"A temple from vain glories free,",o5156-l18625,/ɒsəfi/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00101,o5156-w0640
poetry,"To scraps of dry philosophy,",o5157-l35075,Wean'd from the sweets of poetry,o5157-l35070,/ɒsəfi/ | /əʊətri/,half-pararhyme,<b>a</b><b>a</b>,pers00115,o5157-w0720
cry," 'Tis here, divine Philosophy,",o4985-l36990,"These, these are joys alone, I cry;",o4985-l36985,/ɒsəfi/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>bccb,pers00038,o4985-w0580
by,"In vain, alas! wou'd weak Philosophy",oac95-l00815, Prescribe us Rules to Govern Passions by:,oac95-l00820,/ɒsəfi/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00333,oac95-w0010
sky,Borne on the wings of vain philosophy;,o5152-l22640,"Yet think not to regain thy native sky,",o5152-l22635,/ɒsəfi/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00073,o5152-w0260
apply, The sacred Truths of sound Philosophy,ppo24-l07860," We study early, but we late apply. ",ppo24-l07865,/ɒsəfi/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00257,ppo24-w0080
supply, Ev'n Av'rice Prudence; Sloth Philosophy;,o3676-l02330,"See Anger, Zeal and Fortitude supply;",o3676-l02325,/ɒsəfi/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00012,o3676-w0010
