r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
greece,"Whether she try some favour'd piece,",o5153-l23345,By rules devis'd in ancient Greece;,o5153-l23350,/iːs/ | /iːs/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
degrees, Give a sweet Foyl to all the Charming Piece;,o4672-l15035, And mingled Shades wrought in by soft Degrees,o4672-l15030,/iːs/ | /iːz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00292,o4672-w0680
greece," The Painter look'd, he sketch'd the piece,",ojg27-l04685," Then dipt his pencil, talk'd of Greece,",ojg27-l04690,/iːs/ | /iːs/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0190
increase,"Whilst to this Chiefest Figure of the Piece,",o4784-l06025," All that surround it, Heightnings do encrease:",o4784-l06030,/iːs/ | /ɪnkriːs/,half-vowelrhyme,<b>a</b><b>a</b>,pers00268,o4784-w0130
greece," To furnish out the matchless piece,",o5089-l10215, Were rifled half the toasts of GREECE. ,o5089-l10220,/iːs/ | /iːs/,full,<b>a</b><b>a</b>,pers00180,o5089-w0130
caprice,"Toil crush'd conceit, and man was of a piece;",o5155-l17080,"Thou who couldst laugh where want enchain'd caprice,",o5155-l17075,/iːs/ | /iːs/,full,<b>a</b><b>a</b>,pers00029,o5155-w0220
displease, To nicest Judgment show the Piece;,pmp18-l11970, At best 'twill only not displease:,pmp18-l11975,/iːs/ | /iːz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0470
greece, I mean to ope' my slender piece;,o3982-l04970," Not with the days of early Greece,",o3982-l04965,/iːs/ | /iːs/,full,<b>a</b><b>a</b>,pers00274,o3982-w0020
greece," And, as our Stage is of a Piece",pba35-l03015," With that transmitted down from Greece,",pba35-l03020,/iːs/ | /iːs/,full,<b>a</b><b>a</b>,pers00087,pba35-w0190
increase," And e're she would compleat the Beauteous Piece,",pse03-l10335," With utmost Care did every Charm encrease,",pse03-l10330,/iːs/ | /ɪnkriːs/,half-vowelrhyme,<b>a</b><b>a</b>,pers00272,pse03-w0470
niece,She might have prov'd a hopeful piece,oau90-l12440,Had she not chanc'd to be thy Neice;,oau90-l12445,/iːs/ | /iːs/,full,<b>a</b><b>a</b>,pers00350,oau90-w0430
greece,"While Wilson sketches out the piece,",o4987-l02085," We'll talk, to pass the time, of Greece;",o4987-l02090,/iːs/ | /iːs/,full,<b>a</b><b>a</b>,pers00057,o4987-w0050
greece, To spoil the well-proportion'd Piece:,pmp18-l28065," E'er Gothic Forms were known in Greece,",pmp18-l28060,/iːs/ | /iːs/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1000
greece, To see our Venus: 'tis the Piece,pmp18-l28230," The most renown'd throughout all Greece,",pmp18-l28235,/iːs/ | /iːs/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1000
greece,Apelles view'd the finish'd Piece;,pmp18-l28460," And Live, said He, the Arts of Greece! ",pmp18-l28465,/iːs/ | /iːs/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1000
greece, The happy master mingled on his piece,n27tc-l03395, Each look that charm'd him in the fair of Greece;,n27tc-l03400,/iːs/ | /iːs/,full,<b>a</b><b>a</b>,pers00316,n27tc-w0010
greece," And, having wrought them into one grand piece,",o3589-l01175," Swear it surpasses ROME, and rivals GREECE. ",o3589-l01180,/iːs/ | /iːs/,full,<b>a</b><b>a</b>,pers00155,o3589-w0010
increase," I may take a small Flight, as a fugitive Piece. —",o3364-l01045," At least, when he chooses his Book to encrease,",o3364-l01040,/iːs/ | /ɪnkriːs/,half-vowelrhyme,<b>a</b><b>a</b>,pers00205,o3364-w0010
increase,Beneath her hands the length'ning piece,o5156-l25810,Surpriz'd her with a vast increase;,o5156-l25815,/iːs/ | /ɪnkriːs/,half-vowelrhyme,<b>a</b><b>a</b>,pers00045,o5156-w0730
deface, The Stoick's Image in this Piece:,pmp18-l00875, 'Tis He whose Fury shall deface,pmp18-l00870,/iːs/ | /eɪs/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0030
greece,"To draw true Beauty was the hardest piece,",oau90-l06005,"A Pelles told the Painters fam'd in Greece,",oau90-l06000,/iːs/ | /iːs/,full,<b>a</b><b>a</b>bbcdcd,pers00350,oau90-w0150
niece,"This beautiful piece,",o5156-l15730,"Alas, is my niece;",o5156-l15735,/iːs/ | /iːs/,full,xa<b>b</b><b>b</b>a,pers00027,o5156-w0550
