r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
man," Though all unequal, has its plan. ",o4091-l24510," The stricken Mind of freeborn Man,",o4091-l24500,/æn/ | /æn/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
man," On her first plan,",cbu86-l05380," She s wrote, the Man. ",cbu86-l05390,/æn/ | /æn/,full,aaa<b>b</b>a<b>b</b>,pers00307,cbu86-w0080
can,"Trace not the fair domestick plan,",o5153-l22945,"From what you wou'd, but what you can!",o5153-l22950,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
man, 'Twas theirs alone to dive into the plan,o3794-l11160," That truth and mercy had reveal'd to man,",o3794-l11165,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
man, Snuffs up the praise of what he seems to plan;,o3794-l11570, That while laborious and quick-thoughted man,o3794-l11565,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
man,"Yours is the task — and glorious is the plan,",o5154-l10500,"To build the Free, the Sensible, Good Man.",o5154-l10505,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
can,"Your hope to please him, vain on ev'ry plan,",o3794-l22430, Himself should work that wonder if he can —,o3794-l22435,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
man," Starts not aside from her Creator's plan,",o3794-l22985,"No — nature unsophisticate by man,",o3794-l22980,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
man,"May much success attend the pious plan,",o3794-l24910," May Mercury once more embellish man,",o3794-l24915,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
man,"M—SS—P, attach'd to military plan,",o4600-l02775, Still kept his eye fix'd on his right-hand man:,o4600-l02780,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
man,"Nor less he pleas'd, when, on some surly plan,",o4600-l03265," He was, at once, the Actor and the Man. ",o4600-l03270,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
man,"IN fancied scenes, as in life's real plan,",o4600-l03305," He could not, for a moment, sink the Man. ",o4600-l03310,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
man,"IF Bunglers, form'd on Imitation's plan,",o4600-l03615, Just in the way that Monkies mimic Man;,o4600-l03620,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
fan," And ZEPHYR, to compleat the love-sick plan,",o4110-l00135," Waves his light wings, and serves her for a fan. ",o4110-l00140,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
clan," Where, undisturb'd by Art's rebellious plan,",o4110-l00545," She rules the loyal Laird, and faithful clan. ",o4110-l00550,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
man,"All Creatures, which, on nature's earliest plan,",o4110-l01575," Were form'd to loath, and to be loath'd by man,",o4110-l01580,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
scan, The politicians plan? ,bjl92-l08575, Shall I attempt to scan? ,bjl92-l08565,/æn/ | /æn/,full,a<b>b</b>a<b>b</b>,pers00338,bjl92-w0330
man, Against our senses we adopt the plan,pye85-l05110,"Implicit Faith, all hail! Imperial man",pye85-l05100,/æn/ | /æn/,full,<b>a</b>b<b>a</b>b,pers00256,pye85-w0140
man," Woven with pains into his plan,",o3794-l30325,WEAK and irresolute is man;,o3794-l30315,/æn/ | /æn/,full,<b>a</b>b<b>a</b>b,pers00269,o3794-w0160
man," Not one, who dares to act on such a plan. ",o3585-l00440," Thro' all that space You shall not view one man,",o3585-l00435,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
man, Which brings such mighty aid to Virtue's plan;,o3585-l00530," Those wounds, which humbled all that pride of Man,",o3585-l00525,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
man," Full ripe He falls, on Nature's noblest plan,",o3585-l01955," Who lives to Reason, and who dies a Man. ",o3585-l01960,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
one,"' And trust, the UNIVERSAL PLAN",cbu86-l07960,"'To give my counsels all in one,",cbu86-l07940,/æn/ | /ʌn/,half-pararhyme,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0100
fan,"' And trust, the UNIVERSAL PLAN",cbu86-l07960, 'Thy tuneful flame still careful fan;,cbu86-l07945,/æn/ | /æn/,full,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0100
man,"' And trust, the UNIVERSAL PLAN",cbu86-l07960,"' Preserve the dignity of Man,",cbu86-l07950,/æn/ | /æn/,full,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0100
man,"Old statesmen would reverse your plan,",o5089-l16840," Sink, in the minister, the man,",o5089-l16845,/æn/ | /æn/,full,aab<b>c</b><b>c</b>b,pers00098,o5089-w0290
began,"Undamp'd by horror at the daring plan,",n27tc-l05185,Or hands to finish what thy wrath began? ,n27tc-l05195,/æn/ | /æn/,full,a<b>b</b>a<b>b</b>,pers00316,n27tc-w0030
man," Who, blest with LIBERTY, reveres her plan,",o3587-l00200," Never shall One, One truly honest man,",o3587-l00195,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
man," And whilst She teaches on vile int'rest's plan,",o3587-l00425," As Laws of God, the wild decrees of man,",o3587-l00430,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
began," Stretch'd all his sail, nor thought of pause or plan:",pcr18-l10215,"Thus thought the youth, and soon the chase began,",pcr18-l10210,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
man," Some vain conceit disturbs her sober plan,",o4986-l08450," And ART debauches that strange creature, man:",o4986-l08455,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00236,o4986-w0180
man,"Yet reason, while it forms the subtile plan,",o5157-l11190,"Must deem it vain for that poor pilgrim, man,",o5157-l11200,/æn/ | /æn/,full,<b>a</b>b<b>a</b>b,pers00088,o5157-w0100
man,In each unerring plan;,bed98-l21265,Upon the mind of man.,bed98-l21275,/æn/ | /æn/,full,a<b>b</b>a<b>b</b>,pers00340,bed98-w0730
man,"By fine degrees extending still the plan,",bed98-l05375,"To godlike reason, and imperial man,",bed98-l05380,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00340,bed98-w0150
man,"Worthy the scale he held in nature's plan,",bed98-l05605,"Approv'd by reason, and becoming man.",bed98-l05610,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00340,bed98-w0150
man,"Or how they shall define th' unerring plan,",bed98-l05975,Which honour draws for rectitude in man.,bed98-l05980,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00340,bed98-w0150
began," First, for a Temple, drew the glorious Plan;",o4741-l15465,There POORE the first auspicious Work began;,o4741-l15460,/æn/ | /æn/,full,<b>a</b><b>a</b>,pers00091,o4741-w0360
