r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
eased," Still was the Soul, and ev'ry Sense was pleas'd,",o5125-l19015, And the cool Heart from Care and Business eas'd:,o5125-l19020,/iːzd/ | /iːzd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
diseased," A poor dull creature, still with Nature pleas'd:",o4600-l03740," Nor stung with Envy, nor with Spleen diseas'd,",o4600-l03735,/iːzd/ | /iːzd/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
seized,"Or would have done, if Pug had pleas'd:",o5354-l00400,"His Eyes a silky Slumber seiz'd,",o5354-l00395,/iːzd/ | /iːzd/,full,<b>a</b><b>a</b>,pers00339,o5354-w0010
seized,"The list'ning multitude was pleas'd,",o5154-l27855,"Till by the soft oppression seiz'd,",o5154-l27865,/iːzd/ | /iːzd/,full,aa<b>b</b>c<b>b</b>cdd,pers00124,o5154-w0460
raised," A Parent's words instructed as they pleas'd,",pcm93-l08385, My mind example more than precept rais'd. ,pcm93-l08395,/iːzd/ | /eɪzd/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0170
squeezed," Stoops down with eager look and finds, well pleased,",bjb18-l12540," Such herbs, as in a chest or bible squeezed,",bjb18-l12545,/iːzd/ | /iːzd/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0240
teased," Half sad, half proud, half angry, and half pleased. ",bjb18-l21355," Fitful I gaze, with adverse humours teased,",bjb18-l21350,/iːzd/ | /iːzd/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0480
greased,The carriage bowls along and all are pleas'd,o3794-l06100," If Tom be sober, and the wheels well greas'd,",o3794-l06105,/iːzd/ | /iːst/,half-vowelrhyme,<b>a</b><b>a</b>,pers00269,o3794-w0020
seized," At the Surprize, alarm'd, disturb'd, and pleas'd. ",o4885-l03355, Straight with Convulsive Transports he was seiz'd,o4885-l03350,/iːzd/ | /iːzd/,full,<b>a</b><b>a</b>,pers00300,o4885-w0010
eased," She still in mournful numbers pleas'd,",o4984-l15180, With her the hapless exile eas'd,o4984-l15185,/iːzd/ | /iːzd/,full,aab<b>c</b><b>c</b>b,pers00227,o4984-w0230
seized," And, in the pilfer'd treasure pleased,",pcr18-l25195,"I saw the tempting food, and seized —",pcr18-l25185,/iːzd/ | /iːzd/,full,<b>a</b>b<b>a</b>b,pers00275,pcr18-w0080
seized,Ev'n with this Gust of Passion I am pleas'd;,o4784-l11620, For they're most Patient who the most are seiz'd. ,o4784-l11625,/iːzd/ | /iːzd/,full,<b>a</b><b>a</b>,pers00268,o4784-w0340
seized," At length the Kite the Eagle pleas'd,",pik94-l06855, And swift the envied station seiz'd;,pik94-l06860,/iːzd/ | /iːzd/,full,<b>a</b><b>a</b>,pers00327,pik94-w0290
raised,"At such a Sight superior Beings pleas'd,",pba35-l15770, To higher Notes their Hallelujahs rais'd. ,pba35-l15775,/iːzd/ | /eɪzd/,half-pararhyme,<b>a</b><b>a</b>,pers00087,pba35-w1240
raised," He sees me unmolested, six'd, and pleas'd;",o4784-l07225,"Distrest by Foes, which I've against him rais'd,",o4784-l07220,/iːzd/ | /eɪzd/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0150
increased, Justice submitted to what Abra pleas'd:,pmp18-l46520,"Still Abra's Pow'r, my Scandal still increas'd;",pmp18-l46515,/iːzd/ | /iːst/,half-vowelrhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1110
ceased," And always weary'd, I was never pleas'd. ",pmp18-l47415,"By its own Force destroy'd, Fruition ceas'd;",pmp18-l47410,/iːzd/ | /iːst/,half-vowelrhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1110
seized," And, as he read, seem'd highly pleas'd;",pba35-l00900,Her fav'rite Son the Volume seiz'd;,pba35-l00895,/iːzd/ | /iːzd/,full,<b>a</b><b>a</b>,pers00087,pba35-w0050
teased," While all were with her Musick pleas'd,",o3452-l00175, But she who had the Charmer teaz'd;,o3452-l00180,/iːzd/ | /iːzd/,full,<b>a</b><b>a</b>,pers00329,o3452-w0010
increased, And none but Strephon partial Delia pleas'd. ,ppo24-l05930,"For my aversion with their Flames increas'd,",ppo24-l05925,/iːzd/ | /iːst/,half-vowelrhyme,<b>a</b><b>a</b>,pers00257,ppo24-w0050
