r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
tries,"Vile THEODORE each crafty engine plies,",cac95-l08265, To prove her guilty false expedients tries. ,cac95-l08270,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
rise," Her bitter Anguish. He, still singing, plies",sap09-l02810, His limber Joints: her Sorrows higher rise. ,sap09-l02815,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00302,sap09-w0050
rise,"His task secure the miner plies,",o4984-l03195, Nor hears Tartarian tempests rise;,o4984-l03200,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00218,o4984-w0030
flies, The smacking lash he smartly plies;,ojg27-l10830,"The Huntsman to the clamour flies,",ojg27-l10825,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0450
skies, And her lip-labour'd orisons she plies,o4984-l08020, Or evening skirts with gold the western skies;,o4984-l08030,/aɪz/ | /aɪz/,full,ababc<b>d</b>c<b>d</b>ee,pers00050,o4984-w0090
denies,"Like them the Preke his supple Members plies,",pdi22-l09285, But less indulgent Fate Success denies. ,pdi22-l09290,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
flies," But where the Foot around its Ankle plies,",o4106-l06670," Troxartes wounds, and Physignathus flies,",o4106-l06675,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
flies,"With godlike strength, the grinning Twitcher plies,",o4039-l04320, His stretching muscles and the mountain flies. ,o4039-l04325,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00288,o4039-w0180
dies," Spreads all his canvass, ev'ry sinew plies,",o3794-l07055," Pants for it, aims at it, enters it, and dies. ",o3794-l07060,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0030
lies, Not in the Shape in which He plies,pmp18-l11450, At Miss's Elbow when She lies;,pmp18-l11455,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0450
flies," And ev'ry joint and sinew plys,",ojg27-l11410," From head to foot how swift he flies,",ojg27-l11405,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0480
rise,"Beneath, as each merged wheel its motion plies,",bjb18-l20770," On either side the white-churned waters rise,",bjb18-l20775,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0480
vies," Or, while her hand the curious needle plies,",pmt18-l02895," Responsive now with their soft voice she vies,",pmt18-l02905,/aɪz/ | /aɪz/,full,abab<b>c</b>d<b>c</b>dd,pers00320,pmt18-w0020
rise," His lifted finger to his ear he plies,",o5398-l05335, And the view halloo bids a chorus rise,o5398-l05340,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00278,o5398-w0010
surprise,From morn to eve the woman plies,o5156-l25885,"In such a dream with such surprize,",o5156-l25880,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00045,o5156-w0730
