r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
show it, Prove every Fool to be a Poet. ,pmp18-l19655, By Demonstration Ned can show it:,pmp18-l19645,/əʊɪt/ | /əʊɪtʃəʊɪt/,half-vowelrhyme,a<b>b</b>a<b>b</b>,pers00314,pmp18-w0670
it,A Grecian constable took up the poet;,o5089-l15225,"""A libel this — I'll make the mummer know it. """,o5089-l15220,/əʊɪt/ | /ɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00172,o5089-w0230
it, That their wandering cousin is turn'd out a poet;,pma99-l09585,"For surely 'tis right my relations should know it,",pma99-l09580,/əʊɪt/ | /ɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00306,pma99-w0510
it,"Was both philosopher, and poet,",o5157-l35285,Homer indeed (for critics shew it),o5157-l35280,/əʊɪt/ | /ɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00115,o5157-w0720
it,Ends both the spider and the poet.,o5157-l36185,Perhaps our deaths may better shew it;,o5157-l36175,/əʊɪt/ | /ɪt/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00115,o5157-w0780
it, That my new Mistress is a Poet;,o5125-l10855," For Oh, I guess — nay more I know it,",o5125-l10850,/əʊɪt/ | /ɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00154,o5125-w0300
it,"Was it a Muse, O lofty Poet,",pmp18-l05755,"Some Folks are drunk, yet do not know it:",pmp18-l05745,/əʊɪt/ | /ɪt/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00314,pmp18-w0220
no-wit,Than a noisy nonsensical half-witted poet.,o5154-l24100,"And let me be rather but honest with no-wit,",o5154-l24095,/əʊɪt/ | /ɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00092,o5154-w0370
it," Is both a Herald and a Poet,",psw11-l00485,V— (for 'tis fit the Reader know it),psw11-l00480,/əʊɪt/ | /ɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00148,psw11-w0040
it," ""I sent you to Latin, he makes you a Poet:",pba35-l05220,"""He uses me ill, and the World shall know it;",pba35-l05215,/əʊɪt/ | /ɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00087,pba35-w0360
it," But the gods, who will never abandon a poet,",o5089-l30805," As oft has been said, condescended to show it,",o5089-l30810,/əʊɪt/ | /ɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00033,o5089-w0660
know it,"A wicked imp they call a poet,",tgaen-l06285,(By this time all the parish know it),tgaen-l06275,/əʊɪt/ | /əʊɪt/,full,a<b>b</b>a<b>b</b>,pers00039,tgaen-wlost
show it,'Speak to a commoner and poet! ',tgaen-l06765,'Her air and all her manners show it.,tgaen-l06755,/əʊɪt/ | /əʊɪt/,full,a<b>b</b>a<b>b</b>,pers00039,tgaen-wlost
it," Himself is, out of doubt, a poet. ",o4899-l02275," And, tho' before he did not know it,",o4899-l02270,/əʊɪt/ | /ɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00330,o4899-w0010
it,For a prophet is often a poet.,o5156-l15715,"We know you have wit if you'd shew it,",o5156-l15700,/əʊɪt/ | /ɪt/,half-pararhyme,x<b>a</b>bb<b>a</b>,pers00027,o5156-w0550
it," Believe me in earnest, though acting the poet,",bjl92-l07950," My break feels the smart, and mine actions do shew it. ",bjl92-l07955,/əʊɪt/ | /ɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00338,bjl92-w0310
