r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
endure," To ease the Sighing of the Poor,",pba35-l00645,Yet I this Torture must endure;,pba35-l00635,/ɔː/ | /ʊə/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00087,pba35-w0040
door, Whose Birth was humble and whose Fortune poor;,o5125-l05580,"See the puff'd Tradesman strut before his Door,",o5125-l05575,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0180
door," Oppression labouring hard to grind the poor,",o3794-l10185," Adult'ry neighing at his neighbour's door,",o3794-l10180,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
more,"Or think that heaven so bankrupt or so poor,",oae86-l02020, But that each body has one soul or more. ,oae86-l02025,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
power,"An ear, for ever open to the poor,",pro75-l01705,"A breast, that's guided by no idle power;",pro75-l01710,/ɔː/ | /aʊə/,half-pararhyme,<b>a</b><b>a</b>,pers00271,pro75-w0070
more, That none may wonder when they find me poor. ,o5125-l03440,"You see I'm learned, and I shew't the more,",o5125-l03435,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0120
over,Sucks in the sacred grease at ev'ry pore:,o5154-l09300,"The Priest some blessed nothings mutters o'er,",o5154-l09295,/ɔː/ | /ɔːə/,half-vowelrhyme,<b>a</b><b>a</b>,pers00042,o5154-w0140
door," Welcomes the friend, relieves the poor;",o4984-l04480," Opens the hospitable door,",o4984-l04475,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00218,o4984-w0030
store,"I could demonstrate every Pore,",pmp18-l36915, Where Mem'ry lays up all her Store;,pmp18-l36920,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
obscure,The short and simple annals of the poor.,o5155-l00160,"Their homely joys, and destiny obscure;",o5155-l00150,/ɔː/ | /ʊə/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00039,o5155-w0010
bore,They ne'er o'er Homer's thund'ring verses pore;,o5280-l06815, And Tully's self they deem an arrant bore. ,o5280-l06820,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00277,o5280-w0390
