r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
breast, Her outstretch'd hands together press'd;,o4091-l25740," Sunk, — ne'er to rise, — on Helen's breast. ",o4091-l25750,/est/ | /est/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
rest," By filial grief, and fond remembrance prest,",n22cs-l06335," You'll seek the spot, where all my sorrows rest;",n22cs-l06340,/est/ | /est/,full,<b>a</b><b>a</b>,pers00290,n22cs-w0670
breast," Griev'd for his Friend he with the foremost press'd,",o5125-l20885, And all their Lances glitter round his Breast:,o5125-l20890,/est/ | /est/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
breast," Some raise the drooping Head, and others press'd",o5125-l21435, Their careful Arms around his manly Breast;,o5125-l21440,/est/ | /est/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
addressed," Pervade his soul; her graceful hand he press'd,",cac95-l06425," And, with consent, the feeble sire address'd,",cac95-l06430,/est/ | /est/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
blessed," How her hand to my bosom I prest,",o4987-l11025, And I thought none was ever so blest. ,o4987-l11035,/est/ | /est/,full,ababc<b>d</b>c<b>d</b>,pers00179,o4987-w0330
distressed,"By mercers, lacemen, mantua-makers press'd,",o5154-l20715,"But most for ready cash for play distress'd,",o5154-l20720,/est/ | /est/,full,<b>a</b><b>a</b>,pers00112,o5154-w0320
blessed,"His clay-cold hand with fervency she press'd,",pcm93-l00605," ""Say, dost thou love like me, like me art blest? ",pcm93-l00615,/est/ | /est/,full,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0010
breast,"Sweet Amelia, now is prest",o5157-l06210,With double transport to her breast.,o5157-l06215,/est/ | /est/,full,<b>a</b><b>a</b>,pers00038,o5157-w0080
rest,"The Muses also thither press'd,",oau90-l09910,"And mine, methought, amongst the rest;",oau90-l09915,/est/ | /est/,full,<b>a</b><b>a</b>,pers00350,oau90-w0320
breast," A broken knife he prest,",bjb18-l25125, Was that in the corse's breast. ,bjb18-l25135,/est/ | /est/,full,x<b>a</b>x<b>a</b>,pers00287,bjb18-w0550
breast, And to thy mangled bosom fondly prest. ,bmb97-l01285, I sheath'd my weapon in thy noble breast,bmb97-l01275,/est/ | /est/,full,a<b>b</b>a<b>b</b>,pers00315,bmb97-w0020
breast," Meanwhile a howling Wolf, with Hunger prest,",o4741-l09820," Leap'd on the Wretch, and seiz'd him by the Breast;",o4741-l09825,/est/ | /est/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
breast, For he the warrior prest,bhw18-l09930, Close to his throbbing breast. ,bhw18-l09940,/est/ | /est/,full,a<b>b</b>a<b>b</b>,pers00276,bhw18-w0080
breast," The steel he firmly prest,",bhw18-l10210, Her lover to her breast. ,bhw18-l10220,/est/ | /est/,full,a<b>b</b>a<b>b</b>,pers00276,bhw18-w0080
rest, Then to his bosom prest,bhw18-l10510, And sunk to endless rest. ,bhw18-l10520,/est/ | /est/,full,a<b>b</b>a<b>b</b>,pers00276,bhw18-w0080
blessed," Where, to maternal Friendship's bosom prest,",n22cs-l03640,"FAREWELL, ye lawns! by fond Remembrance blest,",n22cs-l03630,/est/ | /est/,full,<b>a</b>b<b>a</b>bbcbcdedeff,pers00290,n22cs-w0500
breast," There aged ZORAI his ALZIRA prest,",bhw18-l01465," With love parental, to his anxious breast;",bhw18-l01470,/est/ | /est/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
breast," Firmly her lifted hand the weapon prest,",bhw18-l02345, And deep she plung'd it in her panting breast! ,bhw18-l02350,/est/ | /est/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
breast," To his cold lip LAS CASAS' hand he prest,",bhw18-l03065, He faintly clasp'd his ZILIA to his breast;,bhw18-l03070,/est/ | /est/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
breast, But first with fondness to his heart he prest,bhw18-l03535," The tender CORA, partner of his breast,",bhw18-l03540,/est/ | /est/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
dressed,"Strephon with change of Habits press'd,",o4784-l11030," His Love alone the Other dress'd,",o4784-l11040,/est/ | /est/,full,<b>a</b>b<b>a</b>ab,pers00268,o4784-w0310
best,"Strephon with change of Habits press'd,",o4784-l11030," As Verse, or Prose became it best,",o4784-l11045,/est/ | /est/,full,<b>a</b>ba<b>a</b>b,pers00268,o4784-w0310
breast, Thus stupid with her Grief she sat and prest,o5125-l15690, Her lily Hands across her pensive Breast;,o5125-l15695,/est/ | /est/,full,<b>a</b><b>a</b>,pers00154,o5125-w0400
possessed,Yet boldly through all Obstacles I prest.,oat77-l09555,Why therefore Shepheard are you not possest?,oat77-l09560,/est/ | /est/,full,<b>a</b><b>a</b>a,pers00344,oat77-w0670
brest,Yet boldly through all Obstacles I prest.,oat77-l09555,"Force not th' Unwilling secret from my Brest,",oat77-l09565,/est/ | /est/,full,<b>a</b>a<b>a</b>,pers00344,oat77-w0670
rest,""" That, when the sod upon the sinner press'd,",pcr18-l12700," ""He, like the saint, had everlasting rest;",pcr18-l12705,/est/ | /est/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
breast, Before the swains with bolder spirit press'd;,pcr18-l13660,"At length the youth ordain'd to move her breast,",pcr18-l13655,/est/ | /est/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
chest, Close on that case the crimson velvet's press'd;,pcr18-l17190," A case of elm surrounds that ponderous chest,",pcr18-l17185,/est/ | /est/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
chest," A glassy globe, in frame of ivory, press'd;",pcr18-l17570,"The polish'd surface of an India chest,",pcr18-l17565,/est/ | /est/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
distressed,Then the gay niece the seeming pauper press'd; —,pcr18-l19610," ""Turn, Nancy, turn, and view this form distress'd:",pcr18-l19615,/est/ | /est/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
addressed,"Approaching decent, eagerly she press'd",o5154-l00795,With freedom bland the wond'ring youth address'd;,o5154-l00805,/est/ | /est/,full,ababc<b>d</b>c<b>d</b>ee,pers00031,o5154-w0050
beast," So fiercely on her feeble body prest,",pmt18-l09185, Well known of yore and named the Blatant Beast;,pmt18-l09175,/est/ | /iːst/,half-pararhyme,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0023
brest,"Long she Resists; but strictly prest,",oat77-l01325,Resigns th' Arcanas of her Brest.,oat77-l01330,/est/ | /est/,full,abbacccdddee<b>f</b><b>f</b>ghghijji,pers00344,oat77-w0050
rest,"Love, justice, faith, humility they press'd,",o4154-l00520, Yet threaten'd no damnation to the rest. ,o4154-l00525,/est/ | /est/,full,<b>a</b><b>a</b>,pers00332,o4154-w0010
breast, 'Twas Edwin's self that prest. ,o5346-l05075, And clasp'd her to his breast:,o5346-l05065,/est/ | /est/,full,a<b>b</b>a<b>b</b>,pers00174,o5346-w0030
breast," She look'd, and sigh'd; his Lips she gently prest;",pdi12-l03950," Then murmuring fell, and slept upon his Breast;",pdi12-l03955,/est/ | /est/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0120
breast, 'Twas Edwin's self that prest. ,o5089-l07090, And clasp'd her to his breast:,o5089-l07080,/est/ | /est/,full,a<b>b</b>a<b>b</b>,pers00174,o5089-w0080
breast," His sanguine fork a murder'd pigeon prest,",o4039-l04170, His knife with deep incision sought the breast. ,o4039-l04175,/est/ | /est/,full,<b>a</b><b>a</b>,pers00288,o4039-w0180
rest," Indeed behold her to his bosom prest,",pmt18-l16205, Her spouse is promised in that bower of rest;,pmt18-l16195,/est/ | /est/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0025
breast, Led by her knight the golden sands she prest:,pmt18-l16285, And sighs proclaim his agitated breast,pmt18-l16295,/est/ | /est/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0025
dressed, In anxious silence to the portal prest;,pmt18-l08365, Though seen in death's tremendous colours drest:,pmt18-l08375,/est/ | /est/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0022
arrest," Urged by the impetuous youth the lion prest,",pmt18-l08590," Prepared his daring progress to arrest,",pmt18-l08600,/est/ | /est/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0022
crest,"With my little stopper prest,",o5153-l32635,"And thy pretty swelling crest,",o5153-l32630,/est/ | /est/,full,<b>a</b><b>a</b>,pers00083,o5153-w0600
blessed," And we, by pious fondness prest,",bao18-l03225,"They said, that here, for ever blest,",bao18-l03215,/est/ | /est/,full,<b>a</b>b<b>a</b>b,pers00279,bao18-w0080
blessed," My meagre form he fondly pressed,",bao18-l06865,"ONE little moment, short as blest,",bao18-l06855,/est/ | /est/,full,<b>a</b>b<b>a</b>b,pers00279,bao18-w0270
expressed,"Round as the winged orders prest,",o4985-l15620, Jove thus his sacred mind exprest:,o4985-l15625,/est/ | /est/,full,<b>a</b><b>a</b>,pers00032,o4985-w0250
guest,And Bon-vivant his hond in friendship press'd;,o5155-l15330,"""We entertake, quoth he, no vulgar guest.",o5155-l15340,/est/ | /est/,full,a<b>b</b>a<b>b</b>bcbcc,pers00033,o5155-w0200
