r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
friend,And now (for more I never must pretend),o5155-l08020,"Hear me not as thy lover, but thy friend;",o5155-l08025,/end/ | /end/,full,<b>a</b><b>a</b>,pers00102,o5155-w0080
end,"And by him they do sacred love pretend,",oae86-l00995," When as heaven knows, they have a baser end. ",oae86-l01000,/end/ | /end/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
end,"And by grave Councels they their good pretend,",oae86-l02240, When 'tis guilt poyson and oft works their end. ,oae86-l02245,/end/ | /end/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
friend," May, thro' kind policy, his death pretend,",pyl90-l00570, I'd fain believe some busy meddling friend,pyl90-l00565,/end/ | /end/,full,<b>a</b><b>a</b>,pers00322,pyl90-w0040
friend,If art with flatt'ring wiles pretend,o5156-l16085,"To shield me like a guardian friend,",o5156-l16090,/end/ | /end/,full,aab<b>c</b><b>c</b>b,pers00097;pers00044,o5156-w0570
friend,"Ned is a sober fellow, they pretend —",o5156-l34235,"Such wou'd I have my coachman, not my friend.",o5156-l34240,/end/ | /end/,full,<b>a</b><b>a</b>,pers00108,o5156-w1238
friend," Could I to both with equal claim pretend,",o3555-l03745," Yet far, far dearer were the name of FRIEND. ",o3555-l03750,/end/ | /end/,full,<b>a</b><b>a</b>,pers00149,o3555-w0070
end, To This mysteriously pretend;,o3900-l01730," Or slight the Means, or drop the End. ",o3900-l01740,/end/ | /end/,full,a<b>b</b>a<b>b</b>,pers00309,o3900-w0090
friend,"The human slips, or seeming slips pretend,",o5153-l27610,"That rouze the critick, but escape the friend;",o5153-l27615,/end/ | /end/,full,<b>a</b><b>a</b>,pers00038,o5153-w0480
friend,Which is the worst? didst thou in death pretend,bsb18-l09215," To scorn thy sister, or delude thy friend? ",bsb18-l09220,/end/ | /end/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0090
friend,"And shall the Muse with blameless boast pretend,",o4985-l15955, In Youth's gay bloom that Sappho call'd me friend:,o4985-l15960,/end/ | /end/,full,<b>a</b><b>a</b>,pers00032,o4985-w0260
mend,"Does she, poor silly thing, pretend",bjl92-l07060, The manners of our age to mend? ,bjl92-l07065,/end/ | /end/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0260
recommend," The Gospel-Rule defective you pretend,",pba35-l10670, When you the social Duties recommend;,pba35-l10675,/end/ | /end/,full,<b>a</b><b>a</b>,pers00087,pba35-w0860
friend,"Might then this fond ambitious verse pretend,",o4984-l05940," She taught the pupil, yet preserv'd the friend;",o4984-l05945,/end/ | /end/,full,<b>a</b><b>a</b>,pers00218,o4984-w0040
friend, Forgo your claim; no more pretend:,ojg27-l11555," Intemp'rance is esteem'd a friend,",ojg27-l11560,/end/ | /end/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0480
friend," To doubt the love his fav'rites may pretend,",o3794-l00845," And in reality to find no friend,",o3794-l00850,/end/ | /end/,full,<b>a</b><b>a</b>,pers00269,o3794-w0010
friend, You dare to no one art pretend. ,o4984-l07060," You say, (tho' every art your friend)",o4984-l07055,/end/ | /end/,full,<b>a</b><b>a</b>,pers00218,o4984-w0050
recommend,"Vain, idle attempt! to pretend",o5157-l18700,Does the rich solitaire recommend,o5157-l18710,/end/ | /end/,full,<b>a</b>b<b>a</b>bcdcd,pers00146,o5157-w0210
