r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
sway," To save from Bigotry its destin'd prey,",o4986-l16940, And shield three nations from tyrannick sway. ,o4986-l16945,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
delay, Insatiate Death watch'd for his prey;,o4091-l25960, 'T was only for a short delay. ,o4091-l25970,/eɪ/ | /eɪ/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
day, And sieze the prey,cbu86-l05830, They close the day. ,cbu86-l05840,/eɪ/ | /eɪ/,full,aaa<b>b</b>a<b>b</b>,pers00307,cbu86-w0080
day, The sultry lion rages for his prey. ,o4985-l27235, Safe let me hide me from the eye of day;,o4985-l27220,/eɪ/ | /eɪ/,full,a<b>b</b>ab<b>b</b>cbcc,pers00033,o4985-w0390
way, The sultry lion rages for his prey. ,o4985-l27235, As thro' the heavens he speeds his burning way:,o4985-l27230,/eɪ/ | /eɪ/,full,aba<b>b</b><b>b</b>cbcc,pers00033,o4985-w0390
ray, The sultry lion rages for his prey. ,o4985-l27235," Each flower, each shrub doth sink beneath thy ray,",o4985-l27245,/eɪ/ | /eɪ/,full,abab<b>b</b>c<b>b</b>cc,pers00033,o4985-w0390
gay,"The wily fox doth prowl abroad for prey,",o4985-l28005," And trusty Lightfoot, now no longer gay,",o4985-l28015,/eɪ/ | /eɪ/,full,ababb<b>c</b>b<b>c</b>c,pers00033,o4985-w0390
away,"The wily fox doth prowl abroad for prey,",o4985-l28005, Sleeps at the kitchen hearth his cheerless hours away. ,o4985-l28020,/eɪ/ | /eɪ/,full,ababb<b>c</b>bc<b>c</b>,pers00033,o4985-w0390
day," Where, to the savage herd, a harmless prey,",yfs88-l01765, Sinks faint beneath the fervid beam of day;,yfs88-l01770,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
essay," For of Calamity so long the prey,",n22cs-l03510, Nor will her fairy loom again essay,n22cs-l03520,/eɪ/ | /eseɪ/,half-vowelrhyme,abab<b>c</b>d<b>c</b>defefgg,pers00290,n22cs-w0480
away," Stronger than Hell, retrieve the Prey,",o3900-l10795,"Satan He thence shall chase away,",o3900-l10785,/eɪ/ | /eɪ/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
say," ""Am I to Death become an easy prey,""",bjl92-l04340," With quiv'ring lips methought he thus did say,",bjl92-l04345,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0150
away," To seek abroad for needful Prey,",o4784-l08960,"The Mother-Owl was prol'd away,",o4784-l08955,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>a,pers00268,o4784-w0200
play," To seek abroad for needful Prey,",o4784-l08960, And forth the Misses came to play. ,o4784-l08965,/eɪ/ | /eɪ/,full,a<b>a</b><b>a</b>,pers00268,o4784-w0200
away, And leave th' unguarded heart a prey,o4984-l35760,"Joys fly with every hour away,",o4984-l35755,/eɪ/ | /eɪ/,full,aab<b>c</b><b>c</b>b,pers00226,o4984-w0660
way, Then did design at last to make a Prey,oae86-l00430," And courted all the Females in your way,",oae86-l00425,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
