r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
love," My passion's force would meanly prove,",o4987-l28605, And claim'd no merit but my love. ,o4987-l28615,/uːv/ | /ʌv/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00189,o4987-w0790
love,"Must then each woman faithless prove,",o4987-l28700,Are vows no more! — Almighty Love! ,o4987-l28710,/uːv/ | /ʌv/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00189,o4987-w0790
love,"Glory be thine; and, let pale mis'ry prove",yfs88-l02335, The joys of friendship and the bliss of love;,yfs88-l02340,/uːv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00318,yfs88-w0020
love," Nor e'er cou'd Poetry successful prove,",o4784-l23330," Or touch the Soul, but when the Sense was Love. ",o4784-l23335,/uːv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0800
love, Soon the force of time shall prove;,o5280-l04255," Charms that light the blaze of love,",o5280-l04250,/uːv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00277,o5280-w0300
love, Mirth and pastime to me prove. ,o3555-l05335, I was born averse to love;,o3555-l05325,/uːv/ | /ʌv/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00149,o3555-w0150
love, Since they both did fickle prove;,o3555-l05365, And the shepherd of his love. ,o3555-l05375,/uːv/ | /ʌv/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00149,o3555-w0150
love, And — with a happier fate — resolve to prove,n22cs-l06355, How well you merited — your mother's love. ,n22cs-l06360,/uːv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00290,n22cs-w0670
love,"Sometimes on graver Matters prove,",oau90-l05615,"Sometimes she'd laugh and talk of Love,",oau90-l05610,/uːv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>bccb,pers00350,oau90-w0140
love," How happy should I prove,",ojg27-l11010, With never-fading love! ,ojg27-l11020,/uːv/ | /ʌv/,half-pararhyme,a<b>b</b>a<b>b</b>cc,pers00303,ojg27-w0460
love,One common fate we both must prove;,ojg27-l11055," You die with envy, I with love. ",ojg27-l11060,/uːv/ | /ʌv/,half-pararhyme,abab<b>c</b><b>c</b>,pers00303,ojg27-w0460
love," What nation will you find, whose annals prove",o3794-l10810, So rich an int'rest in almighty love? ,o3794-l10815,/uːv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0040
love," Then thou art bound to serve him, and to prove",o3794-l12785, Hour after hour thy gratitude and love. ,o3794-l12790,/uːv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0040
love,"There's thousands of examples that will prove,",oae86-l00850, Woman is alwayes Constant in chast Love. ,oae86-l00855,/uːv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00272,oae86-w0010
love,"Alas! how weak such artifice must prove,",pyl90-l00595, How little do they know the force of love;,pyl90-l00600,/uːv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00322,pyl90-w0040
love, Oh little did I think how soon to prove,pyl90-l00885, How near akin compassion is to love;,pyl90-l00890,/uːv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00322,pyl90-w0040
love,"While ev'ry look, and sorrowing feature prove,",o5157-l33520,"How soft her breast, how great her filial love.",o5157-l33525,/uːv/ | /ʌv/,half-pararhyme,aabccbdedeffgghhiikkllmmnnoppoqrqr<b>s</b><b>s</b>ttuuvvwwyyzz,pers00058,o5157-w0670
love, For sure that perjur'd Wretch can never prove,ppo24-l05550," Just to his Friend, who's faithless to his Love. ",ppo24-l05555,/uːv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00257,ppo24-w0040
love, But if it otherwise should prove,pco62-l03570," Set Money by and wed for love,",pco62-l03575,/uːv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00293,pco62-w0040
love,His instant enemy I prove; —,o5153-l05650,"Tell me, my Heart, if this be Love.",o5153-l05655,/uːv/ | /ʌv/,half-pararhyme,aa<b>b</b><b>b</b>,pers00030,o5153-w0100
love," Forego your nymph, your simile to prove:",peh89-l07595," O Damon, Damon, scorn the power of love;",peh89-l07590,/uːv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00324,peh89-w0110
