r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
sent," To try our Virtues, or for Punishment,",ppo24-l07485," Then, to whatever End Affliction's sent,",ppo24-l07480,/ʌnɪʃmənt/ | /ent/,half-pararhyme,<b>a</b><b>a</b>,pers00257,ppo24-w0070
sent, And be my guide and not my punishment! ,pcr18-l18925,"Still let me feel for what thy pangs are sent,",pcr18-l18920,/ʌnɪʃmənt/ | /ent/,half-pararhyme,<b>a</b><b>a</b>,pers00275,pcr18-w0040
meant,And benefits convert to punishment?,o5154-l23595,"If we make miseries, what were blessings meant,",o5154-l23590,/ʌnɪʃmənt/ | /ent/,half-pararhyme,<b>a</b><b>a</b>,pers00106,o5154-w0360
intent," Of that Parade was Fame, not Punishment,",o3591-l01520, The Pill'ry dare to name; the whole intent,o3591-l01515,/ʌnɪʃmənt/ | /ent/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o3591-w0010
intent,And to each crime adapt its punishment;,o5153-l20890,"Try ev'ry action by the known intent,",o5153-l20885,/ʌnɪʃmənt/ | /ent/,half-pararhyme,<b>a</b><b>a</b>,pers00119,o5153-w0330
repent, Then strives to think there is no Punishment:,pse03-l06715," Bold in his Crimes untill he can't repent,",pse03-l06710,/ʌnɪʃmənt/ | /ent/,half-pararhyme,<b>a</b><b>a</b>,pers00272,pse03-w0330
consent," If I'm refus'd, Death is the Punishment. ",o4885-l00865,But Love and Pleasure wait on kind Consent. ,o4885-l00870,/ʌnɪʃmənt/ | /ent/,half-pararhyme,<b>a</b><b>a</b>,pers00300,o4885-w0010
sent, To chear thee in thy Race of Punishment;,o4885-l08835," From thence, by Gracious Providence, I'm sent",o4885-l08830,/ʌnɪʃmənt/ | /ent/,half-pararhyme,<b>a</b><b>a</b>,pers00300,o4885-w0010
intent," Before their rank became their punishment,",o4002-l00200,"Believe it not — 'twas NATURE's first intent,",o4002-l00195,/ʌnɪʃmənt/ | /ent/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o4002-w0010
bent,""" And think to scape deserved Punishment. ",o3818-l05235,""" To pleasant Sin and joyous Dalliance bent;",o3818-l05225,/ʌnɪʃmənt/ | /ent/,half-pararhyme,a<b>b</b>a<b>b</b>bcbcc,pers00020,o3818-w0010
relent,""" And think to scape deserved Punishment. ",o3818-l05235," ""Justice were cruel weakly to relent;",o3818-l05240,/ʌnɪʃmənt/ | /ent/,half-pararhyme,aba<b>b</b><b>b</b>cbcc,pers00020,o3818-w0010
repent,""" And think to scape deserved Punishment. ",o3818-l05235," ""Grace be to Those who can, and will, repent;",o3818-l05250,/ʌnɪʃmənt/ | /ent/,half-pararhyme,aba<b>b</b>bc<b>b</b>cc,pers00020,o3818-w0010
president,"Doom'd to this kind of Punishment,",oau90-l12250,For giving an ill President;,oau90-l12255,/ʌnɪʃmənt/ | /ezɪdnt/,half-vowelrhyme,<b>a</b><b>a</b>,pers00350,oau90-w0430
spent,"Tho' strong th' example, weak the punishment.",o5154-l37900,Oft' on unfeeling hearts the shaft is spent:,o5154-l37895,/ʌnɪʃmənt/ | /ent/,half-pararhyme,<b>a</b><b>a</b>,pers00036,o5154-w0680
sent," At once their crime and punishment,",o3552-l01540," As those which were on EGYPT sent,",o3552-l01535,/ʌnɪʃmənt/ | /ent/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o3552-w0010
sent,Behold th' appointed punishment!,o5155-l22260,"At length the vengeful bolt is sent,",o5155-l22265,/ʌnɪʃmənt/ | /ent/,half-pararhyme,aab<b>c</b><b>c</b>b,pers00098,o5155-w0340
sent,From angry Venus for your punishment;,oau90-l02875,This black detested crawling thing was sent,oau90-l02870,/ʌnɪʃmənt/ | /ent/,half-pararhyme,<b>a</b><b>a</b>,pers00350,oau90-w0070
resent, Or wish'd Forgiveness their worst Punishment. ,ppo24-l06990," As if she thought it vulgar to resent,",ppo24-l06985,/ʌnɪʃmənt/ | /iːsent/,half-pararhyme,<b>a</b><b>a</b>,pers00257,ppo24-w0060
