r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
will," That fortune sends from many a quill,",bjb18-l20605, Receiving all with right good will,bjb18-l20600,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0470
hill, Implore the Muses for to guide his Quill. ,oae86-l01785,"For should he sleep under Parnassus Hill,",oae86-l01780,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
skill,"To you, dear T – I'll now resign the quill. "" ",bjl92-l13670, To paint does far exceed my Muse's skill. ,bjl92-l13665,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0560
skill,"Might well invite your charming quill,",o5156-l08000,"The power of learning, wit, and skill:",o5156-l08010,/ɪl/ | /ɪl/,full,a<b>b</b>a<b>b</b>,pers00037,o5156-w0320
still,To listen to the dictates of their quill.,o5153-l27940,And the grand business of the world stand still,o5153-l27935,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00038,o5153-w0480
skill,The random vengeance of his desp'rate quill?,o5153-l28010,"Embroil'd in factions, hurl with dreadful skill",o5153-l28005,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00038,o5153-w0480
hill," If ever music sooth'd thy quill,",o4987-l19220," To wander near this woodland hill,",o4987-l19215,/ɪl/ | /ɪl/,full,a<b>b</b><b>b</b>acc,pers00178,o4987-w0620
skill,"In vain I blunt my feckless quill,",bjl92-l10270,"The daisy too, you sing wi' skill;",bjl92-l10260,/ɪl/ | /ɪl/,full,<b>a</b>a<b>a</b>bab,pers00338,bjl92-w0430
gill,"In vain I blunt my feckless quill,",bjl92-l10270, An' weel ye praise the whiskey gill. ,bjl92-l10265,/ɪl/ | /ɪl/,full,a<b>a</b><b>a</b>bab,pers00338,bjl92-w0430
hill,"In vain I blunt my feckless quill,",bjl92-l10270," While echo sounds, frae ilka hill,",bjl92-l10280,/ɪl/ | /ɪl/,full,aa<b>a</b>b<b>a</b>b,pers00338,bjl92-w0430
skill,"""Surpass ought else of quaintest shepherd's quill.",o5154-l36115,"""My Hobbin's, or my Thenot's rustick skill",o5154-l36105,/ɪl/ | /ɪl/,full,a<b>b</b>a<b>b</b>cc,pers00051,o5154-w0670
will," Screen'd by such means, here Scandal whets her quill,",pcr18-l07280," Here Slander shoots unseen, whene'er she will;",pcr18-l07285,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0030
still, A milkmaid must tak up her quill;,bjl92-l06945,"But what is more surprising still,",bjl92-l06940,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0260
skill, Nor dare the critics blame his quill. ,bjl92-l07015," Of politics can talk wi' skill,",bjl92-l07010,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0260
still, Within the compass of a Quill. ,o5125-l10815, But that he wou'd confine me still,o5125-l10810,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00154,o5125-w0300
thrill,"O! SEIZE again thy golden quill,",o4739-l00995, And with its point my bosom thrill;,o4739-l01000,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00284,o4739-w0070
still,Yet then did Gildon draw his venal quill;,o3674-l00755," I wish'd the man a dinner, and sate still:",o3674-l00760,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00012,o3674-w0010
hill," Sate full-blown Bufo, puff'd by ev'ry quill;",o3674-l01160,"Proud, as Apollo on his forked hill,",o3674-l01155,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00012,o3674-w0010
still,May some choice Patron bless each gray goose quill! ,o3674-l01225,May ev'ry Bavius have his Bufo still! ,o3674-l01230,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00012,o3674-w0010
will," Let Budgel charge low Grubstreet on his quill,",o3674-l01835," And write whate'er he pleas'd, except his Will;",o3674-l01840,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00012,o3674-w0010
skill, He sure may dread the poison of her quill;,bjl92-l02330,"But if assisted by the Muse's skill,",bjl92-l02325,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0100
distil," Blood from each clotted hair, and horny quill,",o4671-l05455, And showers of tears in blended streams distil;,o4671-l05460,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
still, You take not from Nature your quill;,bsb18-l12420, And you talk of the cottage so still. ,bsb18-l12430,/ɪl/ | /ɪl/,full,a<b>b</b>a<b>b</b>,pers00280,bsb18-w0140
hill,"Perish those Slaves, those minions of the quill,",o4002-l00065, Who have conspir'd to seize that sacred hill,o4002-l00070,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00155,o4002-w0010
skill," The pencil's task, the needle, or the quill. ",o3555-l03885, Her ready fingers plied with equal skill,o3555-l03880,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00149,o3555-w0080
mandeville,"Th' envenom'd stream that flows from Toland's quill,",o5154-l34895,And the rank dregs of Hobbes and Mandeville.,o5154-l34900,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00036,o5154-w0650
skill,"TRUE Son of Phoebus, Heir t' his Tuneful Quill,",o4672-l13785," His murthering Arrows, and his healing Skill:",o4672-l13790,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00292,o4672-w0670
still,And Dulness wonders while she drops her quill.,o5154-l37645,"Hush'd at her voice, pert Folly's self is still,",o5154-l37640,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00036,o5154-w0680
skill,Well may they tremble when she draws her quill:,o5154-l37790,Well may they dread the Muse's fatal skill;,o5154-l37785,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00036,o5154-w0680
still, So I resolv't' employ my Loyal Quill. ,oar96-l01955,"'TWas nobly thought, and worthy — still;",oar96-l01950,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00265,oar96-w0130
hill," Could animate the quill,",o4198-l04785, Sing Betsy of the Hill. ,o4198-l04795,/ɪl/ | /ɪl/,full,a<b>b</b>a<b>b</b>,pers00288,o4198-w0230
skill," My Fingers guided on the tuneful Quill,",sap09-l01845, Yet Colinet (and Colinet has Skill),sap09-l01840,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00302,sap09-w0040
hill," And call'd the Brethren of the Quill,",o5125-l03705," To feast upon his tuneful Hill,",o5125-l03710,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00154,o5125-w0130
will,To various beasts and birds of sundry quill,o5155-l01870,"The yew obedient to the planter's will,",o5155-l01855,/ɪl/ | /ɪl/,full,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5155-w0030
skill,To various beasts and birds of sundry quill,o5155-l01870,"Ungently shorne, and with preposterous skill",o5155-l01865,/ɪl/ | /ɪl/,full,aba<b>b</b><b>b</b>cbcc,pers00024,o5155-w0030
hill,To various beasts and birds of sundry quill,o5155-l01870,"Huge as that giant-race, who, hill on hill",o5155-l01880,/ɪl/ | /ɪl/,full,abab<b>b</b>c<b>b</b>cc,pers00024,o5155-w0030
