r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
pranks,Thou comes — they rattle i' their ranks,cbu86-l01785,O Whisky! foul o' plays an' pranks! ,cbu86-l01765,/æŋks/ | /æŋks/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0020
thanks,Thou comes — they rattle i' their ranks,cbu86-l01785,Accept a Bardie's gratefu' thanks! ,cbu86-l01770,/æŋks/ | /æŋks/,full,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0020
cranks,Thou comes — they rattle i' their ranks,cbu86-l01785,"When wanting thee, what tuneless cranks",cbu86-l01775,/æŋks/ | /æŋks/,full,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0020
banks, To breathing lutes they tript in seemly ranks;,o4985-l21080," When erst, Ladona, by thy lillied banks,",o4985-l21060,/æŋks/ | /æŋks/,full,ababc<b>d</b>c<b>d</b>ee,pers00058,o4985-w0300
banks," Concert their Flight, and form their airy Ranks;",pdi22-l05205,"So prudent Cranes, from Egypt's slimy Banks,",pdi22-l05200,/æŋks/ | /æŋks/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
thanks,For ADORATION all the ranks,psm63-l01505," Of angels yield eternal thanks,",psm63-l01510,/æŋks/ | /æŋks/,full,<b>a</b><b>a</b>bccb,pers00254,psm63-w0010
banks,View the light Naiads trip in wanton ranks.,o5154-l13640,"In summer evenings on your willow'd banks,",o5154-l13630,/æŋks/ | /æŋks/,full,a<b>b</b>a<b>b</b>,pers00049,o5154-w0190
banks," Gather'd into social Ranks,",o4784-l03420," By the Willows, on the Banks,",o4784-l03415,/æŋks/ | /æŋks/,full,<b>a</b><b>a</b>,pers00268,o4784-w0080
banks,"Each had fought in war's grim ranks,",bjb18-l21400, And some on Jordan's sacred banks,bjb18-l21410,/æŋks/ | /æŋks/,full,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0490
pranks," If guards, mechanically form'd in ranks,",o3794-l00725," Playing, at beat of drum, their martial pranks;",o3794-l00730,/æŋks/ | /æŋks/,full,<b>a</b><b>a</b>,pers00269,o3794-w0010
thanks, Who in the heraldry of science ranks,bjb18-l21170, With those to whom men owe high meed of thanks,bjb18-l21175,/æŋks/ | /æŋks/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0480
banks,"Close all your spotted wings, in lucid ranks",o4671-l12145," Press with your bending knees the crowded banks,",o4671-l12150,/æŋks/ | /æŋks/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
banks," Where BRUCE ance rul'd the martial ranks,",cbu86-l08075,"Amang the bonie, winding banks,",cbu86-l08065,/æŋks/ | /æŋks/,full,<b>a</b>b<b>a</b>bcdcdx,pers00307,cbu86-w0110
thanks,"Men of all nations, of all creeds, all ranks,",bjb18-l10390," Will owe to thee an endless meed of thanks,",bjb18-l10395,/æŋks/ | /æŋks/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0170
