r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
appeared," An Altar in the midst was rear'd,",o4091-l25220," In sable, flowing robes appear'd. ",o4091-l25230,/ɪəd/ | /ɪəd/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
feared," And SELMO, proud of virtues he had rear'd,",cac95-l07325," Secure in them, no more the despot fear'd. ",cac95-l07330,/ɪəd/ | /ɪəd/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
appeared," Already on the baneful fagots rear'd,",cac95-l08555, With elevated soul the maid appear'd;,cac95-l08560,/ɪəd/ | /ɪəd/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
feared," ""Which impiously against your GOD you've rear'd,",cac95-l08730,""" Nor his high laws, nor burning vengeance fear'd. ",cac95-l08735,/ɪəd/ | /ɪəd/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
heard,When Pow'r her arm despotic rear'd,o5157-l27360,"'Twas here great Hampden's patriot voice was heard,",o5157-l27350,/ɪəd/ | /ɜːd/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00089,o5157-w0420
appeared," With lofty Plumage on their Foreheads rear'd,",o4784-l23760," Among the Rats some Officers appear'd,",o4784-l23755,/ɪəd/ | /ɪəd/,full,<b>a</b><b>a</b>,pers00268,o4784-w0830
feared,While private strife their banners rear'd.,o5157-l02445,And kings their stern atchievements fear'd;,o5157-l02440,/ɪəd/ | /ɪəd/,full,aa<b>b</b><b>b</b>ccdeed,pers00047,o5157-w0020
prepared," ""Or the firm pillars of the earth were rear'd;",o4985-l21330,""" To heavenly mansions, bright abodes, prepar'd",o4985-l21320,/ɪəd/ | /eəd/,half-pararhyme,ababc<b>d</b>c<b>d</b>ee,pers00058,o4985-w0300
feared, 'Twixt well and wo are thin partitions rear'd:,bjl92-l01420, Exulting o'er the ills so lately fear'd. ,bjl92-l01430,/ɪəd/ | /ɪəd/,full,a<b>b</b>a<b>b</b>,pers00338,bjl92-w0070
revered," Th' inviolable dame majestic rear'd,",o4985-l13805," By Terror guarded, and by kings rever'd:",o4985-l13815,/ɪəd/ | /ɪəd/,full,a<b>b</b>a<b>b</b>,pers00176,o4985-w0220
bard," Whose pious Care the decent Fabric rear'd,",o4741-l16630, Which kindly shelter'd the unworthy Bard;,o4741-l16635,/ɪəd/ | /ɑːd/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0360
adhered," But up against the Steeple rear'd,",psw11-l01730," Became a Clock, and still adher'd:",psw11-l01735,/ɪəd/ | /ɪəd/,full,<b>a</b><b>a</b>,pers00148,psw11-w0060
prepared, To shout him welcome to the Seat he rear'd! ,o4672-l14765,How did our Souls stand flatter'd and prepar'd,o4672-l14760,/ɪəd/ | /eəd/,half-pararhyme,<b>a</b><b>a</b>,pers00292,o4672-w0680
endeared, Beneath his wing a pigeon rear'd:,pik94-l05735,"This noble Hawk to most endear'd,",pik94-l05730,/ɪəd/ | /ɪəd/,full,<b>a</b><b>a</b>,pers00327,pik94-w0280
feared,To it's last Height mad Britain's Guilt was rear'd:,pmp18-l14230, And various Death for various Crimes She fear'd:,pmp18-l14235,/ɪəd/ | /ɪəd/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0540
