r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
write," These words, the last my dying lips recite,",o4987-l31925,"THESE, the last lines my trembling hands can write,",o4987-l31920,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00224,o4987-w0880
delight,"Our former dangers to recite,",o5153-l35280,"Why, CLOE, there's a fond delight",o5153-l35275,/aɪt/ | /aɪt/,full,aab<b>c</b><b>c</b>b,pers00147,o5153-w0690
fright,"Put stay, why shou'd I mournfully recite",oat77-l05360,"My Grievances, to Fright",oat77-l05365,/aɪt/ | /aɪt/,full,aaabbcc<b>d</b><b>d</b>effeghhg,pers00344,oat77-w0290
fright," When some dull Pedant wou'd her Wars recite,",o4784-l13855,"I'm sick of Troy, and in as great a Fright,",o4784-l13850,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>a,pers00268,o4784-w0410
fight," When some dull Pedant wou'd her Wars recite,",o4784-l13855," As was soft Paris, when compell'd to Fight. ",o4784-l13860,/aɪt/ | /aɪt/,full,a<b>a</b><b>a</b>,pers00268,o4784-w0410
light,"The Thoughts of Gods let Granville's Verse recite,",o3704-l02130, And bring the Scenes of opening Fate to Light. ,o3704-l02135,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00012,o3704-w0010
requite,"My master's favours, endless to recite,",cer72-l05500, When I with such ingratitude requite;,cer72-l05505,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
bright,The song it 'vails not to recite —,o5155-l36760,Those banks and streams appear'd more bright,o5155-l36770,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>bcc,pers00035,o5155-w0890
write,"Attend, and be yourself, while I recite",o5156-l13680,(Oh! that I only can of losses write!),o5156-l13685,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00086,o5156-w0520
indite," Let Us, beneath these spreading Trees, recite",pmp18-l03500, What from our Hearts our Muses may indite. ,pmp18-l03505,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00265,pmp18-w0150
tonight,Quickly their downfall they recite. ,ilc19-l00470," ""Oh dear! you must sleep here to-night,""",ilc19-l00475,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00215,ilc19-w0010
sight," If the King smiles, whilst I my Woe recite;",pmp18-l45005, If weeping I find Favour in His Sight;,pmp18-l45010,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>a,pers00314,pmp18-w1110
delight," If the King smiles, whilst I my Woe recite;",pmp18-l45005," Flow fast my Tears, full rising his Delight. ",pmp18-l45015,/aɪt/ | /aɪt/,full,<b>a</b>a<b>a</b>,pers00314,pmp18-w1110
delight,What Numbers can thy lovely Charms recite! ,o4741-l06215,O Solitude! the Sage's chief Delight! ,o4741-l06210,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00091,o4741-w0090
