r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
afford,Exalt; but be thyself what they record.,o5157-l05315,"Who dare excel, thy fost'ring aid afford;",o5157-l05305,/ekɔːd/ | /ɔːd/,half-vowelrhyme,a<b>b</b>a<b>b</b>,pers00038,o5157-w0072
sword, And deathless Honour all thy Acts record. ,oar96-l10130,"May New Successes wait upon thy Sword,",oar96-l10125,/ekɔːd/ | /ɔːd/,half-vowelrhyme,<b>a</b><b>a</b>,pers00265,oar96-w0510
sword,"And fell as martyrs on record,",o5152-l08785,"With slaught'ring arms, the gun and sword,",o5152-l08775,/ekɔːd/ | /ɔːd/,half-vowelrhyme,aabbbbccdcdedef<b>g</b>f<b>g</b>g,pers00007,o5152-w0100
restored,"And fell as martyrs on record,",o5152-l08785,"Of tyranny aveng'd, and liberty restor'd.",o5152-l08790,/ekɔːd/ | /ɔːd/,half-vowelrhyme,aabbbbccdcdedefgf<b>g</b><b>g</b>,pers00007,o5152-w0100
lord," There her soft vows unceasing love record,",o4671-l14285, Queen of the bright seraglio of her Lord. —,o4671-l14290,/ekɔːd/ | /ɔːd/,half-vowelrhyme,<b>a</b><b>a</b>,pers00337,o4671-w0020
word,On adamantine leaves record.,bed98-l12365,"And straight th' irrevocable word,",bed98-l12360,/ekɔːd/ | /ɜːd/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0360
lord,Wonders again they shall record;,bed98-l13495,"By you directed, mighty lord,",bed98-l13490,/ekɔːd/ | /ɔːd/,half-vowelrhyme,<b>a</b><b>a</b>,pers00340,bed98-w0360
lord,Wonders again they shall record.,bed98-l14605,"By you directed mighty Lord,",bed98-l14600,/ekɔːd/ | /ɔːd/,half-vowelrhyme,<b>a</b><b>a</b>,pers00340,bed98-w0360
lord," I've forg'd a tale, or alter'd a record;",o4002-l01060,"Nor think that here, in hatred to a Lord,",o4002-l01055,/ekɔːd/ | /ɔːd/,half-vowelrhyme,<b>a</b><b>a</b>,pers00155,o4002-w0010
restored,What page of human annals can record,o4179-l01315, A deed so bright as human rights restor'd? ,o4179-l01320,/ekɔːd/ | /ɔːd/,half-vowelrhyme,<b>a</b><b>a</b>,pers00274,o4179-w0010
lord," Say, shall I praise th' escutcheon's proud record,",o4985-l08510, When a lost Brutus sinks into a lord? ,o4985-l08515,/ekɔːd/ | /ɔːd/,half-vowelrhyme,<b>a</b><b>a</b>,pers00192,o4985-w0140
