r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
defect," To myself will my image reflect,",pmt18-l19055, Nor picture one absent defect. ,pmt18-l19065,/ekt/ | /iːfekt/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00320,pmt18-w0250
direct,"What River will her Smiles reflect,",o4784-l12790, Now that no Beams thou can'st direct? ,o4784-l12795,/ekt/ | /ekt/,full,<b>a</b><b>a</b>,pers00268,o4784-w0380
suspect,"Impartially if we Reflect,",oat77-l01450,"And yet 'tis fear'd, there's Reason to suspect",oat77-l01435,/ekt/ | /ʌspekt/,half-vowelrhyme,aabccbdeeffd<b>g</b>hh<b>g</b>iijjj,pers00344,oat77-w0050
decked, The image of thy genius can reflect? ,o4039-l01765, To shew thee in thy native glories deckt. ,o4039-l01775,/ekt/ | /ekt/,full,a<b>b</b>a<b>b</b>,pers00288,o4039-w0090
neglect,The bearer of the cup did now reflect,cer72-l07075," On his past danger, and his base neglect;",cer72-l07080,/ekt/ | /ekt/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
checked," If the great Mourner would reflect,",pmp18-l05475,Yet ought his Sorrow to be checkt;,pmp18-l05465,/ekt/ | /ekt/,full,<b>a</b>b<b>a</b>b,pers00314,pmp18-w0195
decked, Than Those which all His num'rous Crowns reflect:,pmp18-l15400," His Head with brighter Beams fair Virtue deck't,",pmp18-l15395,/ekt/ | /ekt/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0550
neglect,I on the patient Socrates reflect;,clc03-l06460,"When I am wrong'd, or treated with Neglect,",clc03-l06455,/ekt/ | /ekt/,full,<b>a</b><b>a</b>,pers00349,clc03-w0170
neglect,"And now one Moment able to reflect,",pmp18-l47650," I found the King abandon'd to Neglect,",pmp18-l47655,/ekt/ | /ekt/,full,<b>a</b><b>a</b>a,pers00314,pmp18-w1110
respect,"And now one Moment able to reflect,",pmp18-l47650," Seen without Awe, and serv'd without Respect. ",pmp18-l47660,/ekt/ | /ekt/,full,<b>a</b>a<b>a</b>,pers00314,pmp18-w1110
neglect," Deep by regret each happy scene reflect,",pcc86-l00275, For her my life all other joys neglect. ,pcc86-l00280,/ekt/ | /ekt/,full,<b>a</b><b>a</b>,pers00323,pcc86-w0040
respect, Especially when I reflect,o4899-l01865," On all the riches, and respect,",o4899-l01870,/ekt/ | /ekt/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
decked,And unctuous splendours from their robes reflect:,o5156-l34390,"In turgid pomp their strutting limbs are deck'd,",o5156-l34385,/ekt/ | /ekt/,full,<b>a</b><b>a</b>,pers00133,o5156-w0990
