r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
muse,"TO you who ne'er the willing Verse refuse,",o5125-l05485, Thus sings an humble but a grateful Muse:,o5125-l05490,/efjuːs/ | /uːz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00154,o5125-w0180
choose, God's better gift they scoff at and refuse. ,o3794-l12280," Denied that earthly opulence they chuse,",o3794-l12275,/efjuːs/ | /uːs/,half-vowelrhyme,<b>a</b><b>a</b>,pers00269,o3794-w0040
muse,"But since you carelessly refuse,",o5156-l08015,"O! let your Genius guide my Muse,",o5156-l08025,/efjuːs/ | /uːz/,half-vowelrhyme,<b>a</b>b<b>a</b>b,pers00037,o5156-w0320
views,"What mighty task will daring love refuse,",pcm93-l00405,Who in delusion's flattering mirror views,pcm93-l00415,/efjuːs/ | /uːz/,half-vowelrhyme,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0010
muse," By bounteous V—n, will she the line refuse? ",pye85-l02065," Say, will you scorn the poor unpolish'd Muse? ",pye85-l02075,/efjuːs/ | /uːz/,half-vowelrhyme,a<b>b</b>a<b>b</b>,pers00256,pye85-w0050
muse,"Before They're ask'd, can Maids refuse? ",pmp18-l31555,"Can — Pray, says Dick, hold in your Muse. ",pmp18-l31560,/efjuːs/ | /uːz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
amuse," See me the fond contention still refuse,",bao18-l04935,"While they by mirth, by wit, thine ear amuse,",bao18-l04925,/efjuːs/ | /uːz/,half-vowelrhyme,<b>a</b>b<b>a</b>b,pers00279,bao18-w0170
muse,Or can the Lyre its strains refuse,o5157-l06120,To the Patron of the Muse?,o5157-l06125,/efjuːs/ | /uːz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00038,o5157-w0080
muse,Nor the Lyre its strains refuse,o5157-l06350,To the Patron of the Muse.,o5157-l06355,/efjuːs/ | /uːz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00038,o5157-w0080
sues,"Who can the hardest Task refuse,",pba35-l02805, When lovely Lady Betty sues? ,pba35-l02810,/efjuːs/ | /uːz/,half-vowelrhyme,<b>a</b><b>a</b>bb,pers00087,pba35-w0160
muse,"May they protect the Nations, nor refuse",pdi22-l07260," To hear the Song, and aid th' aspiring Muse. ",pdi22-l07265,/efjuːs/ | /uːz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
ooze,"Till weary'd Arms their toilsome Work refuse,",pdi22-l08095," But faintly strike, and catch the yielding Ooze. ",pdi22-l08100,/efjuːs/ | /uːz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
embrues," Let go the tastless Prey, and vulgar Treats refuse. ",pdi22-l11485,He in crude Feasts his purpled Jaws embrues;,pdi22-l11475,/efjuːs/ | /uːz/,half-vowelrhyme,<b>a</b>a<b>a</b>,pers00266,pdi22-w0010
choose," Let go the tastless Prey, and vulgar Treats refuse. ",pdi22-l11485," From the mixt Heaps will noblest Captives chuse,",pdi22-l11480,/efjuːs/ | /uːs/,half-vowelrhyme,a<b>a</b><b>a</b>,pers00266,pdi22-w0010
views," The depths below, and Hope's fond strains refuse;",pye85-l06490," My shrieking soul deserted, sullen views",pye85-l06485,/efjuːs/ | /uːz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00256,pye85-w0170
accuse,Do's the false Nymph —The Wages you so dearly Earn'd refuse?,oat77-l09590.1,"My self I cannot, will not her Accuse.",oat77-l09595,/efjuːs/ | /uːz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00344,oat77-w0670
