r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
fate, Mix'd with its sweets the bitter of regret;,bah18-l03890,In sympathy we met; but sullen fate,bah18-l03885,/et/ | /eɪt/,half-pararhyme,<b>a</b><b>a</b>bb,pers00281,bah18-w0180
forget," From sad Reality and vain Regret,",n22cs-l03495, Sorrows that Sense refuses to forget:,n22cs-l03505,/et/ | /et/,full,a<b>b</b>a<b>b</b>cdcdefefgg,pers00290,n22cs-w0480
yet," Languid Despondency and vain Regret,",n22cs-l06235, Must my exhausted spirit struggle yet? ,n22cs-l06240,/et/ | /et/,full,<b>a</b><b>a</b>,pers00290,n22cs-w0670
met,"The envious shrub with some regret,",o5154-l31795,Saw all her friends in wedlock met;,o5154-l31800,/et/ | /et/,full,<b>a</b><b>a</b>,pers00108,o5154-w0570
eat, Dire Hunger! which We still regret:,pmp18-l30790,Ratts half the Manuscript have eat:,pmp18-l30785,/et/ | /iːt/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
yet, With long and vain regret;,o3555-l05510, I were thy captive yet. ,o3555-l05525,/et/ | /et/,full,aa<b>b</b>cc<b>b</b>,pers00149,o3555-w0160
late, And go without shame or regret. ,prc90-l03835," But soon she discover'd, too late,",prc90-l03825,/et/ | /eɪt/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00328,prc90-w0240
forget,"Nor gilded palaces in huts regret,",o5155-l08830,"Bless'd with thy presence, I could all forget,",o5155-l08825,/et/ | /et/,full,<b>a</b><b>a</b>,pers00106,o5155-w0100
forget,"That I should mourn thy loss with fond regret,",o5155-l10890,"Weep the misfortune, and the wrong forget?",o5155-l10895,/et/ | /et/,full,<b>a</b><b>a</b>,pers00106,o5155-w0130
counterfeit,"Their recollected vanity regret,",bed98-l06445,And view their wisdom as a counterfeit;,bed98-l06450,/et/ | /aʊntəfɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0150
fate,And draw our admiration and regret;,bed98-l06580,"Three figures pass it with a different fate,",bed98-l06575,/et/ | /eɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0150
seat,"Yet feel their neighbours' wants with kind regret,",o5157-l15125,But deal forth blessings round their happy seat.,o5157-l15135,/et/ | /iːt/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00132,o5157-w0140
met, Is clouded by anxious regret;,bao18-l00510," The father and son would have met!"" ",bao18-l00520,/et/ | /et/,full,x<b>a</b>x<b>a</b>,pers00279,bao18-w0010
elate, And leave the world without the least regret. ,prc90-l06015," I'd view my birth-day with a heart elate,",prc90-l06010,/et/ | /eɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00328,prc90-w0450
yet, Spare thy heart its long regret! ,bse96-l02085,"Daring HERVA, listen yet,",bse96-l02080,/et/ | /et/,full,<b>a</b><b>a</b>,pers00282,bse96-w0040
met,"Herva, less thy long regret",bse96-l02550, Had thy Chiefs in combat met,bse96-l02555,/et/ | /et/,full,<b>a</b><b>a</b>,pers00282,bse96-w0040
forget,"Come, see thy Friend, retir'd without Regret,",o5295-l00355,"Forgetting Care, or striving to forget;",o5295-l00360,/et/ | /et/,full,<b>a</b><b>a</b>,pers00339,o5295-w0010
debt," But, O! must feel it with Regret. ",pba35-l02350,"A grateful Heart will own the Debt,",pba35-l02345,/et/ | /et/,full,abab<b>c</b><b>c</b>,pers00087,pba35-w0120
forget," One pleasure lost, lose heav'n without regret;",o3794-l08740,"No — the voluptuaries, who ne'er forget",o3794-l08735,/et/ | /et/,full,<b>a</b><b>a</b>,pers00269,o3794-w0030
retreat,"Thus life rolls on, but not without regret;",o5154-l07020,"Whene'er at morning, in some cool retreat,",o5154-l07025,/et/ | /iːt/,half-pararhyme,<b>a</b><b>a</b>,pers00124,o5154-w0100
debt," Poets, of all men, ever least regret",o3794-l00930, Increasing taxes and the nation's debt. ,o3794-l00935,/et/ | /et/,full,<b>a</b><b>a</b>,pers00269,o3794-w0010
debt,"And mortgag'd states their grandsires wreaths regret,",o5155-l17735,From age to age in everlasting debt;,o5155-l17740,/et/ | /et/,full,<b>a</b><b>a</b>,pers00029,o5155-w0220
met," But think not I shall e'er regret,",bao18-l03880,"YES, thou art changed since first we met,",bao18-l03875,/et/ | /et/,full,<b>a</b><b>a</b>abcdcdcb,pers00279,bao18-w0110
forget," But think not I shall e'er regret,",bao18-l03880," Though never can my heart forget,",bao18-l03885,/et/ | /et/,full,a<b>a</b><b>a</b>bcdcdcb,pers00279,bao18-w0110
yet," One, and one only, charg'd with deep regret,",o3794-l05655," That thy worst part, thy principles live yet;",o3794-l05660,/et/ | /et/,full,<b>a</b><b>a</b>,pers00269,o3794-w0020
debt," And yet to both they pay without Regrett,",o4299-l02640," To this the Homage, and to that the Debt. ",o4299-l02645,/et/ | /et/,full,<b>a</b><b>a</b>,pers00346,o4299-w0010
fate, And thy soul sicken'd with regret,bah18-l01300,"Low hung the louring clouds of fate,",bah18-l01295,/et/ | /eɪt/,half-pararhyme,<b>a</b><b>a</b>bccb,pers00281,bah18-w0060
yet," Of terror and regret,",pmt18-l23295, Clings close and closer yet. ,pmt18-l23305,/et/ | /et/,full,ababc<b>d</b>c<b>d</b>,pers00320,pmt18-w0410
forget, And speak of her with fond regret,pmt18-l23420,"Oh! do not quite your friend forget,",pmt18-l23410,/et/ | /et/,full,abab<b>c</b>d<b>c</b>d,pers00320,pmt18-w0410
met, And part from each without regret,o4987-l29970, As pleas'd and happy as I met. ,o4987-l29975,/et/ | /et/,full,aabbcc<b>d</b><b>d</b>,pers00189,o4987-w0830
met,And if a tear that speaks regret,o3794-l33460, A glimpse of joy that we have met,o3794-l33470,/et/ | /et/,full,<b>a</b>b<b>a</b>b,pers00269,o3794-w0380
met, And part from each without regret,o5089-l21510, As pleas'd and happy as I met. ,o5089-l21515,/et/ | /et/,full,aabbcc<b>d</b><b>d</b>,pers00189,o5089-w0440
forget, And Prudence mention with the last Regret. ,pmp18-l43630," From Topics which Good-nature would forget,",pmp18-l43625,/et/ | /et/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1110
forget,"The sable warrior, frantic with regret",o3794-l18255," Of her he loves, and never can forget,",o3794-l18260,/et/ | /et/,full,<b>a</b><b>a</b>,pers00269,o3794-w0060
