r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
train,"And now they stretch, now bending loose the rein,",o5156-l22515,"But see! once more returns the rival train,",o5156-l22510,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>a,pers00103,o5156-w0690
vein,"And now they stretch, now bending loose the rein,",o5156-l22515,"And fears and hopes beat high in ev'ry vein,",o5156-l22520,/eɪn/ | /eɪn/,full,a<b>a</b><b>a</b>,pers00103,o5156-w0690
pain,"Where faney fires, and judgment holds the rein.",o5156-l22855,"We read with pleasure, imitate with pain,",o5156-l22850,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00103,o5156-w0690
grain,"' The threat'ning Storm, some, strongly, rein;",cbu86-l07525," 'When yellow waves the heavy grain,",cbu86-l07520,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0100
plain,"' The threat'ning Storm, some, strongly, rein;",cbu86-l07525," 'Some teach to meliorate the plain,",cbu86-l07530,/eɪn/ | /eɪn/,full,a<b>a</b><b>a</b>bab,pers00307,cbu86-w0100
shepherd-train,"' The threat'ning Storm, some, strongly, rein;",cbu86-l07525," 'And some instruct the Shepherd-train,",cbu86-l07540,/eɪn/ | /eɪn/,full,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0100
pain, At length he must obey the turning Rein. ,pdi22-l06955," Such headstrong Fury but augments his Pain,",pdi22-l06950,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
restrain,"Men too unwise let go the slacken'd Rein,",pdi22-l08735," But they who think will lewd Desires restrain,",pdi22-l08740,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
disdain, ALPHONSO now to fury gives the rein;,bhw18-l04510,"At length, to madness stung by fixed disdain,",bhw18-l04505,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
plain," When the chaf'd Steed tugs proudly at the rein,",o3587-l00965," And, 'ere he starts, hath run o'er half the plain,",o3587-l00970,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
train,Were the stern god to give his slaves the rein?,o5152-l30090,The childish faces of old Eol's train;,o5152-l30075,/eɪn/ | /eɪn/,full,a<b>b</b>ab<b>b</b>cbcc,pers00035,o5152-w0320
main,Were the stern god to give his slaves the rein?,o5152-l30090,"How then would fare or earth, or sky, or main,",o5152-l30085,/eɪn/ | /eɪn/,full,aba<b>b</b><b>b</b>cbcc,pers00035,o5152-w0320
maintain,Were the stern god to give his slaves the rein?,o5152-l30090,"And were not she her statutes to maintain,",o5152-l30100,/eɪn/ | /eɪn/,full,abab<b>b</b>c<b>b</b>cc,pers00035,o5152-w0320
plain,"'Tis powerful reason holds the streighten'd rein,",o5153-l27730,While flutt'ring fancy to the distant plain,o5153-l27735,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>a,pers00038,o5153-w0480
vain,"'Tis powerful reason holds the streighten'd rein,",o5153-l27730,"Sends a long look, and spreads her wings in vain.",o5153-l27740,/eɪn/ | /eɪn/,full,<b>a</b>a<b>a</b>,pers00038,o5153-w0480
strain,"With indignation warm'd, rejects the rein;",o5153-l28705,"Forgive me, Sir, that thus the moral strain,",o5153-l28700,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00038,o5153-w0480
vain, In spite of curb and rein. ,o3795-l31290," But John he cried in vain,",o3795-l31280,/eɪn/ | /eɪn/,full,x<b>a</b>x<b>a</b>,pers00269,o3795-w0090
amain, By catching at his rein. ,o3795-l31970," John coming back amain,",o3795-l31960,/eɪn/ | /eɪn/,full,x<b>a</b>x<b>a</b>,pers00269,o3795-w0090
gain,"But rather let my hand direct the rein,",o5154-l16200,And guide your steps a nobler prize to gain;,o5154-l16205,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00112,o5154-w0240
plain," Hews its broad way, as Vengeance guides the rein. ",o4987-l08595, The scattering legions pour along the plain! ,o4987-l08585,/eɪn/ | /eɪn/,full,a<b>b</b>a<b>b</b>,pers00207,o4987-w0260
chain," Though little used to bear the curb or rein,",pmt18-l07115," In his right hand he held the lion's chain,",pmt18-l07105,/eɪn/ | /eɪn/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0022
plain," Guide now the courser with a steady rein,",o4984-l04780, Ere yet he bounds o'er pleasure's flowery plain:,o4984-l04785,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00218,o4984-w0040
plain, Obedience to the rein:,pcm93-l04345, Extended on the plain! ,pcm93-l04355,/eɪn/ | /eɪn/,full,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0060
vain, This arm alone Light's fiery steeds can rein.,o5400-l00220,"Oh force, how impotent! oh boast, how vain!",o5400-l00225,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00345,o5400-w0010
vain,"My tongue within my lips I rein,",ojg27-l00285, For who talks much must talk in vain;,ojg27-l00290,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0010
plain," Or if, when ridden with a careless rein,",o3794-l01580," He break away, and seek the distant plain? ",o3794-l01585,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0010
again," And ""Reason takes once more the slacken'd Rein."" ",o3900-l02775,"Not so my Friend — he wakes, he breaths again,",o3900-l02770,/eɪn/ | /en/,half-pararhyme,<b>a</b><b>a</b>,pers00311,o3900-w0140
disdain," Unruly grow, and heedless of the Rein,",oar96-l04805," Its feeble Checks, and trembling Guide disdain;",oar96-l04810,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00265,oar96-w0200
restrain, And give to KIRWAN's hand the silken rein. ,o4671-l10760," With silver curb his yielding teeth restrain,",o4671-l10755,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
vain,Thou whose adamantine rein,o5156-l16880,Curbs the arrogant and vain.,o5156-l16885,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00045,o5156-w0580
disdain,"""Or teach the untam'd steed to feel the rein;",o5152-l21685,"""Haste to the field, Achilles, nor disdain",o5152-l21675,/eɪn/ | /eɪn/,full,<b>a</b>a<b>a</b>,pers00111,o5152-w0250
plain,"""Or teach the untam'd steed to feel the rein;",o5152-l21685,"""To chace the foaming monster o'er the plain,",o5152-l21680,/eɪn/ | /eɪn/,full,a<b>a</b><b>a</b>,pers00111,o5152-w0250
disdain, To see his brethren brook th' imperious rein;,o4984-l25675,"How would a virtuous Houhnhym neigh disdain,",o4984-l25670,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00053,o4984-w0450
again, And govern'd with a looser Rein. ,pmp18-l12185," In others She relax'd again,",pmp18-l12180,/eɪn/ | /en/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0470
again," 'Till he that rides the whirlwind, checks the rein,",o3794-l27940," Then, all the world of waters sleeps again. —",o3794-l27945,/eɪn/ | /en/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0080
main," Her playful Dolphins stretch the silken rein,",o4671-l14805," Hear her sweet voice, and glide along the main. ",o4671-l14810,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
vein," Impatient of a rein,",o4103-l01310,"Alas! thy slender vein,",o4103-l01300,/eɪn/ | /eɪn/,full,<b>a</b>a<b>a</b>,pers00254,o4103-w0060
feign," Impatient of a rein,",o4103-l01310," Nor mighty is to move, nor forgetive to feign,",o4103-l01305,/eɪn/ | /eɪn/,full,a<b>a</b><b>a</b>,pers00254,o4103-w0060
disdain,"My passions rise, and will not bear the rein:",o5152-l11500,"Fir'd by the sight, all reason I disdain,",o5152-l11495,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00001,o5152-w0110
attain, Let honesty your passions rein;,ojg27-l07260,"Would you true happiness attain,",ojg27-l07255,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0300
strain," Mad is despair, and scorns each feeble rein,",cac95-l13020,"WILD wing my notes, fierce passions urge the strain;",cac95-l13005,/eɪn/ | /eɪn/,full,<b>a</b>ba<b>a</b>bcdceed,pers00301,cac95-w0260
