r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
pains,"Yet still one care, one tender care remains;",o4986-l18590," My bounteous friend, relieve a father's pains! ",o4986-l18595,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
stains,"Here lie the loving Husband's dear remains,",cbu86-l18605,"O ye whose cheek the tear of pity stains,",cbu86-l18595,/eɪnz/ | /eɪnz/,full,<b>a</b>b<b>a</b>b,pers00307,cbu86-w0410
retains, The dreadful memory remains. ,o4987-l28735, The dear sad image still retains;,o4987-l28725,/eɪnz/ | /eɪnz/,full,a<b>b</b>a<b>b</b>,pers00189,o4987-w0790
pains," Surest hope for thee remains,",pmt18-l22580, Smile at all thy former pains;,pmt18-l22585,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00320,pmt18-w0370
dreams," Still at her Heart the sullen Doubt remains,",o5125-l19530, And put a Period to the golden Dreams:,o5125-l19535,/eɪnz/ | /iːmz/,half-pararhyme,<b>a</b><b>a</b>,pers00154,o5125-w0510
reins, Reality remains! ,o4984-l35780, And slackens still the reins. ,o4984-l35795,/eɪnz/ | /eɪnz/,full,aa<b>b</b>cc<b>b</b>,pers00226,o4984-w0660
strains,"Whate'er of Rome in mould'ring arcs remains,",o5157-l05285,"Or flows in polish'd verse, or airy strains,",o5157-l05295,/eɪnz/ | /eɪnz/,full,a<b>b</b>a<b>b</b>,pers00038,o5157-w0072
chains,The soft impression with me still remains;,bjl92-l13695," I'm captive, yet I glory in my chains. ",bjl92-l13700,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0560
chains," Deep in his heart the grateful sense remains,",pjo50-l07910," And when he thinks on him, forgets his chains. ",pjo50-l07915,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0280
pains,"Yet less our Grief, if what remains,",pmp18-l30805," Dear Jacob, by thy Care and Pains",pmp18-l30810,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
pains, To understand what yet remains. ,pmp18-l38340, That He can never take the Pains,pmp18-l38335,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
plains, Where closing earth enfolds her last remains;,o4985-l10305," Or rather lead my steps to distant plains,",o4985-l10300,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
pains,"Yet hold! some solace yet remains,",o4739-l07260, And pensive joys await my pains. ,o4739-l07265,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00284,o4739-w0240
plains,"And those paternal fields, the sole remains",o5157-l26950,"Of ample woods and far-extended plains,",o5157-l26955,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00070,o5157-w0410
plains,"Or innocence, or peace remains;",o5154-l15015,"Virtue no more in rural plains,",o5154-l15010,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00112,o5154-w0230
retains, Witness a murder'd lover's cold remains;,bhw18-l03150,"Witness, thou mangled form, that earth retains,",bhw18-l03145,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
pains," Where rests thy murder'd form, thy Lov'd remains? ",bhw18-l04730," ""Ah where, dear object of these piercing pains,",bhw18-l04725,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
reigns,"None of thy sails entire remains,",o5153-l33920,"The assaults of the surge that now triumphs and reigns,",o5153-l33915,/eɪnz/ | /eɪnz/,full,a<b>b</b><b>b</b>a,pers00083,o5153-w0640
retains," With unassuming manners, yet remains. ",bmb97-l03975," Since still your countenance its smile retains,",bmb97-l03965,/eɪnz/ | /eɪnz/,full,a<b>b</b>a<b>b</b>,pers00315,bmb97-w0080
