r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
bend, Nor ever wasting pangs the bosom rend;,bhw18-l20385,"And far from thee may sorrow's tempest bend,",bhw18-l20380,/end/ | /end/,full,<b>a</b><b>a</b>bb,pers00276,bhw18-w0530
friend," But cruel Death, whose Business is to rend",o5125-l19230," The pale-ey'd Matron from her weeping Friend,",o5125-l19235,/end/ | /end/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
friend,Draw hence me darts which my rack'd bosom rend! ,bmb97-l01360,"My dearest brother, and my tenderest friend,",bmb97-l01350,/end/ | /end/,full,<b>a</b>b<b>a</b>b,pers00315,bmb97-w0020
bend, The solid Marbles rend. ,o3900-l15405, And Earth's strong Pillars bend! ,o3900-l15395,/end/ | /end/,full,a<b>b</b>a<b>b</b>,pers00308,o3900-w0860
attend,Their gentle minds with jarring passions rend.,o5157-l15075,No discontent their peaceful hours attend;,o5157-l15065,/end/ | /end/,full,a<b>b</b>a<b>b</b>,pers00132,o5157-w0140
depend, The Heroes Tails with sev'ring Grasps they rend. ,o4106-l07095,"Now where the Jointures from their Loins depend,",o4106-l07090,/end/ | /end/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
send, Those hairs the Tartar's cruel hand shall rend. ,o5089-l02010,Those eyes in tears their fruitless grief must send;,o5089-l02005,/end/ | /end/,full,<b>a</b><b>a</b>,pers00048,o5089-w0020
defend," Lest rude and lawless hands should rend,",bjb18-l27055," ""Return, your stately keep defend;",bjb18-l27045,/end/ | /end/,full,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0650
bend,"He held them fast, that none them from his gripe mote rend.",o5153-l10365,"Yet to his lord he outwardly did bend,",o5153-l10350,/end/ | /end/,full,ababb<b>c</b>bc<b>c</b>,pers00024,o5153-w0310
end,"He held them fast, that none them from his gripe mote rend.",o5153-l10365,"Did seem to place, albeit by the end",o5153-l10360,/end/ | /end/,full,ababbcb<b>c</b><b>c</b>,pers00024,o5153-w0310
descend,"Now upward, to the Stars, a Path they rend,",oar96-l04955, Then down agen the frightful Steeps descend:,oar96-l04960,/end/ | /end/,full,<b>a</b><b>a</b>,pers00265,oar96-w0200
end,"Sometimes on spikes of steel my nerves they rend,",o5153-l36350,Sometimes asunder split from end to end;,o5153-l36355,/end/ | /end/,full,<b>a</b><b>a</b>,pers00123,o5153-w0730
friend," Those pangs, which soon or late the heart will rend,",pma99-l01135," Where thou art nourish'd as the gentlest friend,",pma99-l01140,/end/ | /end/,full,<b>a</b><b>a</b>,pers00306,pma99-w0050
send, Those hairs the Tartar's cruel hand shall rend. ,o4985-l01440, Those eyes in tears their fruitless grief must send;,o4985-l01435,/end/ | /end/,full,<b>a</b><b>a</b>,pers00048,o4985-w0010
suspend," The mountain shake, the howling forest rend;",bhw18-l07150, Nor for a wretch like me the storm suspend. ,bhw18-l07160,/end/ | /end/,full,a<b>b</b>a<b>b</b>,pers00276,bhw18-w0040
pretend," From JOVE the thunder-bolt to rend,",o3552-l02240,And Man as safely might pretend,o3552-l02235,/end/ | /end/,full,<b>a</b><b>a</b>,pers00155,o3552-w0010
descend,"But when fierce wintry Storms the Forrest rend,",pdi13-l00800," And rattling Hail, or fleecy Snows descend;",pdi13-l00805,/end/ | /end/,full,<b>a</b><b>a</b>,pers00266,pdi13-w0010
friend,"What grief their breasts must rend,",o5155-l22165,"The Husband, Father, Friend!",o5155-l22180,/end/ | /end/,full,aa<b>b</b>cc<b>b</b>,pers00098,o5155-w0340
end, The hallow'd veil of fate to rend;,bah18-l00340, And Fancy's inspirations end:,bah18-l00350,/end/ | /end/,full,a<b>b</b>a<b>b</b>cc,pers00281,bah18-w0010
send, While heavy sighs their tender bosoms rend! ,o5089-l05390,Why do the groves such lamentations send! ,o5089-l05380,/end/ | /end/,full,a<b>b</b>a<b>b</b>cdcdee,pers00186,o5089-w0070
defend," No feuds embroil, and no divisions rend! ",o4984-l28480," By justice 'stablish, and by arms defend;",o4984-l28475,/end/ | /end/,full,<b>a</b><b>a</b>,pers00241,o4984-w0500
bend,"Then, while the vaulted skies loud Ios rend,",tgaen-l02970,"In golden chains should loaded monarchs bend,",tgaen-l02975,/end/ | /end/,full,<b>a</b><b>a</b>,pers00039,tgaen-wimp2
offend,"The pointed steel shall oft' their stocking rend,",o5154-l17640,And oft' th' approaching petticoat offend.,o5154-l17645,/end/ | /end/,full,<b>a</b><b>a</b>,pers00112,o5154-w0300
extend," From this young Tree a Kernel might we rend,",o5125-l18870, There wou'd another its small Boughs extend. ,o5125-l18875,/end/ | /end/,full,<b>a</b><b>a</b>,pers00154,o5125-w0500
