r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
treat," They laugh, they sport, and homely jests repeat,",o4985-l27655," And them with jugs of ale his wife doth treat,",o4985-l27645,/iːt/ | /iːt/,full,ababb<b>c</b>b<b>c</b>c,pers00033,o4985-w0390
sweet," They laugh, they sport, and homely jests repeat,",o4985-l27655," Then smack their lasses lips, their lips as honey sweet. ",o4985-l27660,/iːt/ | /iːt/,full,ababbcb<b>c</b><b>c</b>,pers00033,o4985-w0390
great, And 'tis impossible I should repeat,oae86-l02445," The Crimes of men extravagantly great,",oae86-l02450,/iːt/ | /eɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00272,oae86-w0010
cheat," Yet memory shall their words repeat,",bsb18-l26210,"Yet part we must, — Hope, thou'rt a cheat",bsb18-l26200,/iːt/ | /iːt/,full,<b>a</b>b<b>a</b>b,pers00280,bsb18-w0510
seat, And often did repeat;,o4784-l02280, And jigg'd upon her Seat. ,o4784-l02295,/iːt/ | /iːt/,full,a<b>b</b>aa<b>b</b>,pers00268,o4784-w0050
conceit," Should I, my Friend, at large repeat",pmp18-l38645," Her borrow'd Sense, her fond Conceit;",pmp18-l38650,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
obsolete," And echo learns politely to repeat,",o3794-l24860," The praise of names for ages obsolete,",o3794-l24865,/iːt/ | /ɒbsliːt/,half-vowelrhyme,<b>a</b><b>a</b>,pers00269,o3794-w0070
seat, Shall his own works in his own way repeat. ,o4110-l00390," From the green umbrage of some DRUID's seat,",o4110-l00385,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
eat, With Pleasure the luxurious Toil repeat. ,pdi22-l01110,"Twice o'er their Food the wanton Scaro's eat,",pdi22-l01105,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
complete,"Males unconcern'd their pleasing Loves repeat,",pdi22-l03955, While anxious She's the ripen'd Birth compleat. ,pdi22-l03960,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
debt, Parts of like Form the vig'rous Joy repeat;,pdi22-l04835,"Dolphins like Men perform the nuptial Debt,",pdi22-l04830,/iːt/ | /et/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
beat," Hast to the Birth, and annual Toils repeat. ",pdi22-l05255," With fisking Tails the circling Eddies beat,",pdi22-l05250,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
treat," Each other lick, and the close Kiss repeat;",pdi22-l06730," Thus loving thrive, and praise the luscious Treat. ",pdi22-l06735,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
beat,"As all my wrongs distressful I repeat,",o5155-l08855,"Say, can thy pulse with equal cadence beat?",o5155-l08860,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00106,o5155-w0100
sweet,"Go, hapless captive! still repeat",o5155-l34310,"Go, listening fair!, and call them sweet,",o5155-l34320,/iːt/ | /iːt/,full,<b>a</b>b<b>a</b>b,pers00113,o5155-w0760
seat, The melodies of Heaven thou didst unseen repeat. ,pmt18-l23185," Thy soft voice lured him ""to his ivyed seat,""",pmt18-l23165,/iːt/ | /iːt/,full,abbacddce<b>f</b>efe<b>f</b>,pers00320,pmt18-w0400
feet, The melodies of Heaven thou didst unseen repeat. ,pmt18-l23185," Or by yon ""trickling fount"" delayed his feet",pmt18-l23175,/iːt/ | /iːt/,full,abbacddcefe<b>f</b>e<b>f</b>,pers00320,pmt18-w0400
sweet," ""Where all beholding, shall your praise repeat,",pcr18-l15590,""" No fruit so tempting and no flower so sweet:",pcr18-l15595,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
meet,Sweet melody! to hear her then repeat,o5152-l30405,"Hymned such psalms as Sternhold forth did mete,",o5152-l30390,/iːt/ | /iːt/,full,a<b>b</b>ab<b>b</b>cbcc,pers00035,o5152-w0320
seat,Sweet melody! to hear her then repeat,o5152-l30405,But in her garden found a summer seat:,o5152-l30400,/iːt/ | /iːt/,full,aba<b>b</b><b>b</b>cbcc,pers00035,o5152-w0320
entreat,Sweet melody! to hear her then repeat,o5152-l30405,"While taunting foe-men did a song intreat,",o5152-l30415,/iːt/ | /iːt/,full,abab<b>b</b>c<b>b</b>cc,pers00035,o5152-w0320
heat,And Neptune does his Vows repeat:,clc03-l14955,"Fair Amphitrite feels the Heat,",clc03-l14950,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00349,clc03-w0300
retreat,Come: and the sacred eloquence repeat:,o4984-l18155," Angelic forms shall visit this retreat,",o4984-l18165,/iːt/ | /iːt/,full,<b>a</b>b<b>a</b>b,pers00085,o4984-w0340
feet,"What feeling heart thy pleasures would repeat,",pmt18-l11185, Sudden as thought behold him at her feet! ,pmt18-l11175,/iːt/ | /iːt/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0023
sweet,"What feeling heart thy pleasures would repeat,",pmt18-l11185," Or wish thy dearly purchased bliss, however sweet? ",pmt18-l11190,/iːt/ | /iːt/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0023
mate," And murmuring seems to repeat,",o4986-l34285,"The stock-dove, recluse with her mate,",o4986-l34275,/iːt/ | /eɪt/,half-pararhyme,abab<b>c</b>d<b>c</b>d,pers00168,o4986-w0930
conceit, The genuine word repeat:,psm63-l01455, That keeps the fool's conceit. ,psm63-l01470,/iːt/ | /iːt/,full,aa<b>b</b>cc<b>b</b>,pers00254,psm63-w0010
seat,And sighing gales repeat.,o5154-l25295,At WISDOM'S aweful seat.,o5154-l25310,/iːt/ | /iːt/,full,aa<b>b</b>cc<b>b</b>,pers00085,o5154-w0420
meet,"Too silly, and too tedious to repeat.",oau90-l00665,"Such stuff the Reader every day may meet,",oau90-l00660,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00350,oau90-w0010
fate,"Loud shrieks the Mouse, his Shrieks the Shores repeat;",o4106-l05380, The nibbling Nation learn their Heroe's Fate:,o4106-l05385,/iːt/ | /eɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00294,o4106-w0090
meet," No rural Tongue, no Swain can e'er repeat. ",o4784-l16620,"But the Delights my Senses there did meet,",o4784-l16615,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00268,o4784-w0500
heat," While pleasing Dreams past Scenes of Love repeat,",pdi12-l03960, And cooling Breezes fan the Summer's Heat. ,pdi12-l03965,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0120
yet,"The waggeries, that they've said, or heard, repeat;",o5152-l38765,"But others, more intolerable yet,",o5152-l38760,/iːt/ | /et/,half-pararhyme,<b>a</b><b>a</b>,pers00130,o5152-w0350
meet,"Say, do you still my name repeat,",bao18-l03360, In hopes that we once more may meet! ,bao18-l03370,/iːt/ | /iːt/,full,a<b>b</b>a<b>b</b>,pers00279,bao18-w0080
forget," Truths not inculcated: to these repeat,",o3900-l07160,Slow Minds are merely passive; and forget,o3900-l07155,/iːt/ | /et/,half-pararhyme,<b>a</b><b>a</b>a,pers00311,o3900-w0440
heat," Truths not inculcated: to these repeat,",o3900-l07160," Avow your Counsel, nor abstain from Heat. ",o3900-l07165,/iːt/ | /iːt/,full,a<b>a</b><b>a</b>,pers00311,o3900-w0440
meet," And waking joy the strains repeat,",bmb97-l08160,"Feel the soft chord of sadness meet,",bmb97-l08150,/iːt/ | /iːt/,full,<b>a</b>b<b>a</b>b,pers00315,bmb97-w0230
sweet, In dreams I my wishes repeat. ,bjl92-l03615," The theme seems enchantingly sweet,",bjl92-l03605,/iːt/ | /iːt/,full,a<b>b</b>a<b>b</b>,pers00338,bjl92-w0120
sweet,"Their ledden loud fat oxen did repeat,",o5155-l15080,"The woodbine shed an odor matchless sweet,",o5155-l15090,/iːt/ | /iːt/,full,ababb<b>c</b>b<b>c</b>c,pers00033,o5155-w0200
bleat,"Their ledden loud fat oxen did repeat,",o5155-l15080,And to their patient dams the frisking lambkins bleat.,o5155-l15095,/iːt/ | /iːt/,full,ababb<b>c</b>bc<b>c</b>,pers00033,o5155-w0200
heat," Can ev'ry reason of your work repeat,",o4198-l01850, As sands in Africa retain the heat:,o4198-l01855,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00288,o4198-w0120
sweet," And All is Sense, that They repeat. ",pmp18-l05620,All that They approve is sweet:,pmp18-l05615,/iːt/ | /iːt/,full,aabbcc<b>d</b><b>d</b>,pers00314,pmp18-w0200
sweet,"Our dangers, when past, with delight we repeat,",o5153-l35960,"What in suffering was pain, to remembrance is sweet.",o5153-l35965,/iːt/ | /iːt/,full,aa<b>b</b><b>b</b>,pers00123,o5153-w0710
entreat," While I the tender circumstance repeat,",cer72-l09430, And for my father's hoary age intreat. ,cer72-l09435,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
sweet,"Of that blest lond his praises 'gan repeat,",o5153-l09545,And eke the breath of morning fresh and sweet,o5153-l09520,/iːt/ | /iːt/,full,a<b>b</b>abbc<b>b</b>cc,pers00024,o5153-w0310
meet,"Of that blest lond his praises 'gan repeat,",o5153-l09545,And ease of heart for soft pursuasion meet.,o5153-l09530,/iːt/ | /iːt/,full,aba<b>b</b>bc<b>b</b>cc,pers00024,o5153-w0310
entreat,"Of that blest lond his praises 'gan repeat,",o5153-l09545,"Then him the traytor base 'gan fair entreat,",o5153-l09535,/iːt/ | /iːt/,full,abab<b>b</b>c<b>b</b>cc,pers00024,o5153-w0310
retreat,"No more, no more my worthless Name repeat,",clc03-l12045,Abandon me to this obscure Retreat;,clc03-l12050,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00349,clc03-w0250
great,Who can without a Flood of Tears repeat!,clc03-l12120,"But oh! a Loss so vast, so vastly great,",clc03-l12115,/iːt/ | /eɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00349,clc03-w0250
wait," That melting Name so often I'll repeat,",pse03-l13670,"No longer on my tedious Griefs I'll wait,",pse03-l13665,/iːt/ | /eɪt/,half-pararhyme,<b>a</b><b>a</b>a,pers00272,pse03-w0570
fate," That melting Name so often I'll repeat,",pse03-l13670, Till the soft sound dissolve the Knot of Fate. ,pse03-l13675,/iːt/ | /eɪt/,half-pararhyme,a<b>a</b><b>a</b>,pers00272,pse03-w0570
beat, And ecchoing Hills the loud Alarm repeat:,o3499-l01230," Confed'rate Drums in fuller Consort beat,",o3499-l01225,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00150,o3499-w0010
seat," No more shall youth your jocund acts repeat,",bsb18-l23515,"For soon infirmity shall fix her seat,",bsb18-l23505,/iːt/ | /iːt/,full,<b>a</b>b<b>a</b>b,pers00280,bsb18-w0330
complete," Let sighing gales our sighs repeat,",o4986-l27695,"While, all my wish and thine complete,",o4986-l27685,/iːt/ | /iːt/,full,<b>a</b>b<b>a</b>b,pers00044,o4986-w0600
