r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
much,None can your gen'rous Treat with Want reproach;,o4741-l14670," All eat enough, and many drank too much:",o4741-l14675,/əʊtʃ/ | /ʌtʃ/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0360
approach," Confutes each charge, repels each foul reproach,",pmt18-l12015,"And now the knight, encouraged to approach,",pmt18-l12005,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0024
approach,"See the pure maid, indignant of reproach,",pmt18-l12945,The spotless virgins shall unhurt approach,pmt18-l12935,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0024
coach,"For to prevent the least Reproach,",pmp18-l11220, Betty went with Her in the Coach. ,pmp18-l11225,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0450
city-coach," Where is SHEBBEARE? O, let not foul reproach,",o3591-l01505," Travelling thither in a City-Coach,",o3591-l01510,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b><b>a</b>,pers00155,o3591-w0010
coach,"At starving houseless VIRTUE points reproach,",o5154-l33365,"Why scornful FOLLY from her gawdy coach,",o5154-l33360,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b><b>a</b>,pers00049,o5154-w0610
coach,The pride of man is our reproach. ,ojg27-l10500,How cumb'rous is the gilded coach! ,ojg27-l10495,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0440
broach, He need na fear their foul reproach,cbu86-l02505,"Could he some commutation broach,",cbu86-l02495,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0030
scotch, He need na fear their foul reproach,cbu86-l02505," I'll pledge my aith in guid braid Scotch,",cbu86-l02500,/əʊtʃ/ | /ɒtʃ/,half-pararhyme,a<b>a</b><b>a</b>bab,pers00307,cbu86-w0030
hotchpotch, He need na fear their foul reproach,cbu86-l02505," Yon mixtie-maxtie, queer hotch-potch,",cbu86-l02515,/əʊtʃ/ | /ɒtʃ/,half-pararhyme,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0030
